BlockNumber;EventNumber;Time Since Block start;isHit;target;pressed;sequence
1;1;4.421102;1;4;4;clear
1;2;5.87444;1;1;1;clear
1;3;6.650973;1;3;3;clear
1;4;7.544616;1;2;2;clear
1;5;8.593625;1;4;4;clear
1;6;9.506591;1;2;2;clear
1;7;10.08305;1;1;1;clear
1;8;10.64152;1;3;3;clear
1;9;11.31846;1;4;4;clear
1;10;12.62211;1;1;1;clear
1;11;13.36558;0;3;4;clear
1;12;17.21548;1;2;2;clear
1;13;18.17997;1;4;4;clear
1;14;18.80778;1;2;2;clear
1;15;19.36626;1;1;1;clear
1;16;20.22853;1;3;3;clear
1;17;21.63416;0;4;1;clear
1;18;23.15612;1;1;1;clear
1;19;23.78239;1;3;3;clear
1;20;24.16985;1;2;2;clear
1;21;25.43711;1;4;4;clear
1;22;25.99454;1;2;2;clear
1;23;26.85828;1;1;1;clear
1;24;27.33252;1;3;3;clear
1;25;28.25751;1;4;4;clear
1;26;29.25357;1;1;1;clear
