BlockNumber;EventNumber;Time Since Block start;isHit;target;pressed
1;1;1,565399;1;4;4
1;2;1,648979;1;1;1
1;3;3,198479;0;3;1
1;4;3,682381;0;2;1
1;5;5,981567;0;4;2
1;6;7,713425;1;4;4
1;7;7,89753;1;1;1
1;8;7,930496;0;3;2
1;9;9,379814;1;2;2
1;10;9,579498;0;4;1
1;11;11,52933;1;4;4
1;12;11,54582;1;1;1
1;13;12,34618;0;3;4
1;14;12,37949;0;2;1
1;15;12,94597;0;4;1
1;16;13,16238;0;4;3
1;17;14,81191;1;1;1
1;18;19,41002;1;3;3
1;19;19,94321;1;2;2
1;20;20,0098;0;4;1
1;21;21,0593;0;4;3
1;22;21,09311;1;1;1
1;23;21,10951;0;3;2
1;24;21,9929;0;2;1
1;25;22,34219;0;4;2
1;26;22,40939;0;4;1
1;27;23,32555;0;1;2
1;28;23,64178;0;3;1
1;29;26,12463;1;2;2
2;30;1,099594;1;4;4
2;31;1,149918;1;1;1
2;32;1,949417;0;3;1
2;33;2,682617;0;2;1
2;34;3,31546;0;4;1
2;35;3,382278;1;4;4
2;36;3,665756;1;1;1
2;37;3,798279;0;3;4
2;38;5,081512;1;2;2
2;39;5,381088;0;4;2
2;40;5,431366;0;4;1
2;41;6,513794;1;1;1
2;42;7,131424;0;3;1
2;43;7,497711;0;2;3
2;44;7,814026;0;4;3
2;45;8,797134;0;4;1
2;46;9,180511;0;1;4
2;47;10,76268;1;3;3
2;48;10,97964;0;2;1
2;49;11,82947;0;4;1
2;50;11,89594;1;4;4
2;51;12,77817;1;1;1
2;52;12,97887;0;3;4
2;53;13,71194;0;2;1
2;54;13,87878;1;4;4
2;55;14,04544;0;4;2
2;56;23,47504;0;1;3
2;57;23,55853;0;3;4
2;58;23,64221;0;2;1
2;59;24,80748;0;4;1
2;60;25,65802;0;4;1
2;61;25,77435;0;1;4
2;62;26,04135;0;3;1
2;63;26,10794;0;2;4
2;64;27,02379;1;4;4
2;65;27,08952;0;4;1
2;66;28,20718;0;1;4
2;67;28,98969;0;3;1
2;68;29,29033;0;2;1
3;69;0,9167633;1;4;4
3;70;1,033325;1;1;1
3;71;2,616043;1;3;3
3;72;2,79985;0;2;4
3;73;4,098251;0;4;1
3;74;4,814774;0;4;1
3;75;4,882187;0;1;4
3;76;4,998062;0;3;1
3;77;6,3479;1;2;2
3;78;7,364807;1;4;4
3;79;7,481049;0;4;1
3;80;7,562759;0;1;2
3;81;8,414368;0;3;2
3;82;8,830811;0;2;3
3;83;10,36281;1;4;4
3;84;11,09631;1;4;4
3;85;12,07881;1;1;1
3;86;13,17873;1;3;3
3;87;13,2959;0;2;4
3;88;14,34502;1;4;4
3;89;15,29524;1;4;4
3;90;16,3949;1;1;1
3;91;16,42793;0;3;4
3;92;17,5771;1;2;2
3;93;18,61099;1;4;4
3;94;18,69412;0;4;1
3;95;19,59233;1;1;1
3;96;20,85974;1;3;3
3;97;20,94339;0;2;4
3;98;22,25897;1;4;4
3;99;23,14259;1;4;4
3;100;24,04179;1;1;1
3;101;25,12527;1;3;3
3;102;26,49115;1;2;2
3;103;27,49023;1;4;4
3;104;27,55713;0;4;2
3;105;28,54065;1;1;1
3;106;29,47379;1;3;3
3;107;29,55701;0;2;4
4;108;0,8165283;1;4;4
4;109;0,9488831;1;1;1
4;110;2,016266;1;3;3
4;111;2,248749;0;2;4
4;112;3,332306;1;4;4
4;113;4,131836;1;4;4
4;114;5,048615;1;1;1
4;115;5,99762;1;3;3
4;116;6,064484;0;2;4
4;117;7,064331;1;4;4
4;118;8,780518;0;4;1
4;119;9,896271;0;1;4
4;120;10,01349;0;3;1
4;121;11,51297;1;2;2
4;122;12,29645;1;4;4
4;123;13,44565;0;4;1
4;124;13,8114;1;1;1
4;125;15,19525;1;3;3
4;126;16,22763;1;2;2
4;127;17,04453;1;4;4
4;128;18,12708;1;4;4
4;129;19,14368;1;1;1
4;130;20,09326;1;3;3
