BlockNumber;EventNumber;Time Since Block start;isHit;target;pressed
1;1;1,150009;1;4;4
1;2;2,214718;1;1;1
1;3;3,032249;1;3;3
1;4;3,715847;1;2;2
1;5;4,414192;1;4;4
1;6;5,3484;1;4;4
1;7;6,314636;1;1;1
1;8;7,080841;1;3;3
1;9;7,780979;1;2;2
1;10;8,514206;1;4;4
1;11;9,229866;1;4;4
1;12;10,09671;1;1;1
1;13;10,76298;1;3;3
1;14;11,37839;1;2;2
1;15;12,09541;1;4;4
1;16;12,72865;1;4;4
1;17;13,41223;1;1;1
1;18;14,32887;1;3;3
1;19;15,01127;1;2;2
1;20;15,67832;1;4;4
1;21;16,31135;1;4;4
1;22;16,9775;1;1;1
1;23;17,61026;1;3;3
1;24;18,24408;1;2;2
1;25;18,89418;1;4;4
1;26;19,46052;1;4;4
1;27;20,09345;1;1;1
1;28;21,17635;1;3;3
1;29;21,79294;1;2;2
1;30;22,4759;1;4;4
1;31;23,07438;1;4;4
1;32;23,72556;1;1;1
1;33;24,29142;1;3;3
1;34;24,92513;1;2;2
1;35;25,55674;1;4;4
1;36;26,17461;1;4;4
1;37;27,19133;1;1;1
1;38;28,02343;1;3;3
1;39;28,60668;1;2;2
1;40;29,29052;1;4;4
1;41;29,87326;1;4;4
2;42;1,149956;1;4;4
2;43;1,799019;1;1;1
2;44;2,566139;1;3;3
2;45;3,099136;1;2;2
2;46;4,080658;1;4;4
2;47;5,180885;1;4;4
2;48;5,964165;1;1;1
2;49;6,714012;1;3;3
2;50;7,347267;1;2;2
2;51;8,580223;1;4;4
2;52;9,18055;1;4;4
2;53;9,779861;1;1;1
2;54;10,36252;1;3;3
2;55;10,96283;1;2;2
2;56;11,61224;1;4;4
2;57;12,16311;1;4;4
2;58;12,86219;1;1;1
2;59;13,54529;1;3;3
2;60;14,2125;1;2;2
2;61;14,97788;1;4;4
2;62;15,54498;1;4;4
2;63;16,17825;1;1;1
2;64;16,82735;1;3;3
2;65;17,37772;1;2;2
2;66;18,02723;1;4;4
2;67;18,62666;1;4;4
2;68;19,29326;1;1;1
2;69;19,85999;1;3;3
2;70;20,42662;1;2;2
2;71;21,02664;1;4;4
2;72;21,62602;1;4;4
2;73;22,50914;1;1;1
2;74;23,07491;1;3;3
2;75;23,67574;1;2;2
2;76;24,24208;1;4;4
2;77;24,84161;1;4;4
2;78;25,52464;1;1;1
2;79;26,1245;1;3;3
2;80;26,65642;1;2;2
2;81;27,22447;1;4;4
2;82;27,9241;1;4;4
2;83;28,60582;1;1;1
2;84;29,19046;1;3;3
2;85;29,79016;1;2;2
3;86;0,9832153;1;4;4
3;87;2,316238;1;1;1
3;88;2,948181;1;3;3
3;89;3,732666;1;2;2
3;90;4,531631;1;4;4
3;91;5,148148;1;4;4
3;92;5,731445;1;1;1
3;93;6,314835;1;3;3
3;94;6,864502;1;2;2
3;95;7,464249;1;4;4
3;96;8,030731;1;4;4
3;97;8,664032;1;1;1
3;98;9,22995;1;3;3
3;99;9,81398;1;2;2
3;100;10,36252;1;4;4
3;101;10,91367;1;4;4
3;102;11,49638;1;1;1
3;103;12,04645;1;3;3
3;104;12,59592;1;2;2
3;105;13,17902;1;4;4
3;106;13,72858;1;4;4
3;107;14,31259;1;1;1
3;108;14,84552;1;3;3
3;109;15,37738;1;2;2
3;110;15,9944;1;4;4
3;111;16,57762;1;4;4
3;112;17,19438;1;1;1
3;113;18,17778;1;3;3
3;114;18,71062;1;2;2
3;115;19,32668;1;4;4
3;116;19,92551;1;4;4
3;117;20,47684;1;1;1
3;118;21,02615;1;3;3
3;119;21,57512;1;2;2
3;120;22,1926;1;4;4
3;121;22,79234;1;4;4
3;122;23,37608;1;1;1
3;123;23,94228;1;3;3
3;124;24,54207;1;2;2
3;125;25,19145;1;4;4
3;126;25,80847;1;4;4
3;127;26,45775;1;1;1
3;128;27,00809;1;3;3
3;129;27,54025;1;2;2
3;130;28,12387;1;4;4
3;131;28,77263;1;4;4
3;132;29,35727;1;1;1
3;133;29,89008;1;3;3
4;134;0,8334503;1;4;4
4;135;1,433792;1;1;1
4;136;1,950012;1;3;3
4;137;2,599121;1;2;2
4;138;3,582321;1;4;4
4;139;4,398727;1;4;4
4;140;5,065109;1;1;1
4;141;5,664993;1;3;3
4;142;6,214447;1;2;2
4;143;6,781662;1;4;4
4;144;7,314041;1;4;4
4;145;7,847168;1;1;1
4;146;8,414261;1;3;3
4;147;8,99733;1;2;2
4;148;9,629349;1;4;4
4;149;10,21324;1;4;4
4;150;10,84732;1;1;1
4;151;11,34657;1;3;3
4;152;11,89647;1;2;2
4;153;12,54608;1;4;4
4;154;13,26236;1;4;4
4;155;14,02762;1;1;1
4;156;14,56189;1;3;3
4;157;15,11142;1;2;2
4;158;15,76187;1;4;4
4;159;16,36179;1;4;4
4;160;17,01089;1;1;1
4;161;17,54385;1;3;3
4;162;18,07753;1;2;2
4;163;18,6436;1;4;4
4;164;19,22731;1;4;4
4;165;19,82733;1;1;1
4;166;20,36012;1;3;3
4;167;20,92522;1;2;2
4;168;21,49292;1;4;4
4;169;22,45792;1;4;4
4;170;23,10962;1;1;1
4;171;23,62592;1;3;3
4;172;24,15903;1;2;2
4;173;24,72552;1;4;4
4;174;25,35864;1;4;4
4;175;25,90842;1;1;1
4;176;26,37494;1;3;3
4;177;26,9234;1;2;2
