BlockNumber;EventNumber;Time Since Block start;isHit;target;pressed
1;1;2,266209;1;4;4
1;2;2,632984;1;1;1
1;3;3,249187;1;3;3
1;4;3,6991;1;2;2
1;5;4,330986;1;4;4
1;6;5,098255;0;4;1
1;7;5,796989;0;1;3
1;8;6,24791;0;3;2
1;9;7,61351;1;2;2
1;10;8,396523;1;4;4
1;11;9,646553;0;4;1
1;12;10,18009;0;1;3
1;13;11,57968;0;3;2
1;14;14,29558;1;2;2
1;15;15,777;1;4;4
1;16;16,49473;0;4;1
1;17;16,74466;1;1;1
1;18;18,21023;1;3;3
1;19;18,7938;1;2;2
1;20;19,82652;1;4;4
1;21;20,84229;0;4;1
1;22;22,6093;0;1;2
1;23;25,19085;0;3;2
1;24;27,55675;1;2;2
1;25;29,20667;1;4;4
2;26;1,115822;1;4;4
2;27;1,566498;0;1;4
2;28;4,38221;1;3;3
2;29;5,131516;1;2;2
2;30;5,764893;1;4;4
2;31;6,448174;1;4;4
2;32;7,064514;1;1;1
2;33;8,247482;1;3;3
2;34;8,74617;1;2;2
2;35;9,596939;1;4;4
2;36;10,39679;1;4;4
2;37;11,49542;1;1;1
2;38;12,0463;1;3;3
2;39;12,72864;1;2;2
2;40;13,39545;1;4;4
2;41;14,09424;1;4;4
2;42;14,66095;1;1;1
2;43;15,2451;1;3;3
2;44;15,81027;1;2;2
2;45;16,39465;1;4;4
2;46;16,9267;1;4;4
2;47;17,40996;1;1;1
2;48;17,91103;1;3;3
2;49;18,42642;1;2;2
2;50;18,927;1;4;4
2;51;19,39349;1;4;4
2;52;19,86034;1;1;1
2;53;20,30997;1;3;3
2;54;20,80977;1;2;2
2;55;21,27625;1;4;4
2;56;21,74301;1;4;4
2;57;22,17593;1;1;1
2;58;22,62581;1;3;3
2;59;23,15816;1;2;2
2;60;23,6412;1;4;4
2;61;24,0739;1;4;4
2;62;24,50705;1;1;1
2;63;24,94196;1;3;3
2;64;25,39046;1;2;2
2;65;25,89049;1;4;4
2;66;26,3075;1;4;4
2;67;26,73993;1;1;1
2;68;27,15703;1;3;3
2;69;27,62357;1;2;2
2;70;28,04071;1;4;4
2;71;28,45695;1;4;4
2;72;28,85678;1;1;1
2;73;29,30704;1;3;3
2;74;29,7567;1;2;2
3;75;1,299408;1;4;4
3;76;1,699295;0;1;4
3;77;4,182373;1;3;3
3;78;4,71553;1;2;2
3;79;5,748428;1;4;4
3;80;6,298096;1;4;4
3;81;7,063766;1;1;1
3;82;7,580673;1;3;3
3;83;8,097397;1;2;2
3;84;8,696411;1;4;4
3;85;9,163895;1;4;4
3;86;9,780396;1;1;1
3;87;10,26262;1;3;3
3;88;10,74614;1;2;2
3;89;11,21301;1;4;4
3;90;11,66197;1;4;4
3;91;12,14568;1;1;1
3;92;12,57864;1;3;3
3;93;13,01144;1;2;2
3;94;13,42885;1;4;4
3;95;13,84459;1;4;4
3;96;14,19539;1;1;1
3;97;14,56085;1;3;3
3;98;14,92836;1;2;2
3;99;15,36081;1;4;4
3;100;15,69421;1;4;4
3;101;16,06151;1;1;1
3;102;16,71065;1;3;3
3;103;17,07761;1;2;2
3;104;17,44427;1;4;4
3;105;17,79311;1;4;4
3;106;18,3105;1;1;1
3;107;18,64355;1;3;3
3;108;18,97716;1;2;2
3;109;19,36049;1;4;4
3;110;19,65901;1;4;4
3;111;19,95969;1;1;1
3;112;20,29236;1;3;3
3;113;20,62636;1;2;2
3;114;20,97652;1;4;4
3;115;21,25922;1;4;4
3;116;21,57668;1;1;1
3;117;21,87611;1;3;3
3;118;22,20972;1;2;2
3;119;22,55959;1;4;4
3;120;22,84267;1;4;4
3;121;23,19241;1;1;1
3;122;23,62547;1;3;3
3;123;23,99161;1;2;2
3;124;24,35902;1;4;4
3;125;24,64214;1;4;4
3;126;24,9409;1;1;1
3;127;25,24187;1;3;3
3;128;25,57484;1;2;2
3;129;25,93982;1;4;4
3;130;26,2412;1;4;4
3;131;26,54115;1;1;1
3;132;26,82443;1;3;3
3;133;27,15678;1;2;2
3;134;27,50758;1;4;4
3;135;27,79082;1;4;4
3;136;28,12314;1;1;1
3;137;28,424;1;3;3
3;138;28,72385;1;2;2
3;139;29,08905;1;4;4
3;140;29,38907;1;4;4
3;141;29,70699;1;1;1
4;142;1,049957;1;4;4
4;143;2,282257;1;1;1
4;144;2,698334;1;3;3
4;145;3,065048;1;2;2
4;146;3,614716;1;4;4
4;147;4,014847;0;4;1
4;148;5,665039;1;1;1
4;149;6,763626;1;3;3
4;150;7,163544;1;2;2
4;151;8,230423;1;4;4
4;152;8,64653;1;4;4
4;153;9,113022;1;1;1
4;154;9,512665;1;3;3
4;155;9,979156;1;2;2
4;156;10,51401;1;4;4
4;157;10,97992;1;4;4
4;158;11,74533;1;1;1
4;159;12,16277;1;3;3
4;160;12,51294;1;2;2
4;161;12,92851;1;4;4
4;162;13,22943;1;4;4
4;163;13,51254;1;1;1
4;164;13,84586;1;3;3
4;165;14,19556;1;2;2
4;166;14,5787;1;4;4
4;167;14,91196;1;4;4
4;168;15,21188;1;1;1
4;169;15,54443;1;3;3
4;170;15,87698;1;2;2
4;171;16,26157;1;4;4
4;172;16,56094;1;4;4
4;173;16,86099;1;1;1
4;174;17,84372;0;3;2
4;175;19,07727;1;2;2
4;176;19,91003;1;4;4
4;177;20,29272;1;4;4
4;178;21,0766;1;1;1
4;179;21,60992;1;3;3
4;180;21,95901;1;2;2
4;181;22,44202;1;4;4
4;182;22,82623;1;4;4
4;183;23,14273;1;1;1
4;184;23,50943;1;3;3
4;185;23,85806;1;2;2
4;186;24,30862;1;4;4
4;187;24,64206;1;4;4
4;188;24,9241;1;1;1
4;189;25,27423;1;3;3
4;190;25,60852;1;2;2
4;191;26,00809;1;4;4
4;192;26,29175;1;4;4
4;193;26,57336;1;1;1
4;194;26,85806;1;3;3
4;195;27,15689;1;2;2
4;196;27,54022;1;4;4
4;197;27,80682;1;4;4
4;198;28,07303;1;1;1
4;199;28,35757;1;3;3
4;200;28,65762;1;2;2
4;201;29,04071;1;4;4
4;202;29,27289;1;4;4
4;203;29,53952;1;1;1
4;204;29,8071;1;3;3
5;205;0,6847229;1;4;4
5;206;1,117462;1;1;1
5;207;1,617432;1;3;3
5;208;2,0672;1;2;2
5;209;2,616974;1;4;4
5;210;3,298889;1;4;4
5;211;3,865601;1;1;1
5;212;4,26651;1;3;3
5;213;4,649719;1;2;2
5;214;5,033295;1;4;4
5;215;5,33194;1;4;4
5;216;5,61438;1;1;1
5;217;5,949249;1;3;3
5;218;6,265503;1;2;2
5;219;6,632294;1;4;4
5;220;6,882385;1;4;4
5;221;7,148834;1;1;1
5;222;7,464905;1;3;3
5;223;7,765045;1;2;2
5;224;8,081451;1;4;4
5;225;8,365234;1;4;4
5;226;8,598755;1;1;1
5;227;8,897369;1;3;3
5;228;9,180267;1;2;2
5;229;9,531464;1;4;4
5;230;9,763763;1;4;4
5;231;10,01453;1;1;1
5;232;10,31451;1;3;3
5;233;10,59766;1;2;2
5;234;10,91406;1;4;4
5;235;11,16446;1;4;4
5;236;11,41287;1;1;1
5;237;11,66394;1;3;3
5;238;11,93042;1;2;2
5;239;12,2634;1;4;4
5;240;12,47964;1;4;4
5;241;12,7457;1;1;1
5;242;13,01312;1;3;3
5;243;13,2955;1;2;2
5;244;13,62964;1;4;4
5;245;13,82904;1;4;4
5;246;14,0961;1;1;1
5;247;14,34641;1;3;3
5;248;14,62967;1;2;2
5;249;14,99557;1;4;4
5;250;15,19586;1;4;4
5;251;15,4621;1;1;1
5;252;15,72824;1;3;3
5;253;16,01263;1;2;2
5;254;16,37909;1;4;4
5;255;16,57919;1;4;4
5;256;16,91187;1;1;1
5;257;17,56122;1;3;3
5;258;17,94446;1;2;2
5;259;18,37747;1;4;4
5;260;18,59464;1;4;4
5;261;18,82681;1;1;1
5;262;19,11127;1;3;3
5;263;19,3772;1;2;2
5;264;19,76102;1;4;4
5;265;19,96127;1;4;4
5;266;20,24445;1;1;1
5;267;20,52759;1;3;3
5;268;20,82788;1;2;2
5;269;21,22629;1;4;4
5;270;21,42621;1;4;4
5;271;21,74255;0;1;2
5;272;23,77518;1;3;3
5;273;24,17648;1;2;2
5;274;24,65967;0;4;1
5;275;26,17545;1;4;4
5;276;26,97458;1;1;1
5;277;27,64133;1;3;3
5;278;27,99161;1;2;2
5;279;28,40848;1;4;4
5;280;28,67459;1;4;4
5;281;29,40729;1;1;1
5;282;29,72473;1;3;3
6;283;0,7997742;1;4;4
6;284;1,766418;1;1;1
6;285;2,215332;1;3;3
6;286;2,599487;1;2;2
6;287;3,249268;1;4;4
6;288;3,683167;1;4;4
6;289;4,015381;1;1;1
6;290;4,364777;1;3;3
6;291;4,731049;1;2;2
6;292;5,164215;1;4;4
6;293;5,498566;1;4;4
6;294;5,814941;1;1;1
6;295;6,164337;1;3;3
6;296;6,498199;1;2;2
6;297;6,863464;1;4;4
6;298;7,130432;1;4;4
6;299;7,397675;1;1;1
6;300;7,730255;1;3;3
6;301;8,380493;0;2;3
6;302;9,113953;0;4;2
6;303;10,112;1;4;4
6;304;11,04565;1;1;1
6;305;11,49625;1;3;3
6;306;12,69617;1;2;2
6;307;13,91238;1;4;4
6;308;14,64432;1;4;4
6;309;15,04526;1;1;1
6;310;15,51199;1;3;3
6;311;15,89487;1;2;2
6;312;16,51141;1;4;4
6;313;16,84369;1;4;4
6;314;17,29449;1;1;1
6;315;17,66064;1;3;3
6;316;18,02765;1;2;2
6;317;18,4426;1;4;4
6;318;18,82712;1;4;4
6;319;19,22726;1;1;1
6;320;19,54346;1;3;3
6;321;19,87701;1;2;2
6;322;20,27579;1;4;4
6;323;20,59305;1;4;4
6;324;20,91;1;1;1
6;325;21,1918;1;3;3
6;326;21,5264;1;2;2
6;327;21,90948;1;4;4
6;328;22,17523;1;4;4
6;329;22,45871;1;1;1
6;330;22,75839;1;3;3
6;331;23,07584;1;2;2
6;332;23,50934;1;4;4
6;333;23,77582;1;4;4
6;334;24,09225;1;1;1
6;335;25,39056;1;3;3
6;336;25,72485;1;2;2
6;337;26,55698;1;4;4
6;338;26,85767;1;4;4
6;339;27,15771;1;1;1
6;340;27,49036;1;3;3
6;341;28,73978;1;2;2
6;342;29,24045;1;4;4
6;343;29,52246;1;4;4
