BlockNumber;EventNumber;Time Since Block start;isHit;target;pressed
1;1;2,216927;1;4;4
1;2;3,216415;1;1;1
1;3;4,149605;1;3;3
1;4;4,632759;1;2;2
1;5;6,032356;1;4;4
1;6;8,831543;1;4;4
1;7;9,847778;1;1;1
1;8;11,01376;1;3;3
1;9;11,51364;1;2;2
1;10;12,41364;1;4;4
1;11;13,86261;1;4;4
1;12;15,32805;1;1;1
1;13;16,29523;1;3;3
1;14;16,7621;1;2;2
1;15;18,49481;1;4;4
1;16;19,82767;1;4;4
1;17;21,01042;1;1;1
1;18;21,57631;1;3;3
1;19;21,97597;1;2;2
1;20;23,02655;1;4;4
1;21;24,526;1;4;4
1;22;25,20927;1;1;1
1;23;26,12541;1;3;3
1;24;26,65868;1;2;2
1;25;28,22452;1;4;4
1;26;29,12463;1;4;4
2;27;1,066803;1;4;4
2;28;1,684235;1;1;1
2;29;2,249832;1;3;3
2;30;2,732758;1;2;2
2;31;3,4319;1;4;4
2;32;4,249161;1;4;4
2;33;4,899216;1;1;1
2;34;5,415466;1;3;3
2;35;5,849258;1;2;2
2;36;6,264999;1;4;4
2;37;7,181458;1;4;4
2;38;7,831436;1;1;1
2;39;8,382858;1;3;3
2;40;9,148209;1;2;2
2;41;9,74791;1;4;4
2;42;11,01364;1;4;4
2;43;11,86333;1;1;1
2;44;12,2805;1;3;3
2;45;12,73039;1;2;2
2;46;13,87996;1;4;4
2;47;14,44606;1;4;4
2;48;15,37923;1;1;1
2;49;15,81244;1;3;3
2;50;16,22925;1;2;2
2;51;16,89543;1;4;4
2;52;18,12776;1;4;4
2;53;19,47798;1;1;1
2;54;19,89429;1;3;3
2;55;20,21098;1;2;2
2;56;20,66093;1;4;4
2;57;21,56064;1;4;4
2;58;22,24333;1;1;1
2;59;23,57658;1;3;3
2;60;24,02646;1;2;2
2;61;24,40971;1;4;4
2;62;25,24295;1;4;4
2;63;25,85907;1;1;1
2;64;26,22473;1;3;3
2;65;26,52553;1;2;2
2;66;26,94115;1;4;4
2;67;27,72397;1;4;4
2;68;28,79128;1;1;1
2;69;29,19034;1;3;3
2;70;29,49075;1;2;2
3;71;0,999054;1;4;4
