BlockNumber;EventNumber;Time Since Block start;isHit;target;pressed
1;1;1,372101;1;4;4
1;2;2,122265;1;1;1
1;3;2,590305;1;3;3
1;4;3,007233;1;2;2
1;5;3,891392;1;4;4
1;6;5,091652;1;4;4
1;7;5,725079;1;1;1
1;8;6,258923;1;3;3
1;9;6,759281;1;2;2
1;10;7,960266;1;4;4
1;11;9,411453;1;4;4
1;12;10,26206;1;1;1
1;13;10,96159;1;3;3
1;14;11,6288;1;2;2
1;15;12,76426;1;4;4
1;16;14,24794;0;4;1
1;17;14,88176;0;1;3
1;18;16,35077;0;3;4
1;19;20,61898;0;2;3
1;20;23,07151;1;4;4
1;21;23,70493;0;4;1
1;22;26,3572;1;1;1
1;23;27,15668;1;3;3
1;24;27,82331;1;2;2
1;25;28,42377;1;4;4
1;26;29,57602;0;4;1
2;27;1,084099;1;4;4
2;28;1,636749;1;1;1
2;29;2,152916;1;3;3
2;30;2,869736;1;2;2
2;31;3,56971;1;4;4
2;32;4,670296;1;4;4
2;33;5,421928;1;1;1
2;34;6,288185;1;3;3
2;35;6,97316;1;2;2
2;36;7,856209;1;4;4
2;37;9,090256;1;4;4
2;38;9,842758;1;1;1
2;39;10,475;1;3;3
2;40;11,17594;1;2;2
2;41;12,22816;1;4;4
2;42;13,69437;1;4;4
2;43;14,2775;1;1;1
2;44;14,94532;1;3;3
2;45;15,39606;0;2;3
2;46;16,97887;1;4;4
2;47;18,23006;0;4;1
2;48;22,03423;1;1;1
2;49;22,91589;1;3;3
2;50;23,6168;1;2;2
2;51;24,55132;1;4;4
2;52;25,25172;1;4;4
2;53;25,81895;1;1;1
2;54;26,47091;1;3;3
2;55;27,13654;1;2;2
2;56;27,93801;1;4;4
2;57;28,82113;1;4;4
2;58;29,52128;1;1;1
3;59;1,100479;1;4;4
3;60;1,769257;1;1;1
3;61;2,351913;1;3;3
3;62;3,034988;1;2;2
3;63;3,703568;1;4;4
3;64;4,35405;1;4;4
3;65;4,987274;1;1;1
3;66;5,720703;1;3;3
3;67;7,137512;1;2;2
3;68;7,721268;1;4;4
3;69;9,273514;1;4;4
3;70;9,90744;1;1;1
3;71;11,19342;1;3;3
3;72;12,35881;1;2;2
3;73;12,99384;1;4;4
3;74;14,60907;1;4;4
3;75;15,31105;1;1;1
3;76;16,02815;1;3;3
3;77;16,67836;1;2;2
3;78;17,76131;1;4;4
3;79;18,39592;1;4;4
3;80;19,26208;1;1;1
3;81;19,96332;1;3;3
3;82;20,58022;1;2;2
3;83;21,38078;1;4;4
3;84;22,01462;1;4;4
3;85;22,64809;1;1;1
3;86;23,33336;1;3;3
3;87;24,01709;1;2;2
3;88;24,76712;1;4;4
3;89;25,40034;1;4;4
3;90;26,06927;1;1;1
3;91;27,0681;1;3;3
3;92;27,63716;1;2;2
3;93;28,26875;1;4;4
3;94;29,58682;1;4;4
4;95;0,7176514;1;4;4
4;96;1,267639;1;1;1
4;97;1,919724;1;3;3
4;98;2,418304;1;2;2
4;99;3,152786;1;4;4
4;100;3,736084;1;4;4
4;101;4,386978;1;1;1
4;102;4,919235;1;3;3
4;103;5,486847;1;2;2
4;104;6,120819;1;4;4
4;105;6,788391;1;4;4
4;106;7,638611;1;1;1
4;107;8,289063;1;3;3
4;108;8,941345;1;2;2
4;109;9,75766;1;4;4
4;110;10,44293;1;4;4
4;111;11,12587;1;1;1
4;112;11,80754;1;3;3
4;113;12,45923;1;2;2
4;114;13,07574;1;4;4
4;115;13,69283;1;4;4
4;116;14,30896;1;1;1
4;117;15,12784;1;3;3
4;118;16,01042;1;2;2
4;119;16,711;1;4;4
4;120;17,24651;1;4;4
4;121;18,07968;1;1;1
4;122;18,61292;1;3;3
4;123;19,16331;1;2;2
4;124;19,6628;1;4;4
4;125;20,248;1;4;4
4;126;20,79881;1;1;1
4;127;21,31548;0;3;4
4;128;21,34798;0;2;3
4;129;22,63246;1;4;4
4;130;23,45015;1;4;4
4;131;23,96672;1;1;1
4;132;24,48399;1;3;3
4;133;25,16747;1;2;2
4;134;25,76811;1;4;4
4;135;26,3687;1;4;4
4;136;26,95171;1;1;1
4;137;27,70317;1;3;3
4;138;27,98683;0;2;4
4;139;28,25261;0;4;2
4;140;29,21925;1;4;4
5;141;0,7502747;1;4;4
5;142;1,25058;1;1;1
5;143;1,718781;1;3;3
5;144;2,251129;1;2;2
5;145;2,917969;1;4;4
5;146;3,502167;1;4;4
5;147;4,019318;1;1;1
5;148;4,619598;1;3;3
5;149;5,137329;1;2;2
5;150;5,72052;1;4;4
5;151;6,520905;1;4;4
5;152;7,588989;1;1;1
5;153;8,20639;1;3;3
5;154;8,690521;1;2;2
5;155;9,356934;1;4;4
5;156;9,906433;1;4;4
5;157;10,62283;1;1;1
5;158;11,19238;1;3;3
5;159;11,79059;1;2;2
5;160;12,5412;1;4;4
5;161;13,12622;1;4;4
5;162;13,80917;1;1;1
5;163;14,64267;1;3;3
5;164;15,2103;1;2;2
5;165;15,81052;1;4;4
5;166;16,41107;1;4;4
5;167;17,04504;1;1;1
5;168;17,82916;1;3;3
