BlockNumber;EventNumber;Time Since Block start;isHit;target;pressed
1;1;1,852005;0;4;3
1;2;2,319565;0;1;4
1;3;4,536591;0;3;4
1;4;4,903381;0;2;3
1;5;4,936455;1;4;4
1;6;6,238419;1;4;4
1;7;7,054512;1;1;1
1;8;7,872749;1;3;3
1;9;8,706909;1;2;2
1;10;9,440308;1;4;4
1;11;10,49117;1;4;4
1;12;11,59254;1;1;1
1;13;12,62817;0;3;4
1;14;12,74293;0;2;3
1;15;13,91201;1;4;4
1;16;14,2616;1;4;4
1;17;14,37737;0;1;4
1;18;14,444;0;3;4
1;19;14,54469;0;2;4
1;20;14,76202;1;4;4
1;21;14,82907;1;4;4
1;22;15,16474;0;1;4
1;23;15,29465;0;3;4
1;24;15,34492;0;2;4
1;25;19,06397;1;4;4
1;26;23,71654;1;4;4
2;27;0,8339996;1;4;4
2;28;1,451294;1;1;1
2;29;2,951752;1;3;3
2;30;3,887161;1;2;2
2;31;4,603363;1;4;4
2;32;6,304108;1;4;4
2;33;7,55574;1;1;1
2;34;8,774124;0;3;4
2;35;8,839264;0;2;3
2;36;10,1237;1;4;4
2;37;11,24257;1;4;4
2;38;12,17513;1;1;1
2;39;13,04309;0;3;1
2;40;13,39317;0;2;3
2;41;15,01044;1;4;4
2;42;16,56294;1;4;4
2;43;17,46225;1;1;1
2;44;18,64548;1;3;3
2;45;19,83203;1;2;2
2;46;20,79945;1;4;4
2;47;21,75046;0;4;1
2;48;23,23372;0;1;3
2;49;24,30067;0;3;2
2;50;26,10249;0;2;1
2;51;26,12044;1;4;4
2;52;27,26891;1;4;4
2;53;28,153;1;1;1
3;54;0,7154388;1;4;4
3;55;1,38298;1;1;1
3;56;2,317825;1;3;3
3;57;4,269882;1;2;2
3;58;4,90097;1;4;4
3;59;6,202896;1;4;4
3;60;6,985886;1;1;1
3;61;8,4207;1;3;3
3;62;8,439651;0;2;4
3;63;10,35442;1;4;4
3;64;11,53951;0;4;1
3;65;13,17599;1;1;1
3;66;14,64198;1;3;3
3;67;15,77657;1;2;2
3;68;16,57668;1;4;4
3;69;18,12793;1;4;4
3;70;18,87782;1;1;1
3;71;21,36258;1;3;3
3;72;22,83023;1;2;2
3;73;23,66444;1;4;4
3;74;24,81552;1;4;4
3;75;25,46617;1;1;1
3;76;27,13283;1;3;3
3;77;28,26785;1;2;2
3;78;29,13496;1;4;4
4;79;1,367828;1;4;4
4;80;2,1698;1;1;1
4;81;3,318573;0;3;4
4;82;3,353058;0;2;3
4;83;5,237183;1;4;4
4;84;6,289276;1;4;4
4;85;7,521942;1;1;1
4;86;8,507996;1;3;3
4;87;11,70868;1;2;2
4;88;12,79242;1;4;4
4;89;13,79474;1;4;4
4;90;14,70984;1;1;1
4;91;15,79437;0;3;4
4;92;16,86374;1;2;2
4;93;17,67917;1;4;4
4;94;18,78125;1;4;4
4;95;19,61484;1;1;1
4;96;20,73102;1;3;3
4;97;20,74826;0;2;4
4;98;22,08246;0;4;2
4;99;22,99957;1;4;4
4;100;24,25;1;1;1
4;101;25,76947;1;3;3
4;102;25,78439;0;2;4
4;103;27,61935;0;4;3
5;104;0,7826233;1;4;4
5;105;1,450409;1;1;1
5;106;2,700989;1;3;3
5;107;3,668091;1;2;2
5;108;4,670013;1;4;4
5;109;5,701874;1;4;4
5;110;6,555054;1;1;1
5;111;7,620941;0;3;4
5;112;9,939087;1;2;2
5;113;11,27335;1;4;4
5;114;12,42447;0;4;1
5;115;14,82568;0;1;3
5;116;15,72864;0;3;2
5;117;17,3299;0;2;1
5;118;18,07849;1;4;4
5;119;19,67972;1;4;4
5;120;20,43134;1;1;1
5;121;21,88156;1;3;3
5;122;22,73157;1;2;2
5;123;23,89984;1;4;4
5;124;25,31519;1;4;4
5;125;26,2012;1;1;1
5;126;27,20032;1;3;3
5;127;28,06805;1;2;2
5;128;29,01846;1;4;4
6;129;0,8319092;1;4;4
6;130;1,633026;1;1;1
6;131;2,516754;1;3;3
6;132;3,38559;1;2;2
6;133;4,119751;1;4;4
6;134;5,151489;1;4;4
6;135;6,01825;1;1;1
6;136;7,119781;1;3;3
6;137;8,30423;1;2;2
6;138;9,22287;1;4;4
6;139;10,23941;1;4;4
6;140;10,97256;1;1;1
6;141;12,02554;1;3;3
6;142;12,80765;1;2;2
6;143;13,95786;1;4;4
6;144;15,02487;1;4;4
6;145;15,87549;1;1;1
6;146;17,19382;1;3;3
6;147;17,99344;1;2;2
6;148;18,71277;1;4;4
6;149;19,76157;1;4;4
6;150;20,66254;1;1;1
6;151;21,72964;1;3;3
6;152;22,44696;1;2;2
6;153;23,28104;1;4;4
6;154;24,21484;1;4;4
6;155;25,11554;1;1;1
6;156;26,40002;1;3;3
6;157;26,48477;0;2;4
