BlockNumber;EventNumber;Time Since Block start;isHit;target;pressed
1;1;1,299667;1;4;4
1;2;1,848602;1;1;1
1;3;3,083954;1;3;3
1;4;3,803162;1;2;2
1;5;4,548859;1;4;4
1;6;5,21492;0;4;1
1;7;6,1492;0;1;3
1;8;7,348618;0;3;2
1;9;8,563934;0;2;3
1;10;10,41351;1;4;4
1;11;11,32938;1;4;4
1;12;12,0126;1;1;1
1;13;12,71194;0;3;2
1;14;14,37769;1;2;2
1;15;15,06024;1;4;4
1;16;15,74561;0;4;1
1;17;17,16107;1;1;1
1;18;18,71097;1;3;3
1;19;19,32712;1;2;2
1;20;19,99326;1;4;4
1;21;20,67729;1;4;4
1;22;21,44301;1;1;1
1;23;22,04387;1;3;3
1;24;22,64346;1;2;2
1;25;23,25728;1;4;4
1;26;23,97536;1;4;4
1;27;24,62927;0;1;3
1;28;27,54193;1;3;3
1;29;28,13925;1;2;2
1;30;28,77383;1;4;4
1;31;29,3914;1;4;4
2;32;0,8851013;1;4;4
2;33;1,466431;1;1;1
2;34;2,385361;1;3;3
2;35;2,966766;1;2;2
2;36;3,800095;0;4;1
2;37;4,782883;1;4;4
2;38;5,482666;1;1;1
2;39;6,03688;1;3;3
2;40;6,566513;1;2;2
2;41;7,180435;1;4;4
2;42;7,682617;1;4;4
2;43;8,285004;1;1;1
2;44;8,849487;1;3;3
2;45;9,367325;1;2;2
2;46;9,968323;1;4;4
2;47;10,49792;1;4;4
2;48;11,08151;1;1;1
2;49;11,62953;1;3;3
2;50;11,88107;0;2;3
2;51;12,20117;0;4;2
2;52;12,96478;1;4;4
2;53;13,78113;1;1;1
2;54;14,31651;1;3;3
2;55;14,91362;1;2;2
2;56;15,52986;1;4;4
2;57;16,11151;1;4;4
2;58;16,73026;1;1;1
2;59;17,29402;1;3;3
2;60;17,86305;1;2;2
2;61;18,41489;1;4;4
2;62;18,99973;1;4;4
2;63;19,62889;1;1;1
2;64;20,17877;1;3;3
2;65;20,72845;1;2;2
2;66;21,32768;1;4;4
2;67;22,06136;1;4;4
2;68;22,61165;1;1;1
2;69;23,14426;1;3;3
2;70;23,67747;1;2;2
2;71;24,29451;1;4;4
2;72;24,82599;1;4;4
2;73;25,36183;1;1;1
2;74;25,87743;1;3;3
2;75;26,42653;1;2;2
2;76;26,97459;1;4;4
2;77;27,48003;1;4;4
2;78;28,0257;1;1;1
2;79;28,55937;1;3;3
2;80;29,0759;1;2;2
2;81;29,58984;1;4;4
3;82;0,7670593;1;4;4
3;83;1,314941;1;1;1
3;84;1,899872;1;3;3
3;85;2,383606;1;2;2
3;86;2,930756;1;4;4
3;87;3,380829;1;4;4
3;88;3,847198;1;1;1
3;89;4,247894;1;3;3
3;90;4,715912;1;2;2
3;91;5,264008;1;4;4
3;92;5,717224;1;4;4
3;93;6,163818;1;1;1
3;94;6,598755;1;3;3
3;95;7,030396;1;2;2
3;96;7,54776;1;4;4
3;97;7,979858;1;4;4
3;98;8,412079;1;1;1
3;99;8,847351;1;3;3
3;100;9,314117;1;2;2
3;101;9,762726;1;4;4
3;102;10,17914;1;4;4
3;103;10,59625;1;1;1
3;104;11,04657;1;3;3
3;105;11,44592;1;2;2
3;106;11,94614;1;4;4
3;107;12,33362;1;4;4
3;108;12,76675;1;1;1
3;109;13,17993;1;3;3
3;110;13,64633;1;2;2
3;111;14,09421;1;4;4
3;112;14,49603;1;4;4
3;113;14,9277;1;1;1
3;114;15,32849;1;3;3
3;115;15,79504;1;2;2
3;116;16,26233;1;4;4
3;117;16,64526;1;4;4
3;118;17,0787;1;1;1
3;119;17,4808;1;3;3
3;120;17,90961;1;2;2
3;121;18,34256;1;4;4
3;122;18,74667;1;4;4
3;123;19,16122;1;1;1
3;124;19,59592;1;3;3
3;125;20,04349;1;2;2
3;126;20,47699;1;4;4
3;127;20,87491;1;4;4
3;128;21,32712;1;1;1
3;129;21,70831;1;3;3
3;130;22,17606;1;2;2
3;131;22,62479;1;4;4
3;132;23,00977;1;4;4
3;133;23,42557;1;1;1
3;134;23,85898;1;3;3
3;135;24,25995;1;2;2
3;136;24,74017;1;4;4
3;137;25,12524;1;4;4
3;138;25,57486;1;1;1
3;139;25,99191;1;3;3
3;140;26,41071;1;2;2
3;141;26,85782;1;4;4
3;142;27,29156;1;4;4
3;143;27,69342;1;1;1
3;144;28,17844;1;3;3
3;145;28,57739;1;2;2
3;146;29,07587;1;4;4
3;147;29,47403;1;4;4
3;148;29,8909;1;1;1
4;149;0,6336365;1;4;4
4;150;1,18576;1;1;1
4;151;1,719635;1;3;3
4;152;2,131805;1;2;2
4;153;2,73288;1;4;4
4;154;3,216431;1;4;4
4;155;3,732849;1;1;1
4;156;4,215668;1;3;3
4;157;4,666046;1;2;2
4;158;5,131531;1;4;4
4;159;5,580994;1;4;4
4;160;6,018311;1;1;1
4;161;6,496979;1;3;3
4;162;6,964996;1;2;2
4;163;7,446198;1;4;4
4;164;7,930878;1;4;4
