BlockNumber;EventNumber;Time Since Block start;isHit;target;pressed
1;1;1,567932;1;4;4
1;2;2,037651;1;1;1
1;3;2,818718;1;3;3
1;4;3,420464;1;2;2
1;5;4,671272;0;4;1
1;6;5,58165;0;4;1
1;7;9,865181;0;1;4
1;8;14,01252;0;3;2
1;9;14,64555;0;2;3
1;10;20,71234;1;4;4
1;11;21,51024;1;4;4
1;12;22,02849;1;1;1
1;13;22,55845;1;3;3
1;14;23,12658;1;2;2
1;15;23,75982;1;4;4
1;16;24,53093;1;4;4
1;17;25,01005;1;1;1
1;18;25,60973;1;3;3
1;19;26,17416;1;2;2
1;20;26,76113;1;4;4
1;21;28,02342;1;4;4
1;22;28,7416;1;1;1
1;23;29,2941;1;3;3
1;24;29,8286;1;2;2
2;25;1,958832;1;4;4
2;26;2,410049;1;1;1
2;27;2,87677;1;3;3
2;28;3,29071;1;2;2
2;29;4,009171;1;4;4
2;30;4,991928;0;4;1
2;31;6,158447;0;1;4
2;32;10,27162;0;3;2
2;33;12,4068;1;2;2
2;34;14,35614;1;4;4
2;35;15,14218;1;4;4
2;36;15,62285;1;1;1
2;37;16,07173;1;3;3
2;38;16,48856;1;2;2
2;39;16,95456;1;4;4
2;40;18,26976;0;4;1
2;41;18,98787;0;1;4
2;42;21,78767;1;3;3
2;43;22,42108;1;2;2
2;44;23,03621;1;4;4
2;45;23,91783;1;4;4
2;46;24,53575;1;1;1
2;47;25,05588;1;3;3
2;48;25,45338;1;2;2
2;49;26,00175;1;4;4
2;50;26,85123;1;4;4
2;51;27,47151;1;1;1
2;52;28,05226;1;3;3
2;53;28,50351;1;2;2
2;54;29,00084;1;4;4
2;55;29,7821;1;4;4
3;56;0,9336395;0;4;1
3;57;1,569153;0;1;4
3;58;6,399292;0;3;2
3;59;7,112732;0;2;3
3;60;11,69435;1;4;4
3;61;12,44855;1;4;4
3;62;12,97926;1;1;1
3;63;13,59641;1;3;3
3;64;14,09547;1;2;2
3;65;14,66035;1;4;4
3;66;15,66159;1;4;4
3;67;16,24527;1;1;1
3;68;16,76042;1;3;3
3;69;17,2124;1;2;2
3;70;17,79793;1;4;4
3;71;18,49197;1;4;4
3;72;18,97864;1;1;1
3;73;19,44356;1;3;3
3;74;19,94458;1;2;2
3;75;20,52696;1;4;4
3;76;21,22632;1;4;4
3;77;21,67664;1;1;1
3;78;22,19299;1;3;3
3;79;22,85802;1;2;2
3;80;23,34169;1;4;4
3;81;23,92368;1;4;4
3;82;24,5909;1;1;1
3;83;25,14009;1;3;3
3;84;25,67546;1;2;2
3;85;26,20866;1;4;4
3;86;26,79156;1;4;4
3;87;27,30853;1;1;1
3;88;27,80736;1;3;3
3;89;28,37215;1;2;2
3;90;28,87401;1;4;4
3;91;29,44133;1;4;4
4;92;0,7696838;1;4;4
4;93;1,301361;1;1;1
4;94;1,635651;1;3;3
4;95;1,918579;1;2;2
4;96;2,584564;1;4;4
4;97;3,301697;1;4;4
4;98;3,684143;1;1;1
4;99;4,215607;1;3;3
4;100;4,517944;1;2;2
4;101;4,981873;1;4;4
4;102;5,582184;1;4;4
4;103;6,001221;1;1;1
4;104;6,449493;1;3;3
4;105;6,766937;1;2;2
4;106;7,36673;1;4;4
4;107;7,966125;1;4;4
4;108;8,332947;1;1;1
4;109;9,230377;1;3;3
4;110;9,613861;1;2;2
4;111;9,947723;1;4;4
4;112;10,44839;1;4;4
4;113;10,79703;1;1;1
4;114;11,15143;1;3;3
4;115;11,48511;1;2;2
4;116;11,91666;1;4;4
4;117;12,39874;1;4;4
4;118;12,71338;1;1;1
4;119;13,03171;1;3;3
4;120;13,46457;1;2;2
4;121;14,04752;1;4;4
4;122;14,46451;1;4;4
4;123;14,81363;1;1;1
4;124;15,09787;1;3;3
4;125;15,42862;1;2;2
4;126;15,82999;1;4;4
4;127;16,44595;1;4;4
4;128;16,76349;1;1;1
4;129;17,06372;1;3;3
4;130;17,32993;1;2;2
4;131;17,66333;1;4;4
4;132;18,17822;1;4;4
4;133;18,51559;1;1;1
4;134;18,74637;1;3;3
4;135;19,01135;1;2;2
4;136;19,29504;1;4;4
4;137;19,81625;1;4;4
4;138;20,12766;1;1;1
4;139;20,34326;1;3;3
4;140;20,57809;1;2;2
4;141;20,86252;1;4;4
4;142;21,46188;1;4;4
4;143;21,72644;1;1;1
4;144;21,97662;1;3;3
4;145;22,21384;1;2;2
4;146;22,49493;1;4;4
4;147;23,12827;1;4;4
4;148;23,45993;1;1;1
4;149;23,77603;1;3;3
4;150;23,8927;1;2;2
4;151;24,24396;1;4;4
4;152;24,82535;1;4;4
4;153;25,37579;1;1;1
4;154;25,74274;1;3;3
4;155;25,90891;1;2;2
4;156;26,20856;1;4;4
4;157;26,72647;1;4;4
4;158;26,99133;1;1;1
4;159;27,27612;1;3;3
4;160;27,44345;1;2;2
4;161;27,77652;0;4;1
4;162;29,69229;1;4;4
4;163;29,99283;1;1;1
5;164;0,6337585;1;4;4
5;165;0,9320679;1;1;1
5;166;1,232361;1;3;3
5;167;1,448853;1;2;2
5;168;1,832794;1;4;4
5;169;2,363556;1;4;4
5;170;2,666473;1;1;1
5;171;2,914886;1;3;3
5;172;3,131653;1;2;2
5;173;3,865356;1;4;4
5;174;4,631683;1;4;4
5;175;4,981201;1;1;1
5;176;5,250153;1;3;3
5;177;5,381042;1;2;2
5;178;5,730652;1;4;4
5;179;6,380646;1;4;4
5;180;6,664215;1;1;1
5;181;6,911591;1;3;3
5;182;7,012451;1;2;2
5;183;7,414032;1;4;4
5;184;8,096893;1;4;4
5;185;8,513062;1;1;1
5;186;8,813049;1;3;3
5;187;8,933655;1;2;2
5;188;9,378021;1;4;4
5;189;9,933319;1;4;4
5;190;10,22925;1;1;1
5;191;10,46658;1;3;3
5;192;10,57904;1;2;2
5;193;10,94632;1;4;4
5;194;11,59442;1;4;4
5;195;11,96188;1;1;1
5;196;12,21072;1;3;3
5;197;12,32852;1;2;2
5;198;12,86484;1;4;4
5;199;13,41144;1;4;4
5;200;13,72662;1;1;1
5;201;13,98059;1;3;3
5;202;14,12842;1;2;2
5;203;14,47769;1;4;4
5;204;15,34882;1;4;4
5;205;15,69443;1;1;1
5;206;15,92935;1;3;3
5;207;16,04391;1;2;2
5;208;16,41052;1;4;4
5;209;17,0629;1;4;4
5;210;17,46219;1;1;1
5;211;17,64349;1;3;3
5;212;17,74384;1;2;2
5;213;18,07666;1;4;4
5;214;18,80789;1;4;4
5;215;19,12436;1;1;1
5;216;19,30939;1;3;3
5;217;19,78003;1;2;2
5;218;20,20966;1;4;4
5;219;21,87439;1;4;4
5;220;22,15701;1;1;1
5;221;22,37448;1;3;3
5;222;22,45837;1;2;2
5;223;22,77301;1;4;4
5;224;23,39157;1;4;4
5;225;23,72443;1;1;1
5;226;23,92438;1;3;3
5;227;23,97476;1;2;2
5;228;24,37448;1;4;4
5;229;24,89026;1;4;4
5;230;25,20859;1;1;1
5;231;25,40778;1;3;3
5;232;25,50821;1;2;2
5;233;25,8912;1;4;4
5;234;26,49017;1;4;4
5;235;28,42398;0;1;3
5;236;28,52411;0;3;2
5;237;28,90457;0;2;4
5;238;29,59256;1;4;4
5;239;29,8418;0;4;1
6;240;0,6332092;1;4;4
6;241;0,9992981;1;1;1
6;242;1,282684;1;3;3
6;243;1,403259;1;2;2
6;244;1,765259;1;4;4
6;245;2,332611;1;4;4
6;246;2,915619;1;1;1
6;247;3,263794;1;3;3
6;248;3,318146;1;2;2
6;249;3,717865;1;4;4
6;250;4,250854;1;4;4
6;251;4,564758;1;1;1
6;252;4,914825;1;3;3
6;253;5,031097;1;2;2
6;254;5,384277;1;4;4
6;255;5,914764;1;4;4
6;256;6,200745;1;1;1
6;257;6,517181;1;3;3
6;258;6,60083;1;2;2
6;259;6,947601;1;4;4
6;260;7,481262;1;4;4
6;261;7,846924;1;1;1
6;262;8,134277;1;3;3
6;263;8,228363;1;2;2
6;264;8,614319;1;4;4
6;265;9,129791;1;4;4
6;266;9,495636;1;1;1
6;267;9,763367;1;3;3
6;268;9,829865;1;2;2
6;269;10,21371;1;4;4
6;270;10,76196;1;4;4
6;271;11,11218;1;1;1
6;272;11,31308;1;3;3
6;273;11,41245;1;2;2
6;274;11,84671;1;4;4
6;275;12,31152;1;4;4
6;276;12,4942;1;1;1
6;277;13,11227;1;3;3
6;278;13,21225;1;2;2
6;279;13,52872;1;4;4
6;280;13,96088;1;4;4
6;281;14,32901;1;1;1
6;282;14,62854;1;3;3
6;283;14,74551;1;2;2
6;284;15,09485;1;4;4
6;285;15,49274;1;4;4
6;286;15,85901;1;1;1
6;287;16,24457;1;3;3
6;288;16,34354;1;2;2
6;289;16,69455;1;4;4
6;290;17,11072;1;4;4
6;291;17,41098;1;1;1
6;292;17,74283;1;3;3
6;293;17,81046;1;2;2
6;294;18,19193;1;4;4
6;295;18,62479;1;4;4
6;296;18,99695;1;1;1
6;297;19,31055;1;3;3
6;298;19,32678;1;2;2
6;299;19,72644;1;4;4
6;300;20,14383;1;4;4
6;301;20,55817;1;1;1
6;302;20,84286;1;3;3
6;303;20,86032;1;2;2
6;304;21,2081;1;4;4
6;305;21,65909;1;4;4
6;306;21,99106;1;1;1
6;307;22,24188;0;3;2
6;308;22,72351;0;2;4
6;309;23,32858;1;4;4
6;310;23,5921;0;4;1
6;311;27,49069;0;1;4
6;312;29,83856;1;3;3
7;313;0,6329956;1;4;4
7;314;0,9161987;1;1;1
7;315;1,181732;1;3;3
7;316;1,25238;1;2;2
7;317;1,598114;1;4;4
7;318;2,151917;1;4;4
7;319;2,481201;1;1;1
7;320;2,699341;1;3;3
7;321;2,780273;1;2;2
7;322;3,113159;1;4;4
7;323;3,583252;1;4;4
7;324;3,932159;1;1;1
7;325;4,114502;1;3;3
7;326;4,164734;1;2;2
7;327;4,498718;1;4;4
7;328;4,981537;1;4;4
7;329;5,247314;1;1;1
7;330;5,484558;1;3;3
7;331;5,546295;1;2;2
7;332;5,878754;1;4;4
7;333;6,364685;1;4;4
7;334;6,646271;1;1;1
7;335;6,832245;1;3;3
7;336;6,881104;1;2;2
7;337;7,213959;1;4;4
7;338;7,645569;1;4;4
7;339;8,013092;1;1;1
7;340;8,180725;1;3;3
7;341;8,279785;1;2;2
7;342;8,584106;1;4;4
7;343;8,963959;1;4;4
7;344;9,34668;1;1;1
7;345;9,531342;1;3;3
7;346;9,578186;1;2;2
7;347;9,945557;1;4;4
7;348;10,3299;1;4;4
7;349;10,6647;1;1;1
7;350;10,9111;1;3;3
7;351;10,96356;1;2;2
7;352;11,27936;1;4;4
7;353;11,66269;1;4;4
7;354;12,0961;1;1;1
7;355;12,27872;1;3;3
7;356;12,3627;1;2;2
7;357;12,67871;1;4;4
7;358;13,1459;1;4;4
7;359;13,49347;1;1;1
7;360;16,66248;0;3;2
7;361;17,04291;0;2;4
7;362;25,50986;0;4;1
7;363;25,56259;0;4;1
7;364;28,70642;0;1;3
7;365;28,78717;0;3;2
7;366;29,17233;0;2;4
7;367;29,83951;1;4;4
8;368;0,6174622;1;4;4
8;369;0,9151611;1;1;1
8;370;1,266815;1;3;3
8;371;1,300537;1;2;2
8;372;1,752106;1;4;4
8;373;2,233002;1;4;4
8;374;2,549988;1;1;1
8;375;2,936218;1;3;3
8;376;2,951782;1;2;2
8;377;3,599823;1;4;4
8;378;4,163696;1;4;4
8;379;4,56604;1;1;1
8;380;4,897919;1;3;3
8;381;4,983032;1;2;2
8;382;5,332397;1;4;4
8;383;5,783112;1;4;4
8;384;6,182587;1;1;1
8;385;6,465546;1;3;3
8;386;6,565002;1;2;2
8;387;6,930756;1;4;4
8;388;7,430603;1;4;4
8;389;7,764832;1;1;1
8;390;8,101074;0;3;2
8;391;8,464325;0;2;4
8;392;8,979156;1;4;4
8;393;9,379669;0;4;1
8;394;10,39645;0;1;3
8;395;10,53378;0;3;2
8;396;13,16251;0;2;1
8;397;13,69553;1;4;4
8;398;14,24503;1;4;4
8;399;14,56168;1;1;1
8;400;14,9462;1;3;3
8;401;15,19485;1;2;2
8;402;15,67996;1;4;4
8;403;16,74435;1;4;4
8;404;17,1774;1;1;1
8;405;17,42709;1;3;3
8;406;17,52988;1;2;2
8;407;17,94272;1;4;4
8;408;18,41019;1;4;4
8;409;18,76089;1;1;1
8;410;19,07547;1;3;3
8;411;19,19455;1;2;2
8;412;19,64316;1;4;4
8;413;20,0759;1;4;4
8;414;20,39456;1;1;1
8;415;20,70956;1;3;3
8;416;20,78036;1;2;2
8;417;21,14682;1;4;4
8;418;21,60904;1;4;4
8;419;21,94138;1;1;1
8;420;22,1926;1;3;3
8;421;22,24197;1;2;2
8;422;22,57425;1;4;4
8;423;23,11356;1;4;4
8;424;23,46182;1;1;1
8;425;23,64188;1;3;3
8;426;23,72415;1;2;2
8;427;24,09183;1;4;4
8;428;24,69479;1;4;4
8;429;25,11673;1;1;1
8;430;25,40787;1;3;3
8;431;25,54062;1;2;2
8;432;25,92599;1;4;4
8;433;26,45828;1;4;4
8;434;26,80624;1;1;1
8;435;27,17307;1;3;3
8;436;27,27383;1;2;2
8;437;27,74045;1;4;4
8;438;28,17435;1;4;4
8;439;28,5903;1;1;1
8;440;28,84103;1;3;3
8;441;28,88943;1;2;2
8;442;29,25735;1;4;4
8;443;29,75528;1;4;4
9;444;0,5167236;1;4;4
9;445;0,8165894;1;1;1
9;446;1,115784;0;3;2
9;447;3,21637;0;2;1
9;448;3,565125;1;4;4
9;449;4,162903;1;4;4
9;450;4,398804;1;1;1
9;451;4,59906;1;3;3
9;452;4,699158;1;2;2
9;453;4,98175;1;4;4
9;454;5,580872;1;4;4
9;455;5,862854;1;1;1
9;456;6,048218;1;3;3
9;457;6,131897;1;2;2
9;458;6,448059;1;4;4
9;459;6,832031;1;4;4
9;460;7,063416;1;1;1
9;461;7,28064;1;3;3
9;462;7,347534;1;2;2
9;463;7,564392;1;4;4
9;464;8,233704;1;4;4
9;465;8,480469;1;1;1
9;466;8,664124;1;3;3
9;467;8,730896;1;2;2
9;468;9,030457;1;4;4
9;469;9,578674;1;4;4
9;470;9,830444;1;1;1
9;471;9,996887;1;3;3
9;472;10,07983;1;2;2
9;473;10,47839;1;4;4
9;474;10,92798;1;4;4
9;475;11,14502;1;1;1
9;476;11,34686;1;3;3
9;477;11,42761;1;2;2
9;478;11,71661;1;4;4
9;479;12,19556;1;4;4
9;480;12,49567;1;1;1
9;481;12,67914;1;3;3
9;482;12,72894;1;2;2
9;483;13,01123;1;4;4
9;484;13,47852;1;4;4
9;485;13,73224;1;1;1
9;486;13,91211;1;3;3
9;487;13,96222;1;2;2
9;488;14,22968;1;4;4
9;489;14,6944;1;4;4
9;490;14,97815;1;1;1
9;491;15,11127;1;3;3
9;492;15,21497;1;2;2
9;493;15,47729;1;4;4
9;494;15,91016;1;4;4
9;495;16,2782;1;1;1
9;496;16,4118;1;3;3
9;497;16,52875;1;2;2
9;498;16,86176;1;4;4
9;499;17,34656;1;4;4
9;500;17,67773;1;1;1
9;501;20,26038;1;3;3
9;502;20,42645;1;2;2
9;503;20,72681;1;4;4
9;504;21,07697;1;4;4
9;505;21,29321;1;1;1
9;506;21,50775;1;3;3
9;507;21,57983;1;2;2
9;508;21,89148;1;4;4
9;509;22,22437;1;4;4
9;510;22,47485;1;1;1
9;511;22,65997;1;3;3
9;512;22,69275;1;2;2
9;513;23,05725;1;4;4
9;514;23,44232;1;4;4
9;515;23,79028;1;1;1
9;516;24,09259;1;3;3
9;517;24,15924;1;2;2
9;518;24,4071;1;4;4
9;519;24,85669;1;4;4
9;520;25,3916;1;1;1
9;521;25,84113;1;3;3
9;522;25,87781;1;2;2
9;523;26,13989;1;4;4
9;524;26,69226;1;4;4
9;525;27,04486;1;1;1
9;526;27,27393;1;3;3
9;527;27,33893;1;2;2
9;528;27,62347;1;4;4
9;529;28,2066;1;4;4
9;530;28,44104;1;1;1
9;531;28,89056;1;3;3
9;532;28,93842;1;2;2
9;533;29,35486;1;4;4
9;534;29,82184;1;4;4
10;535;0,852356;1;4;4
10;536;1,150513;1;1;1
10;537;1,483521;1;3;3
10;538;1,565796;1;2;2
10;539;2,967407;1;4;4
10;540;3,302734;0;4;1
10;541;3,551392;0;1;3
10;542;3,650635;0;3;2
10;543;4,053406;0;2;4
10;544;4,537476;1;4;4
10;545;6,282715;1;4;4
10;546;7,066223;1;1;1
10;547;7,367676;1;3;3
10;548;7,465759;1;2;2
10;549;7,865662;1;4;4
10;550;8,365967;1;4;4
10;551;8,715576;1;1;1
10;552;8,99939;1;3;3
10;553;9,102478;1;2;2
10;554;9,418518;1;4;4
10;555;9,881775;1;4;4
10;556;10,19879;1;1;1
10;557;10,39923;1;3;3
10;558;10,43195;1;2;2
10;559;10,78436;1;4;4
10;560;11,27954;1;4;4
10;561;11,65057;1;1;1
10;562;11,93542;0;3;2
10;563;12,26392;0;2;4
10;564;12,86383;1;4;4
10;565;14,69537;0;4;1
10;566;16,99457;1;1;1
10;567;17,51324;0;3;4
10;568;17,89575;0;2;3
10;569;17,92889;0;4;2
10;570;19,27899;1;4;4
10;571;19,71246;1;1;1
10;572;20,07928;0;3;4
10;573;21,26123;1;2;2
10;574;21,80951;1;4;4
10;575;22,27814;1;4;4
