BlockNumber;EventNumber;Time Since Block start;isHit;target;pressed
1;1;1,046982;1;4;4
1;2;1,732712;1;1;1
1;3;2,331429;1;3;3
1;4;2,947441;1;2;2
1;5;3,769604;1;4;4
1;6;4,614616;1;4;4
1;7;5,214859;1;1;1
1;8;5,916325;1;3;3
1;9;6,606159;1;2;2
1;10;7,384609;1;4;4
1;11;8,005474;1;4;4
1;12;8,506042;1;1;1
1;13;9,7066;1;3;3
1;14;10,23994;1;2;2
1;15;10,90729;1;4;4
1;16;11,22092;1;4;4
1;17;11,90813;1;1;1
1;18;12,98763;1;3;3
1;19;13,54257;1;2;2
1;20;14,47685;1;4;4
1;21;14,94461;1;4;4
1;22;15,54588;1;1;1
1;23;16,34615;1;3;3
1;24;16,87986;1;2;2
1;25;17,59101;0;4;1
1;26;18,14565;0;4;1
1;27;21,22684;1;1;1
1;28;21,9482;1;3;3
1;29;22,51544;1;2;2
1;30;23,31736;1;4;4
1;31;23,91641;1;4;4
1;32;24,86254;1;1;1
1;33;26,0636;1;3;3
1;34;26,51796;1;2;2
1;35;27,23095;1;4;4
1;36;27,66486;1;4;4
1;37;28,35266;1;1;1
1;38;28,88628;1;3;3
1;39;29,45195;1;2;2
2;40;1,267647;1;4;4
2;41;2,202507;1;1;1
2;42;2,756279;1;3;3
2;43;3,256874;1;2;2
2;44;3,821152;1;4;4
2;45;4,258888;1;4;4
2;46;5,059563;1;1;1
2;47;5,803993;1;3;3
2;48;5,960121;0;2;3
2;49;6,359123;0;4;2
2;50;7,359688;1;4;4
2;51;8,395058;1;1;1
2;52;9,273399;1;3;3
2;53;9,773224;1;2;2
2;54;10,39648;1;4;4
2;55;10,89548;1;4;4
2;56;11,47552;1;1;1
2;57;12,67576;1;3;3
2;58;13,16319;1;2;2
2;59;13,71015;1;4;4
2;60;14,16374;1;4;4
2;61;15,47784;1;1;1
2;62;15,93334;1;3;3
2;63;16,43465;1;2;2
2;64;17,07826;1;4;4
2;65;17,40122;1;4;4
2;66;18,14595;1;1;1
2;67;19,26961;1;3;3
2;68;19,74668;1;2;2
2;69;20,39941;1;4;4
2;70;20,91478;1;4;4
2;71;22,10132;1;1;1
2;72;22,6015;1;3;3
2;73;23,13713;1;2;2
2;74;23,73947;1;4;4
2;75;24,039;1;4;4
2;76;24,93964;1;1;1
2;77;25,5406;1;3;3
2;78;26,11821;1;2;2
2;79;26,80371;1;4;4
2;80;27,40445;1;4;4
2;81;28,33749;1;1;1
2;82;28,97176;1;3;3
2;83;29,5097;1;2;2
3;84;1,203705;1;4;4
3;85;1,766785;1;1;1
3;86;2,403122;1;3;3
3;87;2,868332;1;2;2
3;88;3,249786;1;4;4
3;89;3,668503;1;4;4
3;90;4,217224;1;1;1
3;91;4,884476;1;3;3
3;92;5,371811;1;2;2
3;93;5,872528;1;4;4
3;94;6,239014;1;4;4
3;95;6,772705;1;1;1
3;96;7,273239;1;3;3
3;97;7,818863;1;2;2
3;98;8,473816;1;4;4
3;99;8,738922;1;4;4
3;100;9,520905;1;1;1
3;101;10,02043;1;3;3
3;102;10,52112;1;2;2
3;103;10,94043;1;4;4
3;104;12,41005;1;4;4
3;105;12,85605;1;1;1
3;106;13,31235;1;3;3
3;107;13,75694;1;2;2
3;108;14,32443;1;4;4
3;109;14,59135;1;4;4
3;110;15,08047;1;1;1
3;111;15,59169;1;3;3
3;112;16,04564;1;2;2
3;113;16,66083;1;4;4
3;114;16,91328;1;4;4
3;115;17,57813;1;1;1
3;116;18,42641;1;3;3
3;117;18,94724;1;2;2
3;118;20,71515;1;4;4
3;119;20,92813;1;4;4
3;120;21,72862;1;1;1
