BlockNumber;EventNumber;Time Since Block start;isHit;target;pressed
1;1;0,9014797;1;4;4
1;2;1,583952;1;1;1
1;3;2,166655;1;3;3
1;4;2,781656;1;2;2
1;5;3,13376;1;4;4
1;6;4,147882;1;4;4
1;7;4,88096;1;1;1
1;8;5,4317;1;3;3
1;9;5,899328;1;2;2
1;10;6,365274;1;4;4
1;11;7,216364;1;4;4
1;12;8,313269;1;1;1
1;13;8,780062;1;3;3
1;14;9,265089;1;2;2
1;15;9,846621;1;4;4
1;16;11,24715;0;4;1
1;17;13,51195;1;1;1
1;18;14,14583;1;3;3
1;19;14,61395;1;2;2
1;20;15,19489;1;4;4
1;21;16,12921;1;4;4
1;22;17,20969;1;1;1
1;23;17,86232;1;3;3
1;24;18,42839;1;2;2
1;25;19,04524;1;4;4
1;26;20,19386;1;4;4
1;27;21,24379;1;1;1
1;28;21,71055;1;3;3
1;29;22,14311;1;2;2
1;30;22,84229;1;4;4
1;31;23,72664;1;4;4
1;32;24,99376;1;1;1
1;33;26,27355;1;3;3
1;34;26,84299;1;2;2
1;35;27,30606;1;4;4
1;36;28,15577;1;4;4
1;37;28,89333;1;1;1
1;38;29,43968;1;3;3
2;39;0,8007431;1;4;4
2;40;1,284187;1;1;1
2;41;1,717049;1;3;3
2;42;2,151474;1;2;2
2;43;2,549843;1;4;4
2;44;3,982536;1;4;4
2;45;4,484283;1;1;1
2;46;4,882629;1;3;3
2;47;5,196831;1;2;2
2;48;5,71624;1;4;4
2;49;6,616394;1;4;4
2;50;7,049072;1;1;1
2;51;7,549194;1;3;3
2;52;7,883614;1;2;2
2;53;8,531815;1;4;4
2;54;9,365471;1;4;4
2;55;10,28407;1;1;1
2;56;10,58031;1;3;3
2;57;10,88074;0;2;3
2;58;11,4969;0;4;2
2;59;12,6141;1;4;4
2;60;13,4131;1;1;1
2;61;13,8988;1;3;3
2;62;14,37865;1;2;2
2;63;14,91326;1;4;4
2;64;15,67915;1;4;4
2;65;16,37937;1;1;1
2;66;16,86199;1;3;3
2;67;17,2942;1;2;2
2;68;17,94569;1;4;4
2;69;18,68047;1;4;4
2;70;19,57819;1;1;1
2;71;20,01012;1;3;3
2;72;20,51141;1;2;2
2;73;21,25768;1;4;4
2;74;21,77535;1;4;4
2;75;22,9582;1;1;1
2;76;23,32783;1;3;3
2;77;23,62515;1;2;2
2;78;24,19181;1;4;4
2;79;24,5284;1;4;4
2;80;25,3103;1;1;1
2;81;25,64203;1;3;3
2;82;25,93966;1;2;2
2;83;26,32699;1;4;4
2;84;27,25568;1;4;4
2;85;28,12533;1;1;1
2;86;28,59194;1;3;3
2;87;28,97586;1;2;2
2;88;29,35891;1;4;4
3;89;0,6700439;1;4;4
3;90;1,118469;1;1;1
3;91;1,703049;1;3;3
3;92;2,069016;1;2;2
3;93;2,71933;1;4;4
3;94;3,150269;1;4;4
3;95;3,950302;0;1;3
3;96;5,302383;1;3;3
3;97;5,784027;1;2;2
3;98;6,51886;1;4;4
3;99;7,200729;1;4;4
3;100;7,900162;1;1;1
3;101;8,234512;1;3;3
3;102;8,649734;1;2;2
3;103;9,300247;1;4;4
3;104;10,01361;1;4;4
3;105;11,01611;1;1;1
3;106;11,2988;1;3;3
3;107;11,78236;1;2;2
3;108;12,19914;1;4;4
3;109;12,66704;1;4;4
3;110;13,47928;1;1;1
3;111;13,76256;1;3;3
3;112;13,99898;1;2;2
3;113;14,43173;1;4;4
3;114;14,88022;1;4;4
3;115;15,59869;1;1;1
3;116;15,89587;1;3;3
3;117;16,23123;1;2;2
3;118;16,54642;1;4;4
3;119;17,02937;1;4;4
3;120;18,04521;1;1;1
3;121;18,49544;1;3;3
3;122;18,74509;1;2;2
3;123;19,29729;1;4;4
3;124;19,79546;1;4;4
3;125;20,57961;1;1;1
3;126;20,92871;1;3;3
3;127;21,21335;1;2;2
3;128;21,62819;1;4;4
3;129;21,9933;1;4;4
3;130;22,99559;1;1;1
3;131;23,32805;1;3;3
3;132;23,72902;1;2;2
3;133;24,3622;1;4;4
3;134;24,7778;1;4;4
3;135;25,5947;1;1;1
3;136;25,89307;1;3;3
3;137;26,1779;1;2;2
3;138;26,49243;1;4;4
3;139;27,11006;1;4;4
3;140;27,82713;1;1;1
3;141;28,0739;1;3;3
3;142;28,77571;1;2;2
3;143;29,1097;1;4;4
4;144;0,517746;1;4;4
4;145;1,251297;1;1;1
4;146;1,701096;1;3;3
4;147;2,098969;1;2;2
4;148;2,583176;1;4;4
4;149;3,330627;1;4;4
4;150;3,79747;1;1;1
4;151;4,1651;1;3;3
4;152;4,59996;1;2;2
4;153;5,063522;1;4;4
4;154;5,931503;0;4;1
4;155;7,132217;1;1;1
4;156;7,630829;1;3;3
4;157;7,964661;1;2;2
4;158;8,628998;1;4;4
4;159;9,197525;1;4;4
4;160;9,697937;1;1;1
4;161;10,03116;1;3;3
4;162;10,38335;1;2;2
4;163;10,6963;1;4;4
4;164;11,41475;1;4;4
4;165;11,88135;1;1;1
4;166;12,16328;1;3;3
4;167;12,56429;1;2;2
4;168;13,06151;1;4;4
4;169;14,3447;1;4;4
4;170;14,77946;1;1;1
4;171;15,12689;1;3;3
4;172;15,54433;1;2;2
4;173;15,89529;1;4;4
4;174;17,112;1;4;4
4;175;17,54485;1;1;1
4;176;17,89503;1;3;3
4;177;18,29465;1;2;2
4;178;18,72803;1;4;4
4;179;19,74474;1;4;4
4;180;20,22766;1;1;1
4;181;20,60953;1;3;3
4;182;21,07791;1;2;2
4;183;21,66029;1;4;4
4;184;22,44281;1;4;4
4;185;22,8938;1;1;1
4;186;23,57445;1;3;3
4;187;24,35979;1;2;2
4;188;24,82401;1;4;4
4;189;25,52278;1;4;4
4;190;25,97496;1;1;1
4;191;26,27489;1;3;3
4;192;26,69234;1;2;2
4;193;27,19165;1;4;4
4;194;27,95872;1;4;4
4;195;28,42345;1;1;1
4;196;28,70599;1;3;3
4;197;29,57365;1;2;2
5;198;0,7368469;1;4;4
5;199;1,203094;1;1;1
5;200;2,618988;1;3;3
5;201;3,019836;1;2;2
5;202;3,351288;1;4;4
5;203;4,136292;1;4;4
5;204;4,901764;1;1;1
5;205;5,302185;1;3;3
5;206;5,650452;1;2;2
5;207;6,051514;1;4;4
5;208;7,065063;1;4;4
5;209;7,534973;1;1;1
5;210;7,834534;1;3;3
5;211;8,201721;1;2;2
5;212;8,516022;1;4;4
5;213;9,38208;1;4;4
5;214;10,2341;1;1;1
5;215;10,54858;1;3;3
5;216;10,83096;1;2;2
5;217;11,16464;1;4;4
5;218;12,09906;1;4;4
5;219;12,47961;1;1;1
5;220;12,81433;1;3;3
5;221;13,26639;1;2;2
5;222;13,7164;1;4;4
5;223;14,71667;1;4;4
5;224;15,14764;1;1;1
5;225;15,39825;1;3;3
5;226;15,67908;1;2;2
5;227;16,1813;1;4;4
5;228;17,28116;1;4;4
5;229;17,72906;1;1;1
5;230;17,98047;1;3;3
5;231;18,29727;1;2;2
5;232;18,8645;1;4;4
5;233;19,41257;1;4;4
5;234;19,94583;1;1;1
5;235;20,24512;1;3;3
5;236;20,58002;1;2;2
5;237;20,91409;1;4;4
5;238;21,42981;1;4;4
5;239;22,08026;1;1;1
5;240;22,26071;1;3;3
5;241;22,58014;1;2;2
5;242;23,09302;1;4;4
5;243;24,42822;1;4;4
5;244;24,62842;1;1;1
5;245;24,90912;1;3;3
5;246;25,26224;1;2;2
5;247;25,52774;1;4;4
5;248;26,89432;1;4;4
5;249;27,16055;1;1;1
5;250;27,32751;0;3;4
5;251;27,47537;0;2;3
5;252;28,90973;1;4;4
5;253;29,81064;1;4;4
6;254;0,7528687;1;4;4
6;255;1,168854;1;1;1
6;256;1,486115;1;3;3
6;257;1,801849;1;2;2
6;258;2,085114;1;4;4
6;259;2,600861;1;4;4
6;260;3,035797;1;1;1
6;261;3,268188;1;3;3
6;262;3,451721;1;2;2
6;263;3,734558;1;4;4
6;264;4,6008;1;4;4
6;265;4,934784;1;1;1
6;266;5,301361;1;3;3
6;267;5,418793;1;2;2
6;268;6,20047;1;4;4
6;269;6,96698;1;4;4
6;270;7,616699;1;1;1
6;271;7,752838;1;3;3
6;272;8,017914;1;2;2
6;273;8,250183;1;4;4
6;274;8,899017;1;4;4
6;275;9,480896;1;1;1
6;276;9,616089;1;3;3
6;277;9,848236;1;2;2
6;278;10,09723;1;4;4
6;279;10,98029;1;4;4
6;280;11,21548;1;1;1
6;281;11,42905;1;3;3
6;282;11,64648;1;2;2
6;283;11,96622;1;4;4
6;284;12,7789;1;4;4
6;285;13,18137;1;1;1
6;286;13,37982;1;3;3
6;287;13,67999;0;2;4
6;288;14,84598;1;4;4
6;289;15,59705;1;4;4
6;290;16,54694;1;1;1
6;291;16,71402;1;3;3
6;292;16,94601;1;2;2
6;293;17,27802;1;4;4
6;294;18,54709;1;4;4
6;295;18,94504;1;1;1
6;296;19,14578;1;3;3
6;297;19,345;1;2;2
6;298;19,57919;1;4;4
6;299;20,42975;1;4;4
6;300;20,82822;1;1;1
6;301;21,01028;1;3;3
6;302;21,26236;1;2;2
6;303;21,47836;1;4;4
6;304;22,40961;1;4;4
6;305;22,82935;1;1;1
6;306;23,09308;1;3;3
6;307;23,34604;1;2;2
6;308;23,47858;1;4;4
6;309;24,4111;1;4;4
6;310;24,82599;1;1;1
6;311;25,07718;1;3;3
6;312;25,32892;0;2;4
6;313;25,84445;1;4;4
6;314;27,85876;1;4;4
6;315;28,62628;1;1;1
6;316;29,44055;1;3;3
6;317;29,65762;1;2;2
6;318;29,89169;1;4;4
7;319;0,6669617;1;4;4
7;320;1,080536;1;1;1
7;321;1,531738;1;3;3
7;322;1,916077;1;2;2
7;323;2,248688;1;4;4
7;324;3,031708;1;4;4
7;325;3,416443;1;1;1
7;326;3,91925;1;3;3
7;327;4,212677;1;2;2
7;328;4,595551;1;4;4
7;329;5,266235;1;4;4
7;330;5,716949;1;1;1
7;331;6,047424;1;3;3
7;332;6,380554;1;2;2
7;333;6,864532;1;4;4
7;334;7,632721;1;4;4
7;335;8,015076;1;1;1
7;336;8,314392;1;3;3
7;337;8,581604;1;2;2
7;338;8,89566;1;4;4
7;339;9,713684;1;4;4
7;340;10,04807;1;1;1
7;341;10,32874;1;3;3
7;342;10,59451;1;2;2
7;343;10,7634;1;4;4
7;344;12,29523;1;4;4
7;345;12,69641;1;1;1
7;346;13,27969;1;3;3
7;347;13,79532;1;2;2
7;348;14,04456;1;4;4
7;349;14,76306;1;4;4
7;350;15,12823;1;1;1
7;351;15,41238;1;3;3
7;352;15,66141;1;2;2
7;353;15,87637;1;4;4
7;354;16,71176;1;4;4
7;355;17,02866;1;1;1
7;356;17,24402;1;3;3
7;357;17,56033;0;2;4
7;358;19,42487;1;4;4
7;359;20,26093;1;4;4
7;360;20,71033;1;1;1
7;361;21,06134;1;3;3
7;362;21,27545;1;2;2
7;363;21,4938;1;4;4
7;364;22,32614;1;4;4
7;365;22,69351;1;1;1
7;366;23,15939;1;3;3
7;367;24,05731;1;2;2
7;368;24,32611;1;4;4
7;369;25,09283;1;4;4
7;370;25,52524;1;1;1
7;371;25,8248;1;3;3
7;372;26,15567;1;2;2
7;373;26,40656;1;4;4
7;374;27,24045;1;4;4
7;375;27,54178;1;1;1
7;376;27,89175;1;3;3
7;377;28,17252;1;2;2
7;378;28,32117;1;4;4
7;379;29,24023;1;4;4
7;380;29,63913;1;1;1
8;381;0,6344299;1;4;4
8;382;1,01886;1;1;1
8;383;1,2677;1;3;3
8;384;1,449951;1;2;2
8;385;1,633118;1;4;4
8;386;2,299713;1;4;4
8;387;2,615051;1;1;1
8;388;2,782379;1;3;3
8;389;3,01712;1;2;2
8;390;3,149902;1;4;4
8;391;3,866455;1;4;4
8;392;4,131317;1;1;1
8;393;4,297211;1;3;3
8;394;4,499359;1;2;2
8;395;4,61438;1;4;4
8;396;5,416046;1;4;4
8;397;5,632813;1;1;1
8;398;5,811981;1;3;3
8;399;6,014435;1;2;2
8;400;6,148529;0;4;3
8;401;6,230133;1;4;4
8;402;7,697845;1;1;1
8;403;7,879028;0;3;4
8;404;9,645599;1;2;2
8;405;10,03036;1;4;4
8;406;10,76428;1;4;4
8;407;11,16345;1;1;1
8;408;11,46375;1;3;3
8;409;11,79742;1;2;2
8;410;12,29614;1;4;4
8;411;12,89719;1;4;4
8;412;13,35956;1;1;1
8;413;13,99408;1;3;3
8;414;14,41156;1;2;2
8;415;14,67831;1;4;4
8;416;15,46027;1;4;4
8;417;15,84567;1;1;1
8;418;16,11118;1;3;3
8;419;17,06229;0;2;4
8;420;18,86038;1;4;4
8;421;19,61127;1;4;4
8;422;20,577;1;1;1
8;423;21,09335;1;3;3
8;424;21,5267;1;2;2
8;425;22,22552;1;4;4
8;426;22,70874;1;4;4
8;427;23,25986;1;1;1
8;428;23,69168;1;3;3
8;429;24,20929;1;2;2
8;430;24,6911;1;4;4
8;431;25,48938;1;4;4
8;432;25,95792;1;1;1
8;433;26,48889;1;3;3
8;434;26,94131;1;2;2
8;435;27,62473;1;4;4
8;436;28,32452;1;4;4
8;437;29,0567;1;1;1
8;438;29,65598;1;3;3
9;439;0,6841431;1;4;4
9;440;1,082092;1;1;1
9;441;1,449341;1;3;3
9;442;1,850281;1;2;2
9;443;2,151062;1;4;4
9;444;2,846191;1;4;4
9;445;3,21637;1;1;1
9;446;3,5979;1;3;3
9;447;3,963989;1;2;2
9;448;4,248413;1;4;4
9;449;4,948914;1;4;4
9;450;6,16864;1;1;1
9;451;7,082336;0;3;2
9;452;10,18073;1;2;2
9;453;11,23029;1;4;4
9;454;11,96027;1;4;4
9;455;12,41248;1;1;1
9;456;12,87781;1;3;3
9;457;13,27972;1;2;2
9;458;13,81274;1;4;4
9;459;14,61163;1;4;4
9;460;15,02832;1;1;1
9;461;15,36194;1;3;3
9;462;15,7597;1;2;2
9;463;16,09546;1;4;4
9;464;16,82703;1;4;4
9;465;17,64532;1;1;1
9;466;17,99255;1;3;3
9;467;18,56079;1;2;2
9;468;18,87726;1;4;4
9;469;19,69354;1;4;4
9;470;21,19208;0;1;2
9;471;21,60944;1;3;3
9;472;23,20685;0;2;1
9;473;25,07428;1;4;4
9;474;25,75629;1;4;4
9;475;26,20947;1;1;1
9;476;26,67371;1;3;3
9;477;27,1073;1;2;2
9;478;27,90582;1;4;4
9;479;29,22449;1;4;4
9;480;29,85742;1;1;1
10;481;0,5340576;1;4;4
10;482;0,9811401;1;1;1
10;483;1,267517;1;3;3
10;484;1,683289;1;2;2
10;485;2,10083;1;4;4
10;486;2,76709;1;4;4
10;487;3,181458;1;1;1
10;488;3,480774;1;3;3
10;489;3,781128;1;2;2
10;490;4,066833;1;4;4
10;491;4,8797;1;4;4
10;492;5,230408;1;1;1
10;493;5,581482;1;3;3
10;494;5,84906;1;2;2
10;495;6,099548;1;4;4
10;496;6,898376;1;4;4
10;497;7,381409;1;1;1
10;498;7,598877;1;3;3
10;499;7,829041;1;2;2
10;500;8,114258;1;4;4
10;501;8,863098;1;4;4
10;502;9,263794;1;1;1
10;503;9,478455;1;3;3
10;504;9,71405;1;2;2
10;505;9,91449;1;4;4
10;506;10,66425;1;4;4
10;507;10,9632;1;1;1
10;508;11,19684;1;3;3
