BlockNumber;EventNumber;Time Since Block start;isHit;target;pressed
1;1;2,394211;1;4;4
1;2;2,912979;1;1;1
1;3;4,195419;1;3;3
1;4;4,62175;1;2;2
1;5;7,116241;1;4;4
1;6;8,56604;1;4;4
1;7;9,057098;1;1;1
1;8;9,658478;1;3;3
1;9;10,0513;1;2;2
1;10;10,43605;1;4;4
1;11;10,92496;0;4;1
1;12;11,32021;0;1;4
1;13;12,79242;1;3;3
1;14;13,08766;1;2;2
1;15;13,73709;1;4;4
1;16;14,40207;1;4;4
1;17;14,78841;1;1;1
1;18;15,40375;1;3;3
1;19;15,93687;1;2;2
1;20;16,57111;1;4;4
1;21;17,48981;1;4;4
1;22;17,94058;1;1;1
1;23;18,47319;1;3;3
1;24;18,92592;1;2;2
1;25;19,5229;1;4;4
1;26;20,31532;0;4;1
1;27;20,74207;0;1;4
1;28;21,67372;1;3;3
1;29;22,0764;1;2;2
1;30;22,55994;1;4;4
1;31;23,42691;1;4;4
1;32;23,92853;1;1;1
1;33;24,87856;1;3;3
1;34;25,21175;1;2;2
1;35;25,47929;1;4;4
1;36;26,51274;1;4;4
1;37;27,04605;1;1;1
1;38;27,50397;1;3;3
1;39;27,84642;1;2;2
1;40;28,10323;0;4;3
1;41;29,44606;1;4;4
1;42;29,8716;1;1;1
2;43;2,254211;0;4;1
2;44;3,026932;0;1;4
2;45;4,103271;1;3;3
2;46;4,338699;1;2;2
2;47;4,82959;1;4;4
2;48;5,539856;1;4;4
2;49;6,006256;1;1;1
2;50;6,326218;0;3;4
2;51;8,208588;1;2;2
2;52;8,959351;0;4;3
2;53;10,31642;1;4;4
2;54;11,29387;1;1;1
2;55;12,09398;1;3;3
2;56;12,49457;1;2;2
2;57;12,91377;1;4;4
2;58;13,71527;0;4;1
2;59;15,08772;0;1;4
2;60;15,77249;1;3;3
2;61;16,03929;1;2;2
2;62;16,44803;0;4;3
2;63;18,48453;1;4;4
2;64;19,21666;1;1;1
2;65;19,83725;1;3;3
2;66;20,13506;1;2;2
2;67;20,60287;1;4;4
2;68;21,42015;0;4;1
2;69;22,08537;0;1;4
2;70;24,53731;1;3;3
2;71;24,7381;1;2;2
2;72;24,97224;1;4;4
2;73;25,85416;1;4;4
2;74;26,25586;1;1;1
2;75;26,69069;1;3;3
2;76;26,93817;1;2;2
2;77;27,10777;1;4;4
2;78;27,65579;0;4;1
2;79;28,12642;0;1;4
2;80;29,44232;1;3;3
2;81;29,62354;1;2;2
2;82;29,87592;1;4;4
3;83;1,082336;1;4;4
3;84;1,552521;1;1;1
3;85;1,98642;1;3;3
3;86;2,252594;1;2;2
3;87;2,487305;1;4;4
3;88;3,220703;0;4;1
3;89;3,752686;0;1;4
3;90;5,105713;1;3;3
3;91;5,239075;1;2;2
3;92;5,472198;1;4;4
3;93;6,239502;1;4;4
3;94;6,488983;1;1;1
3;95;7,473724;1;3;3
3;96;7,740967;1;2;2
3;97;8,006897;1;4;4
3;98;8,940765;1;4;4
3;99;9,157104;1;1;1
3;100;9,564819;1;3;3
3;101;9,673737;1;2;2
3;102;9,958649;1;4;4
3;103;10,6763;1;4;4
3;104;10,90945;1;1;1
3;105;11,47577;1;3;3
3;106;11,64072;1;2;2
3;107;11,87503;1;4;4
3;108;12,67719;1;4;4
3;109;12,9086;1;1;1
3;110;13,27649;1;3;3
3;111;13,44379;1;2;2
3;112;13,66199;1;4;4
3;113;14,29468;0;4;1
3;114;14,49521;0;1;4
3;115;14,76846;1;3;3
3;116;14,91165;1;2;2
3;117;15,14407;1;4;4
3;118;16,06763;0;4;1
3;119;16,68591;0;1;4
3;120;17,43073;0;3;2
3;121;19,21698;0;2;4
3;122;23,29919;1;4;4
3;123;24,5032;1;4;4
3;124;24,92645;1;1;1
3;125;25,53625;1;3;3
3;126;25,77661;1;2;2
