BlockNumber;EventNumber;Time Since Block start;isHit;target;pressed
1;1;0,8009834;1;4;4
1;2;1,417549;1;1;1
1;3;1,790779;1;3;3
1;4;1,952065;1;2;2
1;5;2,153088;1;4;4
1;6;4,944626;0;4;2
1;7;5,239727;0;1;4
1;8;8,457932;1;3;3
1;9;9,564201;1;2;2
1;10;10,37594;1;4;4
1;11;11,81057;1;4;4
1;12;12,34095;1;1;1
1;13;12,89538;1;3;3
1;14;13,10039;1;2;2
1;15;13,39836;1;4;4
1;16;14,1939;1;4;4
1;17;14,48438;1;1;1
1;18;14,96119;1;3;3
1;19;15,13612;1;2;2
1;20;15,33547;1;4;4
1;21;16,58543;1;4;4
1;22;17,08052;1;1;1
1;23;17,33099;1;3;3
1;24;17,47068;1;2;2
1;25;17,69654;1;4;4
1;26;18,48132;1;4;4
1;27;18,79855;1;1;1
1;28;19,03776;1;3;3
1;29;19,19326;1;2;2
1;30;19,39781;1;4;4
1;31;20,24587;1;4;4
1;32;20,56516;1;1;1
1;33;22,2514;1;3;3
1;34;22,43445;1;2;2
1;35;22,63303;1;4;4
1;36;23,55162;1;4;4
1;37;23,86681;1;1;1
1;38;24,33333;1;3;3
1;39;24,48613;1;2;2
1;40;24,70205;1;4;4
1;41;25,3368;1;4;4
1;42;25,77495;1;1;1
1;43;26,07078;1;3;3
1;44;26,20345;1;2;2
1;45;26,43694;1;4;4
1;46;27,20485;1;4;4
1;47;27,47709;1;1;1
1;48;27,77184;1;3;3
1;49;27,89401;1;2;2
1;50;28,0596;1;4;4
1;51;28,85495;1;4;4
1;52;29,15546;1;1;1
1;53;29,33871;1;3;3
1;54;29,52176;1;2;2
1;55;29,78913;1;4;4
2;56;0,8934097;1;4;4
2;57;1,311714;1;1;1
2;58;1,561813;1;3;3
2;59;1,68396;1;2;2
2;60;1,846375;1;4;4
2;61;2,546188;1;4;4
2;62;2,746941;1;1;1
2;63;2,94651;1;3;3
2;64;3,053093;1;2;2
2;65;3,295303;1;4;4
2;66;3,927628;1;4;4
2;67;4,130066;1;1;1
2;68;4,330223;1;3;3
2;69;4,436752;1;2;2
2;70;4,66404;1;4;4
2;71;5,330185;1;4;4
2;72;5,504593;1;1;1
2;73;5,698242;1;3;3
2;74;5,831871;1;2;2
2;75;6,837822;1;4;4
2;76;7,521629;1;4;4
2;77;8,082596;1;1;1
2;78;8,233017;1;3;3
2;79;8,350212;1;2;2
2;80;8,530716;1;4;4
2;81;9,201454;1;4;4
2;82;9,490166;1;1;1
2;83;9,705444;1;3;3
2;84;9,800171;1;2;2
2;85;9,971199;1;4;4
2;86;10,65073;1;4;4
2;87;10,9174;1;1;1
2;88;11,09067;1;3;3
2;89;11,25179;1;2;2
2;90;11,38554;1;4;4
2;91;12,00282;1;4;4
2;92;12,31993;1;1;1
2;93;12,5195;1;3;3
2;94;12,65308;1;2;2
2;95;12,78731;1;4;4
2;96;13,56002;1;4;4
2;97;13,82673;1;1;1
2;98;13,9864;1;3;3
2;99;14,06931;1;2;2
2;100;14,22642;1;4;4
2;101;14,87137;1;4;4
2;102;15,32612;1;1;1
2;103;15,50575;1;3;3
2;104;15,65982;1;2;2
2;105;15,99468;1;4;4
2;106;16,63921;1;4;4
2;107;16,90485;1;1;1
2;108;17,17265;1;3;3
2;109;17,27847;1;2;2
2;110;17,50653;1;4;4
2;111;18,07388;1;4;4
2;112;18,3801;1;1;1
2;113;18,56346;1;3;3
2;114;18,65839;1;2;2
2;115;18,78902;1;4;4
2;116;19,3739;1;4;4
2;117;19,77478;1;1;1
2;118;19,94736;1;3;3
2;119;20,12488;1;2;2
2;120;20,20869;1;4;4
2;121;20,66354;1;4;4
2;122;20,85915;0;1;3
2;123;20,95937;0;3;2
2;124;21,07531;0;2;1
2;125;21,24866;1;4;4
2;126;21,7094;1;4;4
2;127;21,82407;0;1;3
2;128;22,06403;0;3;2
2;129;22,19191;0;2;1
2;130;22,3663;1;4;4
2;131;22,90897;1;4;4
2;132;23,02542;0;1;3
2;133;23,33357;0;3;1
2;134;23,35948;1;2;2
2;135;24,06172;1;4;4
2;136;24,24353;0;4;3
2;137;24,36167;0;1;2
2;138;24,6437;0;3;1
2;139;25,819;0;2;4
2;140;27,46354;0;4;1
2;141;27,6641;0;4;3
2;142;27,78542;0;1;2
2;143;28,86337;1;3;3
2;144;29,1534;1;2;2
2;145;29,51416;1;4;4
3;146;0,8138885;1;4;4
3;147;1,183197;1;1;1
3;148;1,434189;1;3;3
3;149;1,579498;1;2;2
3;150;1,967651;1;4;4
3;151;2,916443;1;4;4
3;152;3,308426;1;1;1
3;153;3,708344;1;3;3
3;154;3,976364;1;2;2
3;155;4,267242;1;4;4
3;156;5,076538;1;4;4
3;157;5,421051;1;1;1
3;158;5,725159;1;3;3
3;159;5,837845;1;2;2
3;160;6,102997;1;4;4
3;161;6,837601;1;4;4
3;162;7,194229;1;1;1
3;163;7,561005;1;3;3
3;164;7,670837;1;2;2
3;165;7,894394;1;4;4
3;166;8,570633;1;4;4
3;167;8,995895;1;1;1
3;168;9,289093;1;3;3
3;169;9,388519;1;2;2
3;170;9,562958;1;4;4
3;171;10,46341;1;4;4
3;172;10,84731;1;1;1
3;173;11,17458;1;3;3
3;174;11,25606;1;2;2
3;175;11,41278;1;4;4
3;176;11,99203;1;4;4
3;177;12,32906;1;1;1
3;178;12,60751;1;3;3
3;179;12,72514;1;2;2
3;180;12,92561;1;4;4
3;181;13,64803;1;4;4
3;182;14,37651;1;1;1
3;183;14,59381;1;3;3
3;184;14,70833;1;2;2
3;185;14,85703;1;4;4
3;186;15,56029;1;4;4
3;187;15,91095;1;1;1
3;188;16,08344;1;3;3
3;189;16,21626;1;2;2
3;190;16,36644;1;4;4
3;191;16,92844;1;4;4
3;192;17,20889;1;1;1
3;193;17,5506;1;3;3
3;194;17,72826;1;2;2
3;195;17,95259;1;4;4
3;196;18,71753;1;4;4
3;197;19,16307;1;1;1
3;198;19,42989;1;3;3
3;199;19,56352;1;2;2
3;200;19,69728;1;4;4
3;201;20,38118;1;4;4
3;202;20,75261;1;1;1
3;203;21,03593;1;3;3
3;204;21,28722;1;2;2
3;205;21,62933;1;4;4
3;206;22,24857;1;4;4
3;207;22,60463;1;1;1
3;208;22,87045;1;3;3
3;209;23,02107;1;2;2
3;210;23,14803;1;4;4
3;211;23,79956;1;4;4
3;212;24,08824;1;1;1
3;213;24,30653;0;3;4
3;214;24,51714;0;2;3
3;215;24,61508;0;4;2
3;216;25,28314;1;4;4
3;217;25,61598;1;1;1
3;218;26,13934;1;3;3
3;219;26,30104;1;2;2
3;220;26,42407;1;4;4
3;221;27,13484;1;4;4
3;222;27,53532;1;1;1
3;223;27,81946;0;3;4
3;224;28,00812;0;2;3
3;225;28,11989;0;4;2
3;226;28,39133;1;4;4
3;227;29,5031;1;1;1
3;228;29,95946;1;3;3
4;229;0,6834869;1;4;4
4;230;1,335403;1;1;1
4;231;1,668243;1;3;3
4;232;1,752243;1;2;2
4;233;2,753067;1;4;4
4;234;3,404221;1;4;4
4;235;3,709717;1;1;1
4;236;3,93515;1;3;3
4;237;4,070496;1;2;2
4;238;4,326492;1;4;4
4;239;5,471069;1;4;4
4;240;5,79451;1;1;1
4;241;6,402832;1;3;3
4;242;6,670288;1;2;2
4;243;6,905441;1;4;4
4;244;7,972687;1;4;4
4;245;8,278473;1;1;1
4;246;8,590164;1;3;3
4;247;8,723297;1;2;2
4;248;8,913544;1;4;4
4;249;9,790649;1;4;4
4;250;10,056;1;1;1
4;251;10,3243;1;3;3
4;252;10,42998;1;2;2
4;253;10,5912;1;4;4
4;254;11,40636;1;4;4
4;255;11,8736;1;1;1
4;256;12,0986;1;3;3
4;257;12,23006;1;2;2
4;258;12,60909;1;4;4
4;259;13,3101;1;4;4
4;260;13,54851;1;1;1
4;261;13,79369;1;3;3
4;262;13,92801;1;2;2
4;263;14,11655;1;4;4
4;264;14,89413;1;4;4
4;265;15,34337;1;1;1
4;266;15,56104;1;3;3
4;267;15,71663;1;2;2
4;268;16,29315;1;4;4
4;269;16,94566;1;4;4
4;270;17,21152;1;1;1
4;271;17,41304;1;3;3
4;272;17,47725;1;2;2
4;273;17,6351;1;4;4
4;274;18,66861;1;4;4
4;275;18,95213;1;1;1
4;276;19,32848;1;3;3
4;277;19,46222;1;2;2
4;278;19,71257;1;4;4
4;279;20,64801;1;4;4
4;280;20,9303;1;1;1
4;281;21,15456;1;3;3
4;282;21,24838;1;2;2
4;283;21,38191;1;4;4
4;284;21,99849;1;4;4
4;285;22,22897;1;1;1
4;286;22,57181;0;3;4
4;287;22,59976;0;2;3
4;288;22,83882;0;4;2
4;289;23,86615;1;4;4
4;290;24,15622;1;1;1
4;291;24,38495;1;3;3
4;292;24,48851;1;2;2
4;293;24,66606;1;4;4
4;294;25,5172;1;4;4
4;295;26,15175;1;1;1
4;296;26,55737;1;3;3
4;297;26,6689;1;2;2
4;298;26,90854;1;4;4
4;299;27,95248;1;4;4
4;300;28,25774;1;1;1
4;301;28,4379;1;3;3
4;302;28,5538;1;2;2
4;303;28,65361;1;4;4
4;304;29,5719;1;4;4
4;305;29,81929;1;1;1
5;306;0,8247681;1;4;4
5;307;1,602844;1;1;1
5;308;2,019836;1;3;3
5;309;2,193665;1;2;2
5;310;2,637726;1;4;4
5;311;3,270599;1;4;4
5;312;3,64389;1;1;1
5;313;3,935547;1;3;3
5;314;4,060272;1;2;2
5;315;4,260681;1;4;4
5;316;5,12738;1;4;4
5;317;5,422607;1;1;1
5;318;5,689941;1;3;3
5;319;5,795105;1;2;2
5;320;5,954712;1;4;4
5;321;6,610901;1;4;4
5;322;6,940094;1;1;1
5;323;7,145294;1;3;3
5;324;7,239655;1;2;2
5;325;7,439453;1;4;4
5;326;8,256927;1;4;4
5;327;8,648315;1;1;1
5;328;8,875488;1;3;3
5;329;8,980682;1;2;2
5;330;9,709045;1;4;4
5;331;10,40762;1;4;4
5;332;10,67416;1;1;1
5;333;10,8092;1;3;3
5;334;10,92609;1;2;2
5;335;11,0986;1;4;4
5;336;12,03296;1;4;4
5;337;12,40897;1;1;1
5;338;12,69962;1;3;3
5;339;12,83301;1;2;2
5;340;13,77768;0;4;1
5;341;15,00079;1;4;4
5;342;15,8855;1;1;1
5;343;16,32999;1;3;3
5;344;16,91309;1;2;2
5;345;17,54721;1;4;4
5;346;18,70306;1;4;4
5;347;19,198;1;1;1
5;348;19,26489;0;3;2
5;349;19,50305;0;2;4
5;350;20,26605;1;4;4
5;351;20,7999;0;4;1
5;352;21,1709;0;1;3
5;353;21,30557;0;3;2
5;354;21,9726;0;2;4
5;355;22,60022;1;4;4
5;356;23,06882;0;4;1
5;357;23,24792;0;1;3
5;358;23,42429;0;3;2
5;359;23,7851;0;2;4
5;360;24,6066;1;4;4
5;361;25,11862;0;4;1
5;362;26,46835;1;1;1
5;363;26,92029;1;3;3
5;364;27,06851;1;2;2
5;365;27,37634;1;4;4
5;366;28,03751;1;4;4
5;367;28,70203;1;1;1
5;368;28,93887;1;3;3
5;369;29,02756;1;2;2
5;370;29,67258;1;4;4
6;371;1,005463;1;4;4
6;372;1,784027;1;1;1
6;373;2,090729;1;3;3
6;374;2,22287;1;2;2
6;375;2,489349;1;4;4
6;376;3,068634;1;4;4
6;377;3,567017;1;1;1
6;378;3,803375;1;3;3
6;379;3,959167;1;2;2
6;380;4,192169;1;4;4
6;381;4,851563;1;4;4
