BlockNumber;EventNumber;Time Since Block start;isHit;target;pressed
1;1;1,350151;1;4;4
1;2;1,617485;1;1;1
1;3;2,11673;1;3;3
1;4;2,516266;1;2;2
1;5;2,929237;1;4;4
1;6;3,466698;1;4;4
1;7;3,943405;1;1;1
1;8;4,515793;0;3;2
1;9;5,613419;1;2;2
1;10;7,143471;1;4;4
1;11;8,075691;1;4;4
1;12;9,597885;1;1;1
1;13;10,14771;1;3;3
1;14;10,73032;1;2;2
1;15;11,2295;1;4;4
1;16;11,8284;1;4;4
1;17;12,35674;1;1;1
1;18;12,91286;1;3;3
1;19;13,41276;1;2;2
1;20;13,92514;1;4;4
1;21;14,44646;1;4;4
1;22;14,97844;1;1;1
1;23;15,94472;1;3;3
1;24;16,32874;1;2;2
1;25;16,90722;1;4;4
1;26;17,83906;1;4;4
1;27;18,62552;1;1;1
1;28;19,1405;1;3;3
1;29;19,57777;1;2;2
1;30;20,17759;1;4;4
1;31;20,94394;1;4;4
1;32;22,29316;1;1;1
1;33;22,78826;1;3;3
1;34;23,22584;1;2;2
1;35;23,77194;1;4;4
1;36;25,14203;1;4;4
1;37;25,90216;1;1;1
1;38;27,12043;1;3;3
1;39;27,4875;1;2;2
1;40;27,88728;1;4;4
1;41;28,39044;1;4;4
1;42;28,8403;0;1;4
2;43;1,678848;1;4;4
2;44;2,098831;1;1;1
2;45;2,613388;1;3;3
2;46;2,86647;1;2;2
2;47;3,19339;1;4;4
2;48;3,581451;1;4;4
2;49;4,132965;1;1;1
2;50;5,075439;1;3;3
2;51;5,244034;1;2;2
2;52;5,594086;1;4;4
2;53;6,180664;1;4;4
2;54;6,643677;1;1;1
2;55;8,096771;1;3;3
2;56;8,27948;1;2;2
2;57;8,596771;1;4;4
2;58;9,080017;1;4;4
2;59;9,525848;1;1;1
2;60;11,09421;1;3;3
2;61;11,11371;1;2;2
2;62;11,36162;1;4;4
2;63;12,19576;1;4;4
2;64;12,62933;1;1;1
2;65;13,56226;1;3;3
2;66;13,67908;1;2;2
2;67;14,02292;1;4;4
2;68;14,87596;0;4;1
2;69;16,24046;1;1;1
2;70;17,12135;1;3;3
2;71;17,16127;1;2;2
2;72;17,72836;1;4;4
2;73;18,56059;1;4;4
2;74;19,09424;1;1;1
2;75;19,52747;1;3;3
2;76;19,92119;1;2;2
2;77;20,04391;1;4;4
2;78;21,02701;1;4;4
2;79;21,5555;1;1;1
2;80;22,10941;1;3;3
2;81;22,1756;1;2;2
2;82;22,65494;1;4;4
2;83;23,37621;1;4;4
2;84;23,97618;1;1;1
2;85;24,57008;1;3;3
2;86;24,89066;1;2;2
2;87;24,97563;1;4;4
2;88;25,57237;1;4;4
2;89;26,64069;1;1;1
2;90;27,16853;1;3;3
2;91;27,32498;1;2;2
2;92;27,67368;1;4;4
2;93;28,72385;1;4;4
2;94;29,80267;1;1;1
3;95;0,8956604;1;4;4
3;96;1,176941;1;1;1
3;97;1,68222;1;3;3
3;98;2,047989;1;2;2
3;99;2,215805;1;4;4
3;100;2,894623;1;4;4
3;101;3,249496;1;1;1
3;102;3,561325;1;3;3
3;103;3,783768;1;2;2
3;104;4,098724;1;4;4
3;105;5,213074;1;4;4
3;106;6,010468;1;1;1
3;107;6,493973;1;3;3
3;108;6,892288;1;2;2
3;109;7,124649;0;4;1
3;110;9,29686;1;4;4
3;111;9,624466;1;1;1
3;112;10,09242;1;3;3
3;113;10,2619;1;2;2
3;114;10,5641;1;4;4
3;115;12,61186;1;4;4
3;116;13,02473;1;1;1
3;117;13,56294;1;3;3
3;118;13,77443;1;2;2
3;119;14,06155;1;4;4
3;120;14,52911;1;4;4
3;121;15,12407;1;1;1
3;122;15,67465;1;3;3
3;123;15,8717;1;2;2
3;124;16,1095;1;4;4
3;125;16,70718;1;4;4
3;126;17,657;1;1;1
3;127;18,00676;1;3;3
3;128;18,21072;1;2;2
3;129;18,53809;1;4;4
3;130;19,03911;1;4;4
3;131;19,59406;1;1;1
3;132;20,0769;1;3;3
3;133;20,24411;1;2;2
3;134;20,48729;1;4;4
3;135;21,43654;1;4;4
3;136;22,02162;1;1;1
3;137;22,60776;1;3;3
3;138;22,77202;1;2;2
3;139;23,08804;1;4;4
3;140;25,44145;1;4;4
3;141;25,81883;1;1;1
3;142;26,20728;1;3;3
3;143;26,38589;1;2;2
3;144;26,70567;1;4;4
3;145;27,45728;0;4;1
3;146;29,33994;1;1;1
3;147;29,67375;1;3;3
3;148;29,87341;1;2;2
4;149;0,8657227;1;4;4
4;150;1,428223;1;1;1
4;151;1,844788;1;3;3
4;152;2,01123;1;2;2
4;153;2,560974;1;4;4
4;154;8,246643;1;4;4
4;155;8,579773;1;1;1
4;156;8,879333;1;3;3
4;157;9,24469;1;2;2
4;158;9,862091;1;4;4
4;159;10,47864;0;4;1
4;160;10,70822;0;1;3
4;161;10,89575;0;3;2
4;162;11,16208;0;2;4
4;163;13,41156;1;4;4
4;164;14,37421;1;4;4
4;165;14,81052;1;1;1
4;166;16,39352;1;3;3
4;167;16,5878;1;2;2
4;168;16,82639;1;4;4
4;169;18,36017;1;4;4
4;170;19,25574;1;1;1
4;171;19,64078;1;3;3
4;172;19,88907;1;2;2
4;173;20,186;0;4;3
4;174;21,40854;1;4;4
4;175;22,70801;1;1;1
4;176;23,20224;1;3;3
4;177;23,49197;1;2;2
4;178;23,77515;1;4;4
4;179;24,74026;1;4;4
4;180;25,24121;1;1;1
4;181;25,75757;1;3;3
4;182;26,00803;1;2;2
4;183;26,49017;1;4;4
4;184;27,08957;1;4;4
4;185;27,6918;1;1;1
4;186;28,09003;1;3;3
4;187;28,31876;1;2;2
4;188;28,53918;1;4;4
4;189;29,94055;1;4;4
5;190;0,5354004;1;4;4
5;191;0,9169617;1;1;1
5;192;1,451904;1;3;3
5;193;1,673553;1;2;2
5;194;1,956085;1;4;4
5;195;2,438538;1;4;4
5;196;2,986359;1;1;1
5;197;3,318054;1;3;3
5;198;3,504944;1;2;2
5;199;3,74881;1;4;4
5;200;4,484161;1;4;4
5;201;4,965607;1;1;1
5;202;5,721588;1;3;3
5;203;5,871185;1;2;2
5;204;6,16983;1;4;4
5;205;6,737823;1;4;4
5;206;7,183075;1;1;1
5;207;7,653931;1;3;3
5;208;7,820984;1;2;2
5;209;8,086914;1;4;4
5;210;10,32068;0;4;1
5;211;12,31876;0;1;3
5;212;12,56296;0;3;2
5;213;12,76797;0;2;4
5;214;16,36792;1;4;4
5;215;19,08429;1;4;4
5;216;19,14993;1;1;1
5;217;19,81277;1;3;3
5;218;20,11063;1;2;2
5;219;20,34949;1;4;4
5;220;21,93317;1;4;4
5;221;22,43195;1;1;1
5;222;23,02567;1;3;3
5;223;23,31329;1;2;2
5;224;23,59845;1;4;4
5;225;25,19803;1;4;4
5;226;25,66382;1;1;1
5;227;26,1142;1;3;3
5;228;26,28137;1;2;2
5;229;26,51489;1;4;4
5;230;27,10962;1;4;4
5;231;27,66455;1;1;1
5;232;28,51428;1;3;3
5;233;28,63083;1;2;2
5;234;28,90732;1;4;4
5;235;30,01355;1;4;4
6;236;0,6949768;1;4;4
6;237;1,078003;1;1;1
6;238;1,582886;1;3;3
6;239;1,894653;1;2;2
6;240;2,132782;1;4;4
6;241;2,849426;1;4;4
6;242;3,258942;1;1;1
6;243;3,782593;1;3;3
6;244;3,981323;1;2;2
6;245;4,175629;1;4;4
6;246;4,677246;1;4;4
6;247;5,365021;1;1;1
6;248;5,714935;1;3;3
6;249;5,910431;1;2;2
6;250;6,141479;1;4;4
6;251;6,826569;0;4;1
6;252;8,294281;1;1;1
6;253;9,07959;1;3;3
6;254;9,245819;1;2;2
6;255;9,529602;1;4;4
6;256;11,49545;1;4;4
6;257;11,89151;1;1;1
6;258;12,1561;1;3;3
6;259;12,32925;1;2;2
6;260;12,57681;1;4;4
6;261;13,34653;1;4;4
6;262;13,76114;1;1;1
6;263;14,07831;1;3;3
6;264;14,24429;1;2;2
6;265;14,44504;1;4;4
6;266;15,77698;1;4;4
6;267;16,17706;1;1;1
6;268;16,4267;1;3;3
6;269;16,62515;1;2;2
6;270;16,95636;1;4;4
6;271;17,54385;1;4;4
6;272;17,99353;1;1;1
6;273;18,6871;1;3;3
6;274;18,87277;1;2;2
6;275;19,11987;0;4;3
6;276;20,57495;1;4;4
6;277;22,44141;1;1;1
6;278;22,8378;1;3;3
6;279;22,99194;1;2;2
6;280;23,26913;1;4;4
6;281;24,09204;1;4;4
6;282;25,30371;0;1;2
6;283;25,50137;1;3;3
6;284;28,56927;1;2;2
6;285;29,323;0;4;1
6;286;29,88882;1;4;4
7;287;0,7523499;1;4;4
7;288;1,16507;1;1;1
7;289;1,679382;1;3;3
7;290;2,045197;1;2;2
7;291;2,279205;1;4;4
7;292;2,937195;1;4;4
7;293;3,247101;1;1;1
7;294;3,51767;1;3;3
7;295;3,750397;1;2;2
7;296;4,083984;1;4;4
7;297;5,599426;1;4;4
7;298;6,212646;1;1;1
7;299;6,581116;1;3;3
7;300;6,77771;1;2;2
7;301;7,032532;1;4;4
7;302;7,615845;1;4;4
7;303;8,099579;1;1;1
7;304;8,495453;1;3;3
7;305;8,700073;1;2;2
7;306;8,926025;1;4;4
7;307;9,447479;1;4;4
7;308;9,881714;1;1;1
7;309;10,16537;1;3;3
7;310;10,34924;1;2;2
7;311;10,59677;1;4;4
7;312;11,07788;1;4;4
7;313;11,58109;1;1;1
7;314;12,53079;1;3;3
7;315;12,73114;1;2;2
7;316;13,03125;1;4;4
7;317;13,66385;1;4;4
7;318;14,09677;1;1;1
7;319;14,33038;1;3;3
7;320;14,61447;1;2;2
7;321;14,84662;1;4;4
7;322;15,64728;1;4;4
7;323;16,19077;1;1;1
7;324;16,66312;1;3;3
7;325;16,79239;1;2;2
7;326;17,06421;1;4;4
7;327;17,6774;1;4;4
7;328;18,9791;1;1;1
7;329;19,47906;1;3;3
7;330;19,64157;1;2;2
7;331;19,87851;1;4;4
7;332;20,56155;1;4;4
7;333;21,09439;1;1;1
7;334;21,67261;1;3;3
7;335;21,87219;1;2;2
7;336;22,11224;1;4;4
7;337;22,62717;1;4;4
7;338;23,28824;1;1;1
7;339;23,80914;1;3;3
7;340;24,02744;1;2;2
7;341;24,36081;1;4;4
7;342;25,29431;1;4;4
7;343;25,7438;1;1;1
7;344;26,12549;1;3;3
7;345;26,38757;1;2;2
7;346;26,66055;1;4;4
7;347;27,80899;1;4;4
7;348;28,25931;1;1;1
7;349;28,64334;1;3;3
7;350;28,82639;1;2;2
7;351;29,07541;1;4;4
7;352;29,9097;1;4;4
8;353;0,7993469;1;4;4
8;354;1,111694;1;1;1
8;355;1,415253;1;3;3
8;356;1,632904;1;2;2
8;357;1,898895;1;4;4
