BlockNumber;EventNumber;Time Since Block start;isHit;target;pressed
1;1;0,7900467;1;4;4
1;2;1,057228;1;1;1
1;3;1,256653;1;3;3
1;4;1,498627;1;2;2
1;5;1,733963;1;4;4
1;6;2,182312;1;4;4
1;7;2,535126;1;1;1
1;8;2,751373;1;3;3
1;9;2,983246;1;2;2
1;10;3,184143;1;4;4
1;11;3,602715;1;4;4
1;12;3,886345;1;1;1
1;13;4,16832;1;3;3
1;14;4,383926;1;2;2
1;15;4,603706;1;4;4
1;16;5,07975;1;4;4
1;17;5,303543;1;1;1
1;18;5,502617;1;3;3
1;19;5,785645;1;2;2
1;20;6,070618;1;4;4
1;21;6,569534;1;4;4
1;22;6,821274;1;1;1
1;23;7,071671;1;3;3
1;24;7,302017;1;2;2
1;25;7,521492;1;4;4
1;26;8,144211;1;4;4
1;27;8,411674;1;1;1
1;28;8,705719;1;3;3
1;29;8,972443;1;2;2
1;30;9,239105;1;4;4
1;31;9,788025;1;4;4
1;32;10,02306;1;1;1
1;33;10,25638;1;3;3
1;34;10,50438;1;2;2
1;35;10,7575;1;4;4
1;36;11,32976;1;4;4
1;37;11,57385;1;1;1
1;38;11,79069;1;3;3
1;39;11,99107;1;2;2
1;40;12,27718;1;4;4
1;41;12,89148;1;4;4
1;42;13,1584;1;1;1
1;43;13,39751;1;3;3
1;44;13,63345;1;2;2
1;45;13,85908;1;4;4
1;46;14,45926;1;4;4
1;47;14,73252;1;1;1
1;48;14,94274;1;3;3
1;49;15,18386;1;2;2
1;50;15,42679;1;4;4
1;51;16,01026;1;4;4
1;52;16,24371;1;1;1
1;53;16,47599;1;3;3
1;54;17,03393;0;2;4
1;55;17,71882;1;4;4
1;56;18,31932;1;4;4
1;57;18,61201;1;1;1
1;58;18,83505;1;3;3
1;59;19,06284;1;2;2
1;60;19,31193;1;4;4
1;61;19,87976;1;4;4
1;62;20,10355;1;1;1
1;63;20,34676;1;3;3
1;64;20,56358;1;2;2
1;65;20,77809;1;4;4
1;66;21,3285;1;4;4
1;67;21,55386;1;1;1
1;68;21,77956;1;3;3
1;69;22,04643;1;2;2
1;70;22,26034;1;4;4
1;71;22,64639;1;4;4
1;72;23,04696;1;1;1
1;73;23,38032;1;3;3
1;74;23,64697;1;2;2
1;75;23,88059;1;4;4
1;76;24,54786;1;4;4
1;77;24,81783;1;1;1
1;78;25,06287;1;3;3
1;79;25,34818;1;2;2
1;80;25,61977;1;4;4
1;81;26,23012;1;4;4
1;82;26,46497;1;1;1
1;83;26,71745;1;3;3
1;84;26,96557;1;2;2
1;85;27,23286;1;4;4
1;86;27,95942;1;4;4
1;87;28,20087;1;1;1
1;88;28,4425;1;3;3
1;89;28,66948;1;2;2
1;90;28,87585;1;4;4
1;91;29,58674;1;4;4
1;92;29,83815;1;1;1
2;93;0,6842957;1;4;4
2;94;0,934082;1;1;1
2;95;1,118164;1;3;3
2;96;1,317383;1;2;2
2;97;1,567459;1;4;4
2;98;1,986374;1;4;4
2;99;2,184921;1;1;1
2;100;2,400101;1;3;3
2;101;2,616623;1;2;2
2;102;2,868729;1;4;4
2;103;3,442017;1;4;4
2;104;3,683792;1;1;1
2;105;3,884491;1;3;3
2;106;4,085205;1;2;2
2;107;4,303101;1;4;4
2;108;4,960815;1;4;4
2;109;5,18811;1;1;1
2;110;5,387207;1;3;3
2;111;5,620026;1;2;2
2;112;5,837219;1;4;4
2;113;6,518997;1;4;4
2;114;6,719482;1;1;1
2;115;6,952728;1;3;3
2;116;7,13858;1;2;2
2;117;7,386627;1;4;4
2;118;7,95314;1;4;4
2;119;8,207397;1;1;1
2;120;8,404892;1;3;3
2;121;8,584518;1;2;2
2;122;8,83165;1;4;4
2;123;9,438492;1;4;4
2;124;9,656937;1;1;1
2;125;9,873276;1;3;3
2;126;10,09055;1;2;2
2;127;10,29027;1;4;4
2;128;10,88937;1;4;4
2;129;11,07971;1;1;1
2;130;11,32455;1;3;3
2;131;11,5096;1;2;2
2;132;11,70883;1;4;4
2;133;12,37564;1;4;4
2;134;12,62411;1;1;1
2;135;12,87488;1;3;3
2;136;13,04083;1;2;2
2;137;13,26622;1;4;4
2;138;13,86627;1;4;4
2;139;14,13266;1;1;1
2;140;14,35454;1;3;3
2;141;14,52658;1;2;2
2;142;14,76056;1;4;4
2;143;15,32722;1;4;4
2;144;15,5672;1;1;1
2;145;15,77534;1;3;3
2;146;15,96681;1;2;2
2;147;16,19455;1;4;4
2;148;16,85086;1;4;4
2;149;17,09319;1;1;1
2;150;17,29372;1;3;3
2;151;17,49507;1;2;2
2;152;17,76015;1;4;4
