BlockNumber;EventNumber;Time Since Block start;isHit;target;pressed
1;1;2,480606;1;4;4
1;2;3,016556;1;1;1
1;3;7,919235;0;3;4
1;4;9,738708;1;2;2
1;5;10,24081;1;4;4
1;6;10,97545;1;4;4
1;7;11,54901;1;1;1
1;8;12,15604;1;3;3
1;9;12,57257;1;2;2
1;10;13,00478;1;4;4
1;11;13,5834;1;4;4
1;12;13,95856;1;1;1
1;13;14,42499;1;3;3
1;14;14,76759;1;2;2
1;15;15,25955;1;4;4
1;16;15,99648;1;4;4
1;17;17,50099;1;1;1
1;18;17,94284;1;3;3
1;19;18,39816;1;2;2
1;20;18,89801;1;4;4
1;21;21,14404;1;4;4
1;22;22,63419;0;1;4
1;23;23,89941;1;3;3
1;24;24,37892;1;2;2
1;25;25,03558;1;4;4
1;26;25,56557;1;4;4
1;27;25,91547;1;1;1
1;28;26,26744;1;3;3
1;29;26,71556;1;2;2
1;30;28,38197;1;4;4
1;31;29,84967;1;4;4
2;32;0,7237396;1;4;4
2;33;1,263657;1;1;1
2;34;1,72142;1;3;3
2;35;2,121017;1;2;2
2;36;2,522888;1;4;4
2;37;3,070404;1;4;4
2;38;3,469482;1;1;1
2;39;4,004501;1;3;3
2;40;4,372208;1;2;2
2;41;4,760406;1;4;4
2;42;5,244156;1;4;4
2;43;5,674484;1;1;1
2;44;6,023224;1;3;3
2;45;6,307343;1;2;2
2;46;6,608505;1;4;4
2;47;6,944397;1;4;4
2;48;7,27533;1;1;1
2;49;7,574387;1;3;3
2;50;7,9086;1;2;2
2;51;8,243866;1;4;4
2;52;8,523788;1;4;4
2;53;8,843628;1;1;1
2;54;9,142975;1;3;3
2;55;9,443787;1;2;2
2;56;9,742325;1;4;4
2;57;10,07607;1;4;4
2;58;10,37515;1;1;1
2;59;10,69469;1;3;3
2;60;10,99316;1;2;2
2;61;11,30003;1;4;4
2;62;11,61017;1;4;4
2;63;11,90878;1;1;1
2;64;12,19852;1;3;3
2;65;12,51035;1;2;2
2;66;12,83255;1;4;4
2;67;13,07695;1;4;4
2;68;13,40976;1;1;1
2;69;13,76398;1;3;3
2;70;14,07686;1;2;2
2;71;14,36203;1;4;4
2;72;14,64563;1;4;4
2;73;15,01059;1;1;1
2;74;15,297;1;3;3
2;75;15,59674;1;2;2
2;76;15,91124;1;4;4
2;77;16,19662;1;4;4
2;78;16,53465;1;1;1
2;79;16,83267;1;3;3
2;80;17,08972;1;2;2
2;81;17,42911;1;4;4
2;82;17,7523;1;4;4
2;83;18,01471;1;1;1
2;84;18,3154;1;3;3
2;85;18,58272;1;2;2
2;86;18,88293;1;4;4
2;87;19,19695;1;4;4
2;88;19,5162;1;1;1
2;89;19,88426;1;3;3
2;90;20,15387;1;2;2
2;91;20,45149;1;4;4
2;92;20,7209;1;4;4
2;93;20,99966;1;1;1
2;94;21,28479;1;3;3
2;95;21,62207;1;2;2
2;96;21,88527;1;4;4
2;97;22,16721;1;4;4
2;98;22,48587;1;1;1
2;99;22,82243;1;3;3
2;100;23,08647;1;2;2
2;101;23,38708;1;4;4
2;102;23,72549;1;4;4
2;103;24,05345;1;1;1
2;104;24,33365;1;3;3
2;105;24,6687;1;2;2
2;106;24,95712;1;4;4
2;107;25,25134;1;4;4
2;108;25,73763;1;1;1
2;109;26,01978;1;3;3
2;110;26,27924;1;2;2
2;111;26,60466;1;4;4
2;112;26,9048;1;4;4
2;113;27,17567;1;1;1
2;114;27,45317;1;3;3
2;115;27,75322;1;2;2
2;116;28,03838;1;4;4
2;117;28,30583;1;4;4
2;118;28,606;1;1;1
2;119;29,02074;1;3;3
2;120;29,12022;0;2;3
2;121;29,40715;0;4;2
3;122;0,7159424;1;4;4
3;123;1,100098;1;1;1
3;124;1,483704;1;3;3
3;125;1,771088;1;2;2
3;126;2,1008;1;4;4
3;127;2,410553;1;4;4
3;128;2,722534;1;1;1
3;129;3,034912;1;3;3
3;130;3,353607;1;2;2
3;131;3,690491;1;4;4
3;132;3,953156;1;4;4
3;133;4,301025;1;1;1
3;134;4,520325;1;3;3
3;135;4,869537;1;2;2
3;136;5,190704;1;4;4
3;137;5,468231;1;4;4
3;138;5,759827;1;1;1
3;139;6,045746;1;3;3
3;140;6,303436;1;2;2
3;141;6,604187;1;4;4
3;142;6,923157;1;4;4
3;143;7,189941;1;1;1
3;144;7,489929;1;3;3
3;145;7,806335;1;2;2
3;146;8,0867;1;4;4
3;147;8,355682;1;4;4
3;148;8,740082;1;1;1
3;149;9,006378;1;3;3
3;150;9,255249;1;2;2
3;151;9,555664;1;4;4
3;152;9,840637;1;4;4
3;153;10,14145;1;1;1
3;154;10,4407;1;3;3
3;155;10,71133;1;2;2
3;156;11,01208;1;4;4
3;157;11,29016;1;4;4
3;158;11,60919;1;1;1
3;159;11,8902;1;3;3
3;160;12,1777;1;2;2
3;161;12,479;1;4;4
3;162;12,78967;1;4;4
3;163;13,07864;1;1;1
3;164;13,3584;1;3;3
3;165;13,62582;1;2;2
3;166;13,92389;1;4;4
3;167;14,22656;1;4;4
3;168;14,50974;1;1;1
3;169;14,81598;0;3;4
3;170;16,27972;1;2;2
3;171;17,08038;1;4;4
3;172;17,37961;1;4;4
3;173;17,728;1;1;1
3;174;17,99475;1;3;3
3;175;18,26154;1;2;2
3;176;18,58527;1;4;4
3;177;18,88248;1;4;4
3;178;19,11499;1;1;1
3;179;19,47983;1;3;3
3;180;19,71478;1;2;2
3;181;20,06177;1;4;4
3;182;20,36313;1;4;4
3;183;20,61075;1;1;1
3;184;20,9183;1;3;3
3;185;21,1817;1;2;2
3;186;21,58267;1;4;4
3;187;21,81985;1;4;4
3;188;22,11874;1;1;1
3;189;22,41861;1;3;3
3;190;22,66437;1;2;2
3;191;22,93124;1;4;4
3;192;23,23059;1;4;4
3;193;23,53046;1;1;1
3;194;23,784;1;3;3
3;195;24,06601;1;2;2
3;196;24,35327;1;4;4
3;197;24,65164;1;4;4
3;198;24,95215;1;1;1
3;199;25,22208;1;3;3
3;200;25,50015;1;2;2
3;201;25,85309;1;4;4
3;202;26,12198;1;4;4
3;203;26,43314;1;1;1
3;204;26,7525;1;3;3
3;205;27,00192;1;2;2
3;206;27,38986;1;4;4
3;207;27,66687;1;4;4
3;208;27,98959;1;1;1
3;209;28,28958;1;3;3
3;210;28,65286;1;2;2
3;211;28,99051;1;4;4
3;212;29,25705;1;4;4
3;213;29,52139;1;1;1
3;214;29,8266;1;3;3
4;215;0,5709839;1;4;4
4;216;0,8503418;1;1;1
4;217;1,135681;1;3;3
4;218;1,41748;1;2;2
4;219;1,717438;1;4;4
4;220;2,00293;1;4;4
4;221;2,27298;1;1;1
4;222;2,551208;1;3;3
4;223;2,828644;1;2;2
4;224;3,173279;1;4;4
4;225;3,373779;1;4;4
4;226;3,63623;1;1;1
4;227;3,974335;1;3;3
4;228;4,217987;1;2;2
4;229;4,519684;1;4;4
4;230;4,804321;1;4;4
4;231;5,087402;1;1;1
4;232;7,021393;0;3;2
4;233;9,024536;1;2;2
4;234;10,81763;1;4;4
4;235;11,7851;1;4;4
4;236;12,24344;1;1;1
4;237;12,65738;1;3;3
4;238;12,98691;1;2;2
4;239;13,59113;1;4;4
4;240;14,02576;1;4;4
4;241;14,36176;1;1;1
4;242;14,62814;1;3;3
4;243;14,87518;1;2;2
4;244;15,21988;1;4;4
4;245;15,47861;1;4;4
4;246;15,69492;1;1;1
4;247;16,02841;1;3;3
4;248;16,22775;1;2;2
4;249;16,55453;1;4;4
4;250;16,80997;1;4;4
4;251;17,11011;1;1;1
4;252;17,43823;1;3;3
4;253;17,68869;1;2;2
4;254;17,96194;1;4;4
4;255;18,28104;1;4;4
4;256;18,5806;1;1;1
4;257;18,88138;1;3;3
4;258;19,16333;1;2;2
4;259;19,55035;1;4;4
4;260;19,75198;1;4;4
4;261;20,05286;1;1;1
4;262;20,35425;1;3;3
4;263;20,61664;1;2;2
4;264;20,86356;1;4;4
4;265;21,18164;1;4;4
4;266;21,50302;1;1;1
4;267;21,73355;1;3;3
4;268;22,04852;1;2;2
4;269;22,28146;1;4;4
4;270;22,53848;1;4;4
4;271;22,85095;1;1;1
4;272;23,10919;1;3;3
4;273;23,35596;1;2;2
4;274;23,63248;1;4;4
4;275;23,86481;1;4;4
4;276;24,15457;1;1;1
4;277;24,42126;1;3;3
4;278;24,69989;1;2;2
4;279;24,96692;1;4;4
4;280;25,23303;1;4;4
4;281;25,50208;1;1;1
4;282;25,79941;1;3;3
4;283;26,0343;1;2;2
4;284;26,38327;1;4;4
4;285;26,63708;1;4;4
4;286;26,83554;1;1;1
4;287;27,17068;1;3;3
4;288;27,42047;1;2;2
4;289;27,83591;1;4;4
4;290;28,05438;1;4;4
4;291;28,30301;1;1;1
4;292;28,62576;1;3;3
4;293;28,85349;1;2;2
4;294;29,15436;1;4;4
4;295;29,40271;1;4;4
4;296;29,65952;1;1;1
4;297;29,90399;1;3;3
5;298;0,4646606;1;4;4
5;299;0,7229309;1;1;1
5;300;1,227722;1;3;3
5;301;1,495911;1;2;2
5;302;1,829712;1;4;4
5;303;2,115112;1;4;4
5;304;2,482361;1;1;1
5;305;2,764221;1;3;3
5;306;3,052887;1;2;2
5;307;3,330322;1;4;4
5;308;3,630676;1;4;4
5;309;3,915985;1;1;1
5;310;4,183014;1;3;3
5;311;4,483276;1;2;2
5;312;4,79834;1;4;4
5;313;5,098389;1;4;4
5;314;5,365631;1;1;1
5;315;5,65152;1;3;3
5;316;5,949738;1;2;2
5;317;6,22583;1;4;4
5;318;6,518188;1;4;4
5;319;6,776398;1;1;1
5;320;7,083679;1;3;3
5;321;7,365265;1;2;2
5;322;7,640686;1;4;4
5;323;7,93512;1;4;4
5;324;8,218018;1;1;1
5;325;8,516266;1;3;3
5;326;8,778198;1;2;2
5;327;9,090576;1;4;4
5;328;9,335083;1;4;4
5;329;9,592041;1;1;1
5;330;9,886963;1;3;3
5;331;10,13577;1;2;2
5;332;10,43549;1;4;4
5;333;10,69028;1;4;4
5;334;10,98862;1;1;1
5;335;11,25455;1;3;3
5;336;11,52191;1;2;2
