BlockNumber;EventNumber;Time Since Block start;isHit;target;pressed
1;1;0,8164558;1;4;4
1;2;1,299725;1;1;1
1;3;1,849121;1;3;3
1;4;2,253273;1;2;2
1;5;2,632526;1;4;4
1;6;3,282337;1;4;4
1;7;3,565807;1;1;1
1;8;3,949249;1;3;3
1;9;4,248158;1;2;2
1;10;4,598785;1;4;4
1;11;5,332737;1;4;4
1;12;5,631184;1;1;1
1;13;5,981258;1;3;3
1;14;6,280941;1;2;2
1;15;6,7976;1;4;4
1;16;7,413391;1;4;4
1;17;7,713688;1;1;1
1;18;8,063686;1;3;3
1;19;8,364151;1;2;2
1;20;8,714069;1;4;4
1;21;9,347073;1;4;4
1;22;9,662418;1;1;1
1;23;9,997627;1;3;3
1;24;10,31358;1;2;2
1;25;10,61325;1;4;4
1;26;11,27803;1;4;4
1;27;11,64559;1;1;1
1;28;11,94596;1;3;3
1;29;12,27858;1;2;2
1;30;12,61279;1;4;4
1;31;13,27876;1;4;4
1;32;13,61113;1;1;1
1;33;13,94493;1;3;3
1;34;14,27856;1;2;2
1;35;14,61048;1;4;4
1;36;15,22806;1;4;4
1;37;15,56275;1;1;1
1;38;15,89444;1;3;3
1;39;16,34442;1;2;2
1;40;16,644;1;4;4
1;41;17,31012;1;4;4
1;42;17,64241;1;1;1
1;43;17,94376;1;3;3
1;44;18,27718;1;2;2
1;45;18,61085;1;4;4
1;46;19,29362;1;4;4
1;47;19,61086;1;1;1
1;48;19,92655;1;3;3
1;49;20,24205;1;2;2
1;50;20,57624;1;4;4
1;51;21,24237;1;4;4
1;52;21,52652;1;1;1
1;53;21,87585;1;3;3
1;54;22,1753;1;2;2
1;55;22,67544;1;4;4
1;56;23,34212;1;4;4
1;57;23,64175;1;1;1
1;58;23,97642;1;3;3
1;59;24,27308;1;2;2
1;60;24,62386;1;4;4
1;61;25,29091;1;4;4
1;62;25,59019;1;1;1
1;63;25,90854;1;3;3
1;64;26,22408;1;2;2
1;65;26,55749;1;4;4
1;66;27,27224;1;4;4
1;67;27,57372;1;1;1
1;68;27,88985;1;3;3
1;69;28,1908;1;2;2
1;70;28,53806;1;4;4
1;71;29,22339;1;4;4
1;72;29,52224;1;1;1
1;73;29,85644;1;3;3
2;74;0,531456;1;4;4
2;75;0,8659439;1;1;1
2;76;1,148842;1;3;3
2;77;1,516075;1;2;2
2;78;1,780708;1;4;4
2;79;2,382179;1;4;4
2;80;2,681786;1;1;1
2;81;2,965324;1;3;3
2;82;3,298714;1;2;2
2;83;3,615173;1;4;4
2;84;4,264824;1;4;4
2;85;4,547707;1;1;1
2;86;4,881363;1;3;3
2;87;5,163345;1;2;2
2;88;5,46315;1;4;4
2;89;6,09745;1;4;4
2;90;6,414711;1;1;1
2;91;6,729614;1;3;3
2;92;7,014496;1;2;2
2;93;7,347168;1;4;4
2;94;7,964104;1;4;4
2;95;8,280388;1;1;1
2;96;8,547295;1;3;3
2;97;8,83017;1;2;2
2;98;9,228874;1;4;4
2;99;9,92955;1;4;4
2;100;10,19589;1;1;1
2;101;10,52933;1;3;3
2;102;10,81136;1;2;2
2;103;11,14615;1;4;4
2;104;11,74516;1;4;4
2;105;12,04532;1;1;1
2;106;12,34512;1;3;3
2;107;12,6439;1;2;2
2;108;12,99503;1;4;4
2;109;13,59483;1;4;4
2;110;13,91051;1;1;1
2;111;14,2103;1;3;3
2;112;14,51031;1;2;2
2;113;14,81113;1;4;4
2;114;15,42754;1;4;4
2;115;15,71166;1;1;1
2;116;16,06091;1;3;3
2;117;16,3423;1;2;2
2;118;16,69365;1;4;4
2;119;17,36017;1;4;4
2;120;17,64371;1;1;1
2;121;17,92587;1;3;3
2;122;18,24365;1;2;2
2;123;18,55988;1;4;4
2;124;19,17671;1;4;4
2;125;19,45992;1;1;1
2;126;19,74162;1;3;3
2;127;20,02579;1;2;2
2;128;20,39368;1;4;4
2;129;21,05911;1;4;4
2;130;21,3089;1;1;1
2;131;21,79279;1;3;3
2;132;22,05801;1;2;2
2;133;22,39227;1;4;4
2;134;23,04211;1;4;4
2;135;23,29229;1;1;1
2;136;23,60755;1;3;3
2;137;23,92519;1;2;2
2;138;24,2579;1;4;4
2;139;24,85824;1;4;4
2;140;25,20765;1;1;1
2;141;25,50816;1;3;3
2;142;25,80781;1;2;2
2;143;26,14072;1;4;4
2;144;26,79041;1;4;4
2;145;27,05718;1;1;1
2;146;27,37382;1;3;3
2;147;27,65742;1;2;2
2;148;28,00582;1;4;4
2;149;28,67223;1;4;4
2;150;28,97366;1;1;1
2;151;29,30686;1;3;3
2;152;29,58933;1;2;2
2;153;29,9233;1;4;4
3;154;0,4988251;1;4;4
3;155;0,7996368;1;1;1
3;156;1,131485;1;3;3
3;157;1,399673;1;2;2
3;158;1,698013;1;4;4
3;159;2,31572;1;4;4
3;160;2,616714;1;1;1
3;161;2,932297;1;3;3
3;162;3,215073;1;2;2
3;163;3,565384;1;4;4
3;164;4,197403;1;4;4
3;165;4,464676;1;1;1
3;166;4,78067;1;3;3
3;167;5,115112;1;2;2
3;168;5,413513;1;4;4
3;169;6,065063;1;4;4
3;170;6,347763;1;1;1
3;171;6,679596;1;3;3
3;172;6,981064;1;2;2
3;173;7,314819;1;4;4
3;174;7,978973;1;4;4
3;175;8,296097;1;1;1
3;176;8,630066;1;3;3
3;177;8,929932;1;2;2
3;178;9,263809;1;4;4
3;179;9,928314;1;4;4
3;180;10,2132;1;1;1
3;181;10,51357;1;3;3
3;182;10,84558;1;2;2
3;183;11,16289;1;4;4
3;184;11,82983;1;4;4
3;185;12,1456;1;1;1
3;186;12,44583;1;3;3
3;187;12,76242;1;2;2
3;188;13,09666;1;4;4
3;189;13,67882;1;4;4
3;190;13,96165;1;1;1
3;191;14,27718;1;3;3
3;192;14,64354;1;2;2
3;193;14,96095;1;4;4
3;194;15,62834;1;4;4
3;195;15,92677;1;1;1
3;196;16,22647;1;3;3
3;197;16,5274;1;2;2
3;198;16,8611;1;4;4
3;199;17,5273;1;4;4
3;200;17,79248;1;1;1
3;201;18,14404;1;3;3
3;202;18,42686;1;2;2
3;203;18,74406;1;4;4
3;204;19,39383;1;4;4
3;205;19,70961;1;1;1
3;206;19,99342;1;3;3
3;207;20,31027;1;2;2
3;208;20,64346;1;4;4
3;209;21,30975;1;4;4
3;210;21,5923;1;1;1
3;211;21,87614;1;3;3
3;212;22,19112;1;2;2
3;213;22,54228;1;4;4
3;214;23,22543;1;4;4
3;215;23,49084;1;1;1
3;216;23,80807;1;3;3
3;217;24,10721;1;2;2
3;218;24,44115;1;4;4
3;219;25,12531;1;4;4
3;220;25,37448;1;1;1
3;221;25,72586;1;3;3
3;222;26,02339;1;2;2
3;223;26,34077;1;4;4
3;224;27,02408;1;4;4
3;225;27,24057;1;1;1
3;226;27,59003;1;3;3
3;227;27,87259;1;2;2
3;228;28,24013;1;4;4
3;229;28,88869;1;4;4
3;230;29,15663;1;1;1
3;231;29,52177;1;3;3
3;232;29,80592;1;2;2
4;233;0,4325562;1;4;4
4;234;0,7658997;1;1;1
4;235;1,099762;1;3;3
4;236;1,350677;1;2;2
4;237;1,666;1;4;4
4;238;2,283615;1;4;4
4;239;2,56694;1;1;1
4;240;2,882706;1;3;3
4;241;3,166107;1;2;2
4;242;3,516541;1;4;4
4;243;4,117493;1;4;4
4;244;4,415604;1;1;1
4;245;4,782379;1;3;3
4;246;5,032104;1;2;2
4;247;5,382126;1;4;4
4;248;6,030914;1;4;4
4;249;6,313904;1;1;1
4;250;6,631271;1;3;3
4;251;6,915039;1;2;2
4;252;7,263718;1;4;4
4;253;7,863708;1;4;4
4;254;8,18013;1;1;1
4;255;8,498199;1;3;3
4;256;8,814529;1;2;2
4;257;9,130569;1;4;4
4;258;9,79718;1;4;4
4;259;10,06404;1;1;1
4;260;10,39746;1;3;3
4;261;10,68047;1;2;2
4;262;10,99594;1;4;4
4;263;11,61305;1;4;4
4;264;11,89548;1;1;1
4;265;12,1787;1;3;3
4;266;12,47832;1;2;2
4;267;12,79649;1;4;4
4;268;13,42973;1;4;4
4;269;13,72812;1;1;1
4;270;14,04457;1;3;3
4;271;14,31241;1;2;2
4;272;14,66051;1;4;4
4;273;15,27731;1;4;4
4;274;15,56076;1;1;1
4;275;15,8775;1;3;3
4;276;16,179;1;2;2
4;277;16,49545;1;4;4
4;278;17,1277;1;4;4
4;279;17,39383;1;1;1
4;280;17,71153;1;3;3
4;281;18,09467;1;2;2
4;282;18,36211;1;4;4
4;283;19,06007;1;4;4
4;284;19,32635;1;1;1
4;285;19,59454;1;3;3
4;286;19,94432;1;2;2
4;287;20,24252;1;4;4
4;288;20,92725;1;4;4
4;289;21,19351;1;1;1
4;290;21,54349;1;3;3
4;291;21,82745;1;2;2
4;292;22,14215;1;4;4
4;293;22,82582;1;4;4
4;294;23,05893;1;1;1
4;295;23,37642;1;3;3
4;296;23,6427;1;2;2
4;297;24,2092;1;4;4
4;298;24,75923;1;4;4
4;299;25,04048;1;1;1
4;300;25,29167;1;3;3
4;301;25,54222;1;2;2
4;302;25,80846;1;4;4
4;303;26,3419;1;4;4
4;304;26,62341;1;1;1
4;305;26,92561;1;3;3
4;306;27,20735;1;2;2
4;307;27,54124;1;4;4
4;308;28,12437;1;4;4
4;309;28,44008;1;1;1
4;310;28,72452;1;3;3
4;311;29,02235;1;2;2
4;312;29,37437;1;4;4
4;313;29,95738;1;4;4
5;314;0,5819702;1;4;4
5;315;0,8830872;1;1;1
5;316;1,16626;1;3;3
5;317;1,431549;1;2;2
5;318;1,764801;1;4;4
5;319;2,382904;1;4;4
5;320;2,650482;1;1;1
5;321;2,965515;1;3;3
5;322;3,24765;1;2;2
5;323;3,566101;1;4;4
5;324;4,164215;1;4;4
5;325;4,482025;1;1;1
5;326;4,765137;1;3;3
5;327;5,046844;1;2;2
5;328;5,465332;1;4;4
5;329;6,031982;1;4;4
5;330;6,281647;1;1;1
5;331;6,597321;1;3;3
5;332;6,863556;1;2;2
5;333;7,23114;1;4;4
5;334;7,81311;1;4;4
5;335;8,098633;1;1;1
5;336;8,414612;1;3;3
5;337;8,697266;1;2;2
5;338;9,029236;1;4;4
5;339;9,613312;1;4;4
5;340;9,914124;1;1;1
5;341;10,17889;1;3;3
5;342;10,48004;1;2;2
5;343;10,81366;1;4;4
5;344;11,39496;1;4;4
5;345;11,64581;1;1;1
5;346;11,92981;1;3;3
5;347;12,2294;1;2;2
5;348;12,54559;1;4;4
5;349;13,129;1;4;4
5;350;13,42908;1;1;1
5;351;13,7457;1;3;3
5;352;14,02866;1;2;2
5;353;14,37677;1;4;4
5;354;14,92871;1;4;4
5;355;15,17923;1;1;1
5;356;15,49539;1;3;3
5;357;15,79352;1;2;2
5;358;16,21179;1;4;4
5;359;16,70996;1;4;4
5;360;16,96121;1;1;1
5;361;17,22678;1;3;3
5;362;17,50894;1;2;2
5;363;17,85959;1;4;4
5;364;18,49298;1;4;4
5;365;18,79361;1;1;1
5;366;19,09265;1;3;3
5;367;19,39368;1;2;2
5;368;19,71011;1;4;4
5;369;20,37711;1;4;4
5;370;20,62555;1;1;1
5;371;20,90967;1;3;3
5;372;21,17523;1;2;2
5;373;21,57684;1;4;4
5;374;22,20908;1;4;4
5;375;22,44333;1;1;1
5;376;22,87561;1;3;3
5;377;23,1427;1;2;2
5;378;23,50873;1;4;4
5;379;24,12524;1;4;4
5;380;24,42404;1;1;1
5;381;24,70932;1;3;3
5;382;25,05869;1;2;2
5;383;25,37622;1;4;4
5;384;26,02319;1;4;4
5;385;26,29193;1;1;1
5;386;26,62537;1;3;3
5;387;26,92322;1;2;2
5;388;27,28992;1;4;4
5;389;27,90625;1;4;4
5;390;28,15659;1;1;1
5;391;28,47263;1;3;3
5;392;28,75687;1;2;2
5;393;29,15564;1;4;4
5;394;29,75659;1;4;4
6;395;0,5167542;1;4;4
6;396;0,8487244;1;1;1
6;397;1,149933;1;3;3
6;398;1,414703;1;2;2
6;399;1,731384;1;4;4
6;400;2,381165;1;4;4
6;401;2,648041;1;1;1
6;402;2,999603;1;3;3
6;403;3,232513;1;2;2
6;404;3,615295;1;4;4
6;405;4,249054;1;4;4
6;406;4,513794;1;1;1
6;407;4,815887;1;3;3
6;408;5,14975;1;2;2
6;409;5,463531;1;4;4
6;410;6,064606;1;4;4
6;411;6,347595;1;1;1
6;412;6,664429;1;3;3
6;413;6,964935;1;2;2
6;414;7,263306;1;4;4
6;415;7,864258;1;4;4
6;416;8,146088;1;1;1
6;417;8,447418;1;3;3
6;418;8,781128;1;2;2
6;419;9,247742;1;4;4
6;420;9,81485;1;4;4
6;421;10,11218;1;1;1
6;422;10,42957;1;3;3
6;423;10,74738;1;2;2
6;424;11,06284;1;4;4
6;425;11,67868;1;4;4
6;426;11,94611;1;1;1
6;427;12,24582;1;3;3
6;428;12,54678;1;2;2
6;429;12,89566;1;4;4
6;430;13,47733;1;4;4
6;431;13,74451;1;1;1
6;432;14,11212;1;3;3
6;433;14,37714;1;2;2
6;434;14,69589;1;4;4
6;435;15,34549;1;4;4
6;436;15,61127;1;1;1
6;437;15,92871;1;3;3
6;438;16,21106;1;2;2
6;439;16,56131;1;4;4
6;440;17,19446;1;4;4
6;441;17,51044;1;1;1
6;442;17,81067;1;3;3
6;443;18,14377;1;2;2
6;444;18,46057;1;4;4
6;445;19,09308;1;4;4
6;446;19,37668;1;1;1
6;447;19,66006;1;3;3
6;448;19,99289;1;2;2
6;449;20,30881;1;4;4
6;450;20,92471;1;4;4
6;451;21,20862;1;1;1
6;452;21,55963;1;3;3
6;453;21,82446;1;2;2
6;454;22,1593;1;4;4
6;455;22,80945;1;4;4
6;456;23,07529;1;1;1
6;457;23,40799;1;3;3
6;458;23,70929;1;2;2
6;459;24,05759;1;4;4
6;460;24,69208;1;4;4
6;461;24,95822;1;1;1
6;462;25,30737;1;3;3
6;463;25,59119;1;2;2
6;464;25,89108;1;4;4
6;465;26,5401;1;4;4
6;466;26,82446;1;1;1
6;467;27,1239;1;3;3
6;468;27,38956;1;2;2
6;469;27,73978;1;4;4
6;470;28,35645;1;4;4
6;471;28,67349;1;1;1
6;472;28,95526;1;3;3
6;473;29,22369;1;2;2
6;474;29,57336;1;4;4
