BlockNumber;EventNumber;Time Since Block start;isHit;target;pressed;sequence
1;1;2,630798;1;4;4;clear
1;2;3,379852;1;1;1;clear
1;3;4,631714;1;3;3;clear
1;4;5,33017;1;2;2;clear
1;5;6,630859;1;4;4;clear
1;6;10,69763;1;4;4;clear
1;7;11,09689;1;1;1;clear
1;8;12,54724;1;3;3;clear
1;9;12,9295;1;2;2;clear
1;10;13,66251;1;4;4;clear
1;11;15,96619;1;4;4;clear
1;12;16,29941;1;1;1;clear
1;13;16,96329;1;3;3;clear
1;14;17,35657;1;2;2;clear
1;15;17,76416;1;4;4;clear
1;16;18,89502;1;4;4;clear
1;17;19,67371;1;1;1;clear
1;18;20,77994;1;3;3;clear
1;19;21,14499;1;2;2;clear
1;20;22,2908;1;4;4;clear
1;21;23,73331;1;4;4;clear
1;22;24,32626;1;1;1;clear
1;23;25,0636;1;3;3;clear
1;24;25,50079;1;2;2;clear
1;25;26,26291;1;4;4;clear
1;26;27,68695;1;4;4;clear
1;27;28,28244;1;1;1;clear
1;28;28,98657;1;3;3;clear
1;29;29,44952;1;2;2;clear
1;30;29,94571;1;4;4;clear
2;31;3,51181;1;4;4;clear
2;32;4,067566;1;1;1;clear
2;33;4,707062;1;3;3;clear
2;34;5,068817;1;2;2;clear
2;35;5,718384;1;4;4;clear
2;36;6,632141;1;4;4;clear
2;37;7,105927;1;1;1;clear
2;38;7,614349;1;3;3;clear
2;39;7,951599;1;2;2;clear
2;40;8,614502;1;4;4;clear
2;41;9,256378;1;4;4;clear
2;42;9,740784;0;1;3;clear
2;43;10,159;0;3;2;clear
2;44;12,84293;0;2;4;clear
2;45;14,82346;1;4;4;clear
2;46;15,94537;0;4;1;clear
2;47;17,56857;0;1;3;clear
2;48;18,39886;0;3;2;clear
2;49;19,1582;0;2;4;clear
2;50;20,31754;1;4;4;clear
2;51;21,39017;0;4;1;clear
2;52;22,36618;0;1;3;clear
2;53;23,29041;0;3;2;clear
2;54;24,30374;0;2;4;clear
2;55;26,11493;1;4;4;clear
2;56;27,16583;0;4;1;clear
2;57;28,12247;0;1;3;clear
2;58;29,0307;0;3;2;clear
2;59;29,96817;0;2;4;clear
3;60;2,998779;1;4;4;clear
3;61;3,439972;1;1;1;clear
3;62;4,355408;1;3;3;clear
3;63;5,045135;1;2;2;clear
3;64;5,669739;1;4;4;clear
3;65;6,661926;1;4;4;clear
3;66;7,420593;1;1;1;clear
3;67;8,241364;1;3;3;clear
3;68;9,007935;1;2;2;clear
3;69;9,732971;1;4;4;clear
3;70;10,82269;1;4;4;clear
3;71;11,51578;1;1;1;clear
3;72;12,22076;1;3;3;clear
3;73;12,88989;1;2;2;clear
3;74;13,50687;0;4;1;clear
3;75;14,74875;1;4;4;clear
3;76;15,3157;1;1;1;clear
3;77;16,04556;1;3;3;clear
3;78;16,68991;1;2;2;clear
3;79;17,39743;1;4;4;clear
3;80;18,37338;1;4;4;clear
3;81;19,25873;0;1;3;clear
3;82;21,11572;1;3;3;clear
3;83;22,1506;1;2;2;clear
3;84;22,89722;1;4;4;clear
3;85;24,04208;1;4;4;clear
3;86;24,71118;1;1;1;clear
3;87;25,79987;1;3;3;clear
3;88;26,46643;1;2;2;clear
3;89;27,34131;1;4;4;clear
3;90;28,95837;1;4;4;clear
3;91;29,66351;1;1;1;clear
4;92;1,552917;1;4;4;clear
4;93;2,252197;1;1;1;clear
4;94;3,099487;1;3;3;clear
4;95;3,758423;1;2;2;clear
4;96;4,468567;1;4;4;clear
4;97;5,599976;1;4;4;clear
4;98;6,218811;1;1;1;clear
4;99;6,987244;1;3;3;clear
4;100;7,358093;1;2;2;clear
4;101;8,167908;1;4;4;clear
4;102;9,027161;1;4;4;clear
