BlockNumber;EventNumber;Time Since Block start;isHit;target;pressed;sequence
1;1;3,152161;0;4;2;clear
1;2;5,567413;0;1;3;clear
1;3;6,630646;0;3;4;clear
1;4;12,15039;0;2;4;clear
1;5;16,58362;1;4;4;clear
1;6;20,5816;1;4;4;clear
1;7;21,53348;1;1;1;clear
1;8;23,53143;1;3;3;clear
1;9;24,13455;1;2;2;clear
1;10;25,3056;1;4;4;clear
1;11;27,58429;1;4;4;clear
1;12;29,64145;1;1;1;clear
2;13;1,240204;0;4;1;clear
2;14;2,349884;0;1;4;clear
2;15;6,159363;1;3;3;clear
2;16;8,368835;1;2;2;clear
2;17;10,09775;1;4;4;clear
2;18;11,11365;1;4;4;clear
2;19;12,08017;1;1;1;clear
2;20;13,55005;1;3;3;clear
2;21;14,26831;1;2;2;clear
2;22;15,56027;1;4;4;clear
2;23;16,96436;1;4;4;clear
2;24;18,51605;1;1;1;clear
2;25;19,94958;1;3;3;clear
2;26;20,71463;1;2;2;clear
2;27;22,34595;1;4;4;clear
2;28;23,4986;1;4;4;clear
2;29;25,66971;1;1;1;clear
2;30;26,86624;1;3;3;clear
2;31;27,97888;1;2;2;clear
3;32;1,068054;1;4;4;clear
3;33;2,278503;1;1;1;clear
3;34;3,352905;1;3;3;clear
3;35;3,37793;0;2;4;clear
3;36;4,090607;0;4;2;clear
3;37;7,234497;1;4;4;clear
3;38;8,25058;1;1;1;clear
3;39;9,835541;1;3;3;clear
3;40;11,30386;1;2;2;clear
3;41;12,89413;1;4;4;clear
3;42;14,78049;1;4;4;clear
3;43;16,23907;1;1;1;clear
3;44;17,57275;1;3;3;clear
3;45;19,2352;1;2;2;clear
3;46;20,56802;1;4;4;clear
3;47;21,46274;1;4;4;clear
3;48;22,50394;1;1;1;clear
3;49;24,05472;1;3;3;clear
3;50;24,87985;1;2;2;clear
3;51;25,91336;1;4;4;clear
3;52;27,20605;1;4;4;clear
3;53;28,53598;1;1;1;clear
4;54;0,8748169;1;4;4;clear
4;55;2,078888;1;1;1;clear
4;56;2,950287;1;3;3;clear
4;57;3,685547;1;2;2;clear
4;58;4,598907;1;4;4;clear
4;59;7,315857;1;4;4;clear
4;60;8,420044;1;1;1;clear
4;61;10,15985;1;3;3;clear
4;62;10,98199;1;2;2;clear
4;63;12,3262;1;4;4;clear
4;64;13,31683;1;4;4;clear
4;65;14,08521;1;1;1;clear
4;66;15,82614;1;3;3;clear
4;67;16,91403;1;2;2;clear
4;68;18,60696;1;4;4;clear
4;69;20,34286;1;4;4;clear
4;70;21,41708;1;1;1;clear
4;71;22,53961;1;3;3;clear
4;72;23,48663;1;2;2;clear
4;73;24,5799;1;4;4;clear
4;74;25,71176;1;4;4;clear
4;75;26,68256;1;1;1;clear
4;76;27,6944;1;3;3;clear
4;77;28,59763;1;2;2;clear
4;78;29,55194;1;4;4;clear
5;79;0,836853;1;4;4;clear
5;80;1,568115;1;1;1;clear
5;81;2,239136;1;3;3;clear
5;82;2,766479;1;2;2;clear
5;83;3,734802;1;4;4;clear
5;84;4,699707;1;4;4;clear
5;85;5,296631;1;1;1;clear
5;86;5,960938;1;3;3;clear
5;87;6,456787;1;2;2;clear
5;88;7,283447;1;4;4;clear
5;89;8,096375;1;4;4;clear
5;90;8,768372;1;1;1;clear
5;91;9,672485;1;3;3;clear
5;92;10,24707;1;2;2;clear
5;93;10,85767;1;4;4;clear
5;94;11,59991;1;4;4;clear
5;95;12,43365;1;1;1;clear
5;96;13,10938;1;3;3;clear
5;97;13,75031;1;2;2;clear
5;98;14,64331;1;4;4;clear
5;99;15,40106;1;4;4;clear
5;100;16,23438;1;1;1;clear
5;101;17,15033;1;3;3;clear
5;102;17,85889;1;2;2;clear
5;103;19,4259;1;4;4;clear
5;104;20,29004;1;4;4;clear
5;105;21,93396;1;1;1;clear
5;106;22,67834;1;3;3;clear
5;107;23,30353;1;2;2;clear
5;108;23,98553;1;4;4;clear
5;109;24,73608;1;4;4;clear
5;110;25,48584;1;1;1;clear
5;111;26,24408;1;3;3;clear
5;112;26,93585;1;2;2;clear
5;113;27,78503;1;4;4;clear
5;114;28,81592;1;4;4;clear
5;115;29,44574;1;1;1;clear
6;116;0,5722046;1;4;4;clear
6;117;1,242737;1;1;1;clear
6;118;1,963989;1;3;3;clear
6;119;2,373962;1;2;2;clear
6;120;3,040405;1;4;4;clear
6;121;3,877075;1;4;4;clear
6;122;4,589355;1;1;1;clear
6;123;5,162598;1;3;3;clear
6;124;5,73291;1;2;2;clear
6;125;6,248169;1;4;4;clear
6;126;6,927246;1;4;4;clear
6;127;7,60083;1;1;1;clear
6;128;8,16394;1;3;3;clear
6;129;8,878906;1;2;2;clear
6;130;9,576294;1;4;4;clear
6;131;10,37091;1;4;4;clear
6;132;11,27051;1;1;1;clear
6;133;11,99677;1;3;3;clear
6;134;12,7619;1;2;2;clear
6;135;13,42578;1;4;4;clear
6;136;14,16089;1;4;4;clear
6;137;14,85284;1;1;1;clear
6;138;15,53668;1;3;3;clear
6;139;16,23395;1;2;2;clear
6;140;16,89935;1;4;4;clear
6;141;17,59637;1;4;4;clear
6;142;18,30762;1;1;1;clear
6;143;19,14233;1;3;3;clear
6;144;19,73236;1;2;2;clear
6;145;20,37036;1;4;4;clear
6;146;21,03271;1;4;4;clear
6;147;21,96918;1;1;1;clear
6;148;22,6239;1;3;3;clear
6;149;23,29498;1;2;2;clear
6;150;24,09064;1;4;4;clear
6;151;24,94556;1;4;4;clear
6;152;25,74542;1;1;1;clear
6;153;26,50757;0;3;4;clear
6;154;28,19366;1;2;2;clear
6;155;29,15167;1;4;4;clear
6;156;29,91669;1;4;4;clear
7;157;1,008667;0;4;1;clear
7;158;2,483765;1;1;1;clear
7;159;3,328003;0;3;4;clear
7;160;5,761841;1;2;2;clear
7;161;7,255249;1;4;4;clear
7;162;7,969666;1;4;4;clear
7;163;8,638855;1;1;1;clear
7;164;9,332031;1;3;3;clear
7;165;9,984863;1;2;2;clear
7;166;10,65088;1;4;4;clear
7;167;11,33759;1;4;4;clear
7;168;11,90314;1;1;1;clear
7;169;12,56482;1;3;3;clear
7;170;13,19989;1;2;2;clear
7;171;14,46643;1;4;4;clear
7;172;15,31384;1;4;4;clear
7;173;15,95624;1;1;1;clear
7;174;16,60785;1;3;3;clear
7;175;17,21552;1;2;2;clear
7;176;17,81836;1;4;4;clear
7;177;18,55475;1;4;4;clear
7;178;19,36151;1;1;1;clear
7;179;20,03357;1;3;3;clear
7;180;20,70569;1;2;2;clear
7;181;21,49286;1;4;4;clear
7;182;22,19958;1;4;4;clear
7;183;23,63422;1;1;1;clear
7;184;24,45734;1;3;3;clear
7;185;25,18976;1;2;2;clear
7;186;25,95544;1;4;4;clear
7;187;26,69507;1;4;4;clear
7;188;27,48804;1;1;1;clear
7;189;28,16425;1;3;3;clear
7;190;28,93414;1;2;2;clear
7;191;29,66431;1;4;4;clear
