BlockNumber;EventNumber;Time Since Block start;isHit;target;pressed;sequence
1;1;3,996582;1;2;2;green
1;2;4,597717;1;1;1;green
1;3;5,596008;1;4;4;green
1;4;6,355835;1;1;1;green
1;5;6,976501;1;3;3;green
1;6;7,529541;1;2;2;green
1;7;8,284607;1;4;4;green
1;8;9,079224;1;3;3;green
2;9;4,781006;1;3;3;blue
2;10;5,684753;1;4;4;blue
2;11;6,256714;1;2;2;blue
2;12;6,722412;1;1;1;blue
2;13;7,540649;1;3;3;blue
2;14;8,063843;1;2;2;blue
2;15;8,55127;1;4;4;blue
2;16;8,926697;1;1;1;blue
3;17;4,463257;1;2;2;red
3;18;5,2948;1;3;3;red
3;19;5,926453;1;1;1;red
3;20;6,827576;1;4;4;red
3;21;7,393372;0;3;2;red
3;22;8,021301;1;1;1;red
3;23;9,442627;1;2;2;red
3;24;10,1955;1;4;4;red
4;25;3,908142;1;2;2;green
4;26;4,432861;1;1;1;green
4;27;5,028381;1;3;3;green
4;28;5,5354;1;4;4;green
4;29;6,086365;1;2;2;green
4;30;6,562683;1;4;4;green
4;31;7,388184;1;1;1;green
4;32;7,868835;1;2;2;green
5;33;3,777527;1;4;4;green
5;34;4,27356;1;3;3;green
5;35;4,681702;1;1;1;green
5;36;5,156616;1;4;4;green
5;37;5,533508;1;3;3;green
5;38;6,678894;1;1;1;green
5;39;7,402771;1;4;4;green
5;40;7,676697;1;2;2;green
6;41;4,357056;1;3;3;blue
6;42;4,767395;1;4;4;blue
6;43;5,199585;1;2;2;blue
6;44;5,573242;1;1;1;blue
6;45;6,611023;1;3;3;blue
6;46;7,114441;1;2;2;blue
6;47;7,7229;1;4;4;blue
6;48;8,008057;1;1;1;blue
7;49;3,702332;1;2;2;red
7;50;4,180908;1;3;3;red
7;51;4,767334;1;1;1;red
7;52;5,326599;1;4;4;red
7;53;6,464905;0;3;2;red
7;54;7,022827;1;1;1;red
7;55;8,555542;1;2;2;red
7;56;8,925415;1;4;4;red
8;57;3,87738;1;2;2;green
8;58;4,253296;1;1;1;green
8;59;5,386902;1;3;3;green
8;60;5,717834;1;4;4;green
8;61;6,443054;1;2;2;green
8;62;6,884216;1;4;4;green
8;63;7,537231;1;1;1;green
8;64;7,954224;1;2;2;green
9;65;3,997009;1;2;2;red
9;66;4,519714;1;3;3;red
9;67;5,106262;1;1;1;red
9;68;5,727417;1;4;4;red
9;69;6,38623;0;3;2;red
9;70;8,04303;1;1;1;red
9;71;9,130188;1;2;2;red
9;72;9,444885;1;4;4;red
10;73;3,748108;1;2;2;red
10;74;4,112488;1;3;3;red
10;75;4,617615;0;1;4;red
10;76;4,934509;1;4;4;red
10;77;6,972656;0;3;2;red
10;78;8,332275;1;1;1;red
10;79;9,383667;1;2;2;red
10;80;9,79541;1;4;4;red
11;81;3,502686;1;2;2;red
11;82;4,007141;1;3;3;red
11;83;4,541565;1;1;1;red
11;84;5,107666;1;4;4;red
11;85;5,706726;1;3;3;red
11;86;7,061401;1;1;1;red
11;87;7,366333;1;2;2;red
11;88;7,697388;1;4;4;red
12;89;4,327148;1;3;3;blue
12;90;4,784851;1;4;4;blue
12;91;5,374084;1;2;2;blue
12;92;5,737183;1;1;1;blue
12;93;7,394043;1;3;3;blue
12;94;7,819763;1;2;2;blue
12;95;8,631104;1;4;4;blue
12;96;8,947266;1;1;1;blue
13;97;3,243164;1;2;2;red
13;98;3,803894;1;3;3;red
13;99;4,827515;1;1;1;red
13;100;5,392883;1;4;4;red
13;101;6,006775;1;3;3;red
13;102;6,510498;1;1;1;red
13;103;7,112793;1;2;2;red
13;104;7,499084;1;4;4;red
14;105;3,631714;1;2;2;red
14;106;4,063171;1;3;3;red
14;107;4,460205;1;1;1;red
14;108;4,994263;1;4;4;red
14;109;5,848816;1;3;3;red
14;110;6,375244;1;1;1;red
14;111;6,757935;1;2;2;red
14;112;7,204407;1;4;4;red
15;113;3,673645;1;2;2;red
15;114;4,107483;1;3;3;red
15;115;4,634338;1;1;1;red
15;116;5,164917;1;4;4;red
15;117;5,986755;1;3;3;red
15;118;7,056702;1;1;1;red
15;119;7,372314;1;2;2;red
15;120;7,755066;1;4;4;red
16;121;3,620605;1;2;2;red
16;122;4,203003;1;3;3;red
16;123;4,965149;1;1;1;red
16;124;5,753906;1;4;4;red
16;125;6,53186;1;3;3;red
16;126;7,036072;1;1;1;red
16;127;7,466431;1;2;2;red
16;128;7,704224;1;4;4;red
17;129;4,58606;1;4;4;green
17;130;4,940552;1;3;3;green
17;131;5,294922;1;1;1;green
17;132;5,679504;1;4;4;green
17;133;6,167664;1;3;3;green
17;134;6,641907;1;1;1;green
17;135;7,293945;1;4;4;green
17;136;7,746216;1;2;2;green
18;137;4,613159;1;2;2;red
18;138;5,007202;1;3;3;red
18;139;5,309387;1;1;1;red
18;140;5,778564;1;4;4;red
18;141;6,520996;1;3;3;red
18;142;6,958618;1;1;1;red
18;143;7,484924;1;2;2;red
18;144;7,767822;1;4;4;red
19;145;3,579712;1;2;2;red
19;146;4,056274;1;3;3;red
19;147;4,398865;1;1;1;red
19;148;4,786072;1;4;4;red
19;149;5,802673;1;3;3;red
19;150;6,341919;1;1;1;red
19;151;6,711731;1;2;2;red
19;152;7,048828;1;4;4;red
20;153;3,487305;1;2;2;red
20;154;3,887512;1;3;3;red
20;155;4,291809;1;1;1;red
20;156;4,751343;1;4;4;red
20;157;5,457336;1;3;3;red
20;158;5,868408;1;1;1;red
20;159;6,209778;1;2;2;red
20;160;6,500916;1;4;4;red
21;161;4,295227;1;2;2;red
21;162;4,650818;1;3;3;red
21;163;4,989014;1;1;1;red
21;164;5,348877;1;4;4;red
21;165;5,942139;1;3;3;red
21;166;6,755798;1;1;1;red
21;167;7,031006;1;2;2;red
21;168;7,351135;1;4;4;red
22;169;4,344177;1;2;2;red
22;170;4,742615;1;3;3;red
22;171;5,035706;1;1;1;red
22;172;5,699829;1;4;4;red
22;173;6,396362;1;3;3;red
22;174;7,13147;1;1;1;red
22;175;7,436218;1;2;2;red
22;176;7,710083;1;4;4;red
23;177;3,508179;1;1;1;green
23;178;3,7453;1;3;3;green
23;179;4,418274;1;4;4;green
23;180;5,313232;1;2;2;green
23;181;5,907349;0;4;3;green
23;182;6,44281;1;1;1;green
23;183;7,715942;1;3;3;green
23;184;7,983215;1;2;2;green
24;185;3,756775;1;2;2;red
24;186;4,25592;1;3;3;red
24;187;4,834717;1;1;1;red
24;188;5,190552;1;4;4;red
24;189;6,01178;1;3;3;red
24;190;6,474609;1;1;1;red
24;191;6,757019;1;2;2;red
24;192;7,090942;1;4;4;red
25;193;4,147522;1;3;3;blue
25;194;4,515808;1;4;4;blue
