BlockNumber;EventNumber;Time Since Block start;isHit;target;pressed;sequence
1;1;1,8729836470751473;1;2;2;green
1;2;2,5591537848217305;1;1;1;green
1;3;4,147629858084217;1;4;4;green
1;4;4,789779906678807;1;1;1;green
1;5;5,833418885675463;1;3;3;green
1;6;6,935433583832006;1;2;2;green
1;7;7,8885959460757045;1;4;4;green
1;8;8,603499053519858;1;3;3;green
2;9;1,1386986415231348;1;3;3;blue
2;10;2,15219070273872;1;4;4;blue
2;11;3,5221541155206713;1;2;2;blue
2;12;5,36730412998638;1;1;1;blue
2;13;6,7011928734774795;1;3;3;blue
2;14;8,408315243425992;1;2;2;blue
2;15;9,288114783021257;1;4;4;blue
2;16;10,787251473299396;1;1;1;blue
3;17;0,6641194932711507;1;2;2;red
3;18;2,3361843040704096;1;3;3;red
3;19;3,0296769721006047;1;1;1;red
3;20;4,862489464257335;1;4;4;red
3;21;6,330107855660414;1;3;3;red
3;22;7,749736961134583;1;1;1;red
3;23;8,80000391907325;0;2;3;red
3;24;9,278252486372011;1;4;4;red
4;25;1,8289425357825393;1;2;2;green
4;26;2,5996034847844123;1;1;1;green
4;27;4,625474846350745;1;3;3;green
4;28;6,28197840359054;1;4;4;green
4;29;7,749980757008814;1;2;2;green
4;30;8,770184255767939;1;4;4;green
4;31;9,640055634818276;1;1;1;green
4;32;11,170625675750903;1;2;2;green
5;33;0,6156124407826316;1;4;4;green
5;34;1,6291301127232591;1;3;3;green
5;35;3,143812580107371;1;1;1;green
5;36;4,877678548522528;1;4;4;green
5;37;5,700860228069109;1;3;3;green
5;38;6,963702329704206;1;1;1;green
5;39;8,94969037219457;1;4;4;green
5;40;10,639417466871793;1;2;2;green
6;41;1,0542089011364315;0;3;2;blue
6;42;3,144780234018133;1;4;4;blue
6;43;4,508765403424011;1;2;2;blue
6;44;6,292450585603744;1;1;1;blue
6;45;7,363601920986547;0;3;4;blue
6;46;9,385212265896008;1;2;2;blue
6;47;10,9127614481918;1;4;4;blue
6;48;11,583190364027649;1;1;1;blue
7;49;0,626036306913217;1;2;2;red
7;50;2,6054126652735228;1;3;3;red
7;51;3,7351084872741724;1;1;1;red
7;52;5,649296673295597;1;4;4;red
7;53;6,248261724638549;1;3;3;red
7;54;7,993817302316624;1;1;1;red
7;55;9,023035137129764;1;2;2;red
7;56;10,571213933520935;1;4;4;red
8;57;0,8811080468374588;1;2;2;green
8;58;2,465517839357327;1;1;1;green
8;59;3,7286131282502515;1;3;3;green
8;60;4,304205770629856;1;4;4;green
8;61;5,031241940553452;1;2;2;green
8;62;6,354842456724112;1;4;4;green
8;63;7,638604735078616;1;1;1;green
8;64;9,703495920355921;1;2;2;green
9;65;1,6689953979260144;1;2;2;red
9;66;2,890401974081307;1;3;3;red
9;67;4,918815207405203;1;1;1;red
9;68;5,650661246336448;1;4;4;red
9;69;6,783470126796266;1;3;3;red
9;70;7,769534891910899;1;1;1;red
9;71;9,13575167679534;1;2;2;red
9;72;9,631686227055907;1;4;4;red
10;73;0,8328120884002497;1;2;2;red
10;74;2,8232229102936435;1;3;3;red
10;75;3,635373902097914;1;1;1;red
10;76;4,3690353685824075;1;4;4;red
10;77;5,134246594573654;1;3;3;red
10;78;5,598360626858748;1;1;1;red
10;79;7,654153424323299;1;2;2;red
10;80;8,922960682437353;1;4;4;red
11;81;1,4208544966746262;1;2;2;red
11;82;2,5034689962420575;1;3;3;red
11;83;3,167509075199865;1;1;1;red
11;84;4,233949310269182;1;4;4;red
11;85;5,6993223613124435;1;3;3;red
11;86;6,1875754772602996;1;1;1;red
11;87;7,05283249251454;1;2;2;red
11;88;7,909361956230118;1;4;4;red
12;89;1,576036175705673;1;3;3;blue
12;90;3,0750513293061283;1;4;4;blue
12;91;3,93119348176275;1;2;2;blue
12;92;5,287119221400462;1;1;1;blue
12;93;5,969477347245532;1;3;3;blue
12;94;7,716629091461047;1;2;2;blue
12;95;9,480777168739468;1;4;4;blue
12;96;11,336234654335515;1;1;1;blue
13;97;0,849687951646498;1;2;2;red
13;98;2,22915008542111;1;3;3;red
13;99;3,8400296088931007;1;1;1;red
13;100;4,257428281533009;1;4;4;red
13;101;5,100645218532266;1;3;3;red
13;102;6,094022740533098;1;1;1;red
13;103;6,67577120221514;1;2;2;red
13;104;7,270292741123199;1;4;4;red
14;105;1,8604302693203338;1;2;2;red
14;106;2,7400239324873183;1;3;3;red
14;107;3,6428163496502615;1;1;1;red
14;108;5,355716449808534;1;4;4;red
14;109;6,469806248665574;1;3;3;red
14;110;8,045929230655684;1;1;1;red
14;111;9,851645365419412;1;2;2;red
14;112;11,415038042488797;1;4;4;red
15;113;1,0025211575334292;1;2;2;red
15;114;1,9654650833708547;1;3;3;red
15;115;2,9106453950818754;1;1;1;red
15;116;4,534414479739541;1;4;4;red
15;117;5,293828397045175;1;3;3;red
15;118;6,055397750828135;1;1;1;red
15;119;7,485282213705364;1;2;2;red
15;120;8,019684744318418;1;4;4;red
16;121;1,3137531178217123;1;2;2;red
16;122;3,0193527099181754;1;3;3;red
16;123;5,021315399674802;1;1;1;red
16;124;5,975149102154439;1;4;4;red
16;125;6,862611489107273;1;3;3;red
16;126;8,091899844174383;1;1;1;red
16;127;9,187411908514646;1;2;2;red
16;128;10,400856402886694;1;4;4;red
17;129;0,8593954120056493;1;4;4;green
17;130;2,3843507031095887;1;3;3;green
17;131;3,837087229702972;1;1;1;green
17;132;5,3714851941378985;1;4;4;green
17;133;6,102320482201958;1;3;3;green
17;134;6,7011362435466415;1;1;1;green
17;135;8,560393556019788;1;4;4;green
17;136;9,3110618525941;1;2;2;green
18;137;0,9817425128876274;1;2;2;red
18;138;2,5623483576826778;1;3;3;red
18;139;3,278894784530046;1;1;1;red
18;140;5,234333794734472;1;4;4;red
18;141;6,251657595529498;1;3;3;red
18;142;7,711578757996994;1;1;1;red
18;143;9,12600791289479;1;2;2;red
18;144;9,838678957066236;1;4;4;red
19;145;1,9867922172284573;1;2;2;red
19;146;2,5569153422630304;1;3;3;red
19;147;4,39341204916375;1;1;1;red
19;148;5,482346814603462;1;4;4;red
19;149;7,391665578708812;1;3;3;red
19;150;9,322090429631787;1;1;1;red
19;151;9,82201102985703;1;2;2;red
19;152;10,957294878863554;1;4;4;red
20;153;1,2424573562986605;1;2;2;red
20;154;1,7978967511215151;1;3;3;red
20;155;3,621182040467208;1;1;1;red
20;156;4,609553438109301;1;4;4;red
20;157;6,042015038730403;1;3;3;red
20;158;6,3527063290851995;1;1;1;red
20;159;7,113283480443395;1;2;2;red
20;160;8,02088362492589;1;4;4;red
21;161;0,317544560868657;1;2;2;red
21;162;1,3086714877243137;1;3;3;red
21;163;1,7291469991367088;1;1;1;red
21;164;2,8271334976031848;1;4;4;red
21;165;4,288880092811352;1;3;3;red
21;166;5,961868189558904;1;1;1;red
21;167;7,362137668613482;1;2;2;red
21;168;9,242795622945108;1;4;4;red
22;169;0,5128525722846866;1;2;2;red
22;170;0,8879953016294129;1;3;3;red
22;171;1,7969620223108609;1;1;1;red
22;172;3,3392630727279013;1;4;4;red
22;173;4,545089346312329;1;3;3;red
22;174;6,279042322274162;1;1;1;red
22;175;7,126939838726679;1;2;2;red
22;176;7,864647474226344;1;4;4;red
23;177;1,7828955411539684;1;1;1;green
23;178;3,122323524363943;1;3;3;green
23;179;3,684810551910526;1;4;4;green
23;180;4,511202926234639;1;2;2;green
23;181;5,648766074582233;1;4;4;green
23;182;7,0104485630606534;1;1;1;green
23;183;8,502312054943213;1;3;3;green
23;184;9,055728992622287;1;2;2;green
24;185;1,3383267389316191;1;2;2;red
24;186;2,67274697875882;1;3;3;red
24;187;3,2581424517915982;1;1;1;red
24;188;3,8710572668227665;1;4;4;red
24;189;4,560359706578829;0;3;2;red
24;190;5,1495173631452635;1;1;1;red
24;191;6,99042048978512;1;2;2;red
24;192;7,599878725517671;1;4;4;red
25;193;1,0548453554842765;1;3;3;blue
25;194;1,3999602346607656;1;4;4;blue
25;195;2,408050197765718;1;2;2;blue
25;196;4,28418847551986;1;1;1;blue
25;197;4,5940582201591385;1;3;3;blue
25;198;6,501877975926822;1;2;2;blue
25;199;7,098809392317615;1;4;4;blue
25;200;8,426022265823574;1;1;1;blue
26;201;1,3570678292593923;1;2;2;red
26;202;2,7722452609329284;1;3;3;red
26;203;3,7512283651636777;1;1;1;red
26;204;5,3646187941508074;1;4;4;red
26;205;6,145800325741507;1;3;3;red
26;206;7,309649689760608;1;1;1;red
26;207;8,059541326057941;1;2;2;red
26;208;9,3981880522533;1;4;4;red
27;209;0,6860043107365468;1;2;2;red
27;210;1,8648803674475816;1;3;3;red
27;211;2,4473396940372494;1;1;1;red
27;212;4,030649840436954;1;4;4;red
27;213;4,619205411967956;1;3;3;red
27;214;5,016461475244806;1;1;1;red
27;215;6,8778032808570355;1;2;2;red
27;216;7,517329942337914;1;4;4;red
28;217;1,5845236990459475;1;4;4;green
28;218;2,342518899419588;1;1;1;green
28;219;2,5915293432553206;1;3;3;green
28;220;3,6829198429352785;1;2;2;green
28;221;4,939491519741326;1;4;4;green
28;222;5,189519851903726;1;3;3;green
28;223;6,155818917132444;1;1;1;green
28;224;7,749683537469918;1;2;2;green
29;225;1,306584904400106;1;2;2;red
29;226;1,9155559883549702;1;3;3;red
29;227;3,0121516644739375;1;1;1;red
29;228;3,4489017369819663;1;4;4;red
29;229;4,949888924114591;1;3;3;red
29;230;6,77775880034769;1;1;1;red
29;231;7,443414264517876;1;2;2;red
29;232;7,9315671750011;1;4;4;red
30;233;0,3016023252408899;1;2;2;red
30;234;0,6871824301667878;1;3;3;red
30;235;1,7566285403932689;1;1;1;red
30;236;3,230324862975611;1;4;4;red
30;237;3,8671403871217387;1;3;3;red
30;238;4,930991809440467;1;1;1;red
30;239;6,467303645487024;1;2;2;red
30;240;7,711524461751187;1;4;4;red
31;241;1,4836677538697747;1;3;3;blue
31;242;2,5167187540674836;1;4;4;blue
31;243;4,348233856202056;1;2;2;blue
31;244;4,967845791151371;1;1;1;blue
31;245;6,808689337126756;1;3;3;blue
31;246;8,052212126125564;1;2;2;blue
31;247;9,445303325533168;1;4;4;blue
31;248;10,555681097943555;1;1;1;blue
32;249;1,2869538962101594;1;3;3;blue
32;250;1,6426124985560833;1;4;4;blue
32;251;2,7239910247902186;1;2;2;blue
32;252;4,2563386163450865;1;1;1;blue
32;253;5,016005667447998;1;3;3;blue
32;254;6,4039293480370825;1;2;2;blue
32;255;6,806667665536414;1;4;4;blue
32;256;7,378685588093248;1;1;1;blue
33;257;1,486668950636861;1;1;1;green
33;258;3,367621675301428;1;2;2;green
33;259;4,787150957323942;1;4;4;green
33;260;6,200547751043313;1;1;1;green
33;261;7,600003400517426;1;3;3;green
33;262;9,421202861473217;1;4;4;green
33;263;10,48819078687745;1;2;2;green
33;264;11,91770138528011;1;3;3;green
34;265;1,4409910047356962;1;2;2;red
34;266;1,7976637352931228;1;3;3;red
34;267;2,122247301602169;1;1;1;red
34;268;3,563332313869847;1;4;4;red
34;269;4,244185146646573;1;3;3;red
34;270;5,4109045799752815;1;1;1;red
34;271;7,195988147122008;1;2;2;red
34;272;8,54640336047661;1;4;4;red
35;273;0,5424127389254296;1;4;4;green
35;274;1,465308025991673;1;1;1;green
35;275;2,214052538588682;1;3;3;green
35;276;3,9004779716870637;1;2;2;green
35;277;5,7046746388073455;1;4;4;green
35;278;7,5741718066459605;1;3;3;green
35;279;8,493955067890314;1;1;1;green
35;280;9,51338559133533;1;2;2;green
36;281;0,6812149358039707;1;2;2;red
36;282;1,0676314288116124;1;3;3;red
36;283;2,6517159204800347;1;1;1;red
36;284;3,0531997259281995;1;4;4;red
36;285;4,6109941225413005;1;3;3;red
36;286;5,598903550183428;1;1;1;red
36;287;7,093772058195613;1;2;2;red
36;288;7,9426809423443725;1;4;4;red
37;289;1,3406960650727229;1;2;2;red
37;290;1,5930969692617796;1;3;3;red
37;291;2,300752767754197;1;1;1;red
37;292;3,777962788027015;1;4;4;red
37;293;4,433843339619314;1;3;3;red
37;294;5,136444067869655;1;1;1;red
37;295;5,94335864849036;1;2;2;red
37;296;6,317562584336079;1;4;4;red
38;297;0,5728888791189726;1;2;2;red
38;298;2,387626170010538;1;3;3;red
38;299;3,550780182806143;1;1;1;red
38;300;4,42311489892154;1;4;4;red
38;301;4,785723109877295;1;3;3;red
38;302;5,96840649145523;1;1;1;red
38;303;6,810012877382823;1;2;2;red
38;304;7,703239032574876;1;4;4;red
39;305;1,5229908115649022;1;2;2;green
39;306;2,2894107241669275;1;3;3;green
39;307;3,6476765592849434;1;1;1;green
39;308;5,019179352252849;1;4;4;green
39;309;6,114485968453899;1;3;3;green
39;310;6,896036109482642;1;1;1;green
39;311;8,115752747128548;1;2;2;green
39;312;9,115566475280351;1;4;4;green
40;313;0,5035284951887387;1;2;2;red
40;314;0,7613561395571197;1;3;3;red
40;315;2,0029705702891656;1;1;1;red
40;316;2,18258279655817;1;4;4;red
40;317;3,5802686120539304;1;3;3;red
40;318;4,093584787834322;1;1;1;red
40;319;4,974374901561914;1;2;2;red
40;320;6,64440645203776;1;4;4;red
41;321;0,6082448506855788;1;1;1;green
41;322;1,5930062948591863;1;3;3;green
41;323;1,938972049467798;1;4;4;green
41;324;2,692159096253781;1;2;2;green
41;325;3,7737138375611816;1;4;4;green
41;326;5,078102777714658;1;1;1;green
41;327;6,469902237498088;0;3;2;green
41;328;7,2271607750302245;1;2;2;green
42;329;0,9415142230354749;1;4;4;green
42;330;1,845949487797403;1;3;3;green
42;331;2,4824454353117225;1;1;1;green
42;332;3,6399868460484583;1;4;4;green
42;333;4,342046292090195;1;3;3;green
42;334;5,925354567415824;1;1;1;green
42;335;6,283089710721064;1;4;4;green
42;336;6,5151233485617475;1;2;2;green
43;337;0,34172801283601134;1;2;2;red
43;338;0,7121457183620594;1;3;3;red
43;339;0,9165721897662112;1;1;1;red
43;340;2,4656130168618082;1;4;4;red
43;341;2,662876961327873;1;3;3;red
43;342;3,0578567434397983;1;1;1;red
43;343;3,3512104395469615;1;2;2;red
43;344;4,250700820478119;1;4;4;red
44;345;0,9287299147552264;1;2;2;red
44;346;2,6685905207424763;1;3;3;red
44;347;3,462842099012688;1;1;1;red
44;348;4,127812604389804;1;4;4;red
44;349;5,872805952681153;0;3;2;red
44;350;6,547309305890193;0;1;3;red
44;351;7,196724292453977;1;2;2;red
44;352;8,534755476022559;1;4;4;red
45;353;0,4007213548095674;1;2;2;red
45;354;2,0756500690946367;1;3;3;red
45;355;3,6255846588248173;1;1;1;red
45;356;3,934346073446705;1;4;4;red
45;357;4,461144317981236;1;3;3;red
45;358;5,368216782587132;1;1;1;red
45;359;6,980021421085235;1;2;2;red
45;360;7,3579146570796725;1;4;4;red
46;361;1,4569906813777305;1;2;2;green
46;362;1,6342102894908686;1;3;3;green
46;363;3,1713913656435833;1;1;1;green
46;364;4,880521856335022;1;4;4;green
46;365;5,841058187356722;1;3;3;green
46;366;6,380736933805249;1;1;1;green
46;367;7,645579440607154;1;2;2;green
46;368;9,181327670277364;1;4;4;green
47;369;0,6263714172761662;1;4;4;green
47;370;1,8300281099104954;1;3;3;green
47;371;2,0244805092693356;1;1;1;green
47;372;2,8079565607810038;1;4;4;green
47;373;4,266963711933212;1;3;3;green
47;374;5,532726553543679;1;1;1;green
47;375;6,04242063377682;1;4;4;green
47;376;6,6075408069143275;1;2;2;green
48;377;0,23934314058922057;1;2;2;green
48;378;1,0282115826885572;1;3;3;green
48;379;2,860604353739846;1;1;1;green
48;380;3,0302353785814633;1;4;4;green
48;381;4,191717561870867;1;3;3;green
48;382;5,119009503713467;1;1;1;green
48;383;6,655182275388761;1;2;2;green
48;384;7,007245634237826;1;4;4;green
49;385;1,0030233171170981;1;2;2;red
49;386;2,3576199576456043;1;3;3;red
49;387;3,6390991284617655;1;1;1;red
49;388;4,431951337356838;1;4;4;red
49;389;5,8003151079705;1;3;3;red
49;390;7,46634459471413;1;1;1;red
49;391;8,55236443425003;1;2;2;red
49;392;9,352025971293088;1;4;4;red
50;393;0,3141691419325785;1;3;3;blue
50;394;2,0724958439207604;1;4;4;blue
50;395;3,7135572725739197;1;2;2;blue
50;396;5,311336761420389;1;1;1;blue
50;397;7,138757442856798;1;3;3;blue
50;398;8,254795463721285;1;2;2;blue
50;399;8,906440379680365;1;4;4;blue
50;400;9,977490200459535;1;1;1;blue
51;401;0,9520220032838514;1;2;2;red
51;402;1,5539809906282906;1;3;3;red
51;403;1,8654710256114726;1;1;1;red
51;404;2,775781012363158;1;4;4;red
51;405;4,168006853009375;1;3;3;red
51;406;4,590468901759055;1;1;1;red
51;407;5,94851520277321;1;2;2;red
51;408;6,937073793703716;1;4;4;red
52;409;0,264953309970159;1;3;3;blue
52;410;0,675149001614379;1;4;4;blue
52;411;1,2160254855497044;1;2;2;blue
52;412;2,207504641925923;1;1;1;blue
52;413;2,90493234008608;1;3;3;blue
52;414;4,11652735817797;1;2;2;blue
52;415;5,016969360358003;1;4;4;blue
52;416;5,466164374740142;1;1;1;blue
53;417;0,403606430063042;1;2;2;red
53;418;1,5885055431585697;1;3;3;red
53;419;2,353880656282523;1;1;1;red
53;420;3,419947003144122;1;4;4;red
53;421;3,814227011535879;1;3;3;red
53;422;5,391007893451601;1;1;1;red
53;423;6,690737945241717;1;2;2;red
53;424;7,844230765727759;1;4;4;red
54;425;0,713804441381705;1;3;3;blue
54;426;1,8046526911588816;1;4;4;blue
54;427;3,3189533292263205;1;2;2;blue
54;428;3,6441911540452594;1;1;1;blue
54;429;3,889735937018188;1;3;3;blue
54;430;5,003206932283549;1;2;2;blue
54;431;5,785767312032042;1;4;4;blue
54;432;7,339822026108424;1;1;1;blue
55;433;0,2596275687442554;1;3;3;blue
55;434;0,5234568972050543;1;4;4;blue
55;435;1,6862286965419233;1;2;2;blue
55;436;3,302413479368834;1;1;1;blue
55;437;5,0182198694382505;1;3;3;blue
55;438;6,358915119161576;1;2;2;blue
55;439;7,345033376570283;1;4;4;blue
55;440;8,364340807397626;1;1;1;blue
56;441;1,7409437251164914;1;2;2;red
56;442;2,2493781597014526;1;3;3;red
56;443;3,3231875591013216;1;1;1;red
56;444;3,715003020401916;1;4;4;red
56;445;4,56201843992687;1;3;3;red
56;446;4,9523619850547504;1;1;1;red
56;447;6,705322184421938;1;2;2;red
56;448;6,822747380892424;1;4;4;red
57;449;0,4215778634848685;1;2;2;red
57;450;0,9407452822986255;1;3;3;red
57;451;2,56102760304646;1;1;1;red
57;452;3,2433185751829887;1;4;4;red
57;453;4,114666378972916;1;3;3;red
57;454;4,421447975853181;1;1;1;red
57;455;6,216976906229065;1;2;2;red
57;456;6,568410815319355;1;4;4;red
58;457;0,3267329777258604;1;1;1;green
58;458;0,9710385618165503;1;3;3;green
58;459;1,8280274874395757;1;4;4;green
58;460;3,283738870896343;1;2;2;green
58;461;5,081807857128227;1;4;4;green
58;462;5,485782720164245;1;1;1;green
58;463;6,1669561509734;1;3;3;green
