type	block	sequ.	trial	time	Pos.	Color	Button	NumRsp	Resp_1	RT_1	R_Code	Resp_2	RT_2	Trigg.	n_hit	n_inc	n_miss	score_%

random	1	1	1	5745	6	1	1	1	0	587	1	4	0	8	1	0	0	100
random	1	1	2	7092	4	4	4	1	0	683	1	4	0	32	2	0	0	100
random	1	1	3	8274	2	2	2	1	0	865	1	4	0	16	3	0	0	100
random	1	1	4	9485	3	3	3	1	0	518	1	4	0	24	4	0	0	100
random	1	1	5	10688	5	2	2	1	0	787	1	4	0	16	5	0	0	100
random	1	1	6	12291	1	4	4	1	0	639	1	4	0	32	6	0	0	100
random	1	1	7	13915	6	1	1	1	0	634	1	4	0	8	7	0	0	100
random	1	1	8	15550	2	3	3	1	0	1141	1	4	0	24	8	0	0	100
random	1	1	9	17666	4	2	2	1	0	667	1	4	0	16	9	0	0	100
random	1	1	10	18763	1	1	1	1	0	860	1	4	0	8	10	0	0	100
random	1	1	11	20125	5	4	4	1	0	619	1	4	0	32	11	0	0	100
random	1	1	12	21683	3	3	3	1	0	1049	1	4	0	24	12	0	0	100
random	1	1	13	23874	5	2	2	1	0	1060	1	4	0	16	13	0	0	100
random	1	1	14	25829	1	4	4	1	0	817	1	4	0	32	14	0	0	100
random	1	1	15	27613	3	1	1	1	0	798	1	4	0	8	15	0	0	100
random	1	1	16	29222	4	3	3	1	0	1393	1	4	0	24	16	0	0	100
random	1	1	17	31594	6	4	4	1	0	973	1	4	0	32	17	0	0	100
random	1	1	18	33228	2	1	1	1	0	712	1	4	0	8	18	0	0	100
random	1	1	19	34921	5	3	3	1	0	936	1	4	0	24	19	0	0	100
random	1	1	20	36760	2	2	2	1	0	786	1	4	0	16	20	0	0	100
random	1	1	21	38187	3	3	3	1	0	774	1	4	0	24	21	0	0	100
random	1	1	22	39338	6	1	1	1	0	805	1	4	0	8	22	0	0	100
random	1	1	23	41045	4	2	2	1	0	1053	1	4	0	16	23	0	0	100
random	1	1	24	42712	1	4	4	1	0	630	1	4	0	32	24	0	0	100
random	1	1	25	43925	4	3	3	1	0	1227	1	4	0	24	25	0	0	100
random	1	1	26	46148	2	1	1	1	0	724	1	4	0	8	26	0	0	100
random	1	1	27	47330	5	2	2	1	0	954	1	4	0	16	27	0	0	100
random	1	1	28	48754	6	4	4	1	0	662	1	4	0	32	28	0	0	100
random	1	1	29	50125	1	3	3	1	0	1484	1	4	0	24	29	0	0	100
random	1	1	30	52016	5	2	2	1	0	804	1	4	0	16	30	0	0	100
random	1	1	31	53118	2	1	1	1	0	685	1	4	0	8	31	0	0	100
random	1	1	32	54632	3	3	3	1	0	973	1	4	0	24	32	0	0	100
random	1	1	33	56062	6	4	4	1	0	857	1	4	0	32	33	0	0	100
random	1	1	34	57818	4	2	2	1	0	710	1	4	0	16	34	0	0	100
random	1	1	35	59146	3	4	4	1	0	630	1	4	0	32	35	0	0	100
random	1	1	36	60708	1	1	1	1	0	676	1	4	0	8	36	0	0	100
random	1	1	37	62604	3	4	4	1	0	1067	1	4	0	32	37	0	0	100
random	1	1	38	64076	5	3	0	1	2	0	3	4	0	24	37	0	1	97
random	1	1	39	67201	6	1	1	1	0	993	1	4	0	8	38	0	1	97
random	1	1	40	68954	1	2	2	1	0	798	1	4	0	16	39	0	1	98
random	1	1	41	70377	2	3	3	1	0	858	1	4	0	24	40	0	1	98
random	1	1	42	72202	4	4	4	1	0	1029	1	4	0	32	41	0	1	98
