type	block	sequ.	trial	time	Pos.	Color	Button	NumRsp	Resp_1	RT_1	R_Code	Resp_2	RT_2	Trigg.	n_hit	n_inc	n_miss	score_%

random	1	1	1	1774	6	1	1	1	0	1960	1	4	0	8	1	0	0	100
random	1	1	2	4084	4	4	4	1	0	1078	1	4	0	32	2	0	0	100
random	1	1	3	5863	2	2	2	1	0	1299	1	4	0	16	3	0	0	100
random	1	1	4	7529	3	3	3	1	0	1332	1	4	0	24	4	0	0	100
random	1	1	5	9581	5	2	2	1	0	1141	1	4	0	16	5	0	0	100
random	1	1	6	11343	1	4	4	1	0	811	1	4	0	32	6	0	0	100
random	1	1	7	13104	6	1	1	1	0	832	1	4	0	8	7	0	0	100
random	1	1	8	14256	2	3	3	1	0	1583	1	4	0	24	8	0	0	100
random	1	1	9	16795	4	2	2	1	0	1035	1	4	0	16	9	0	0	100
random	1	1	10	18240	1	1	1	1	0	1015	1	4	0	8	10	0	0	100
random	1	1	11	19815	5	4	4	1	0	756	1	4	0	32	11	0	0	100
random	1	1	12	21308	3	3	3	1	0	1788	1	4	0	24	12	0	0	100
random	1	1	13	24231	5	2	2	1	0	1345	1	4	0	16	13	0	0	100
random	1	1	14	25951	1	4	4	1	0	848	1	4	0	32	14	0	0	100
random	1	1	15	27201	3	1	1	1	0	979	1	4	0	8	15	0	0	100
random	1	1	16	29116	4	3	3	1	0	1818	1	4	0	24	16	0	0	100
random	1	1	17	31278	6	4	4	1	0	1007	1	4	0	32	17	0	0	100
random	1	1	18	32824	2	1	1	1	0	861	1	4	0	8	18	0	0	100
random	1	1	19	34352	5	3	0	0	2	0	3	4	0	24	18	0	1	95
random	1	1	20	37801	2	2	2	1	0	1314	1	4	0	16	19	0	1	95
random	1	1	21	40066	3	3	3	1	0	1298	1	4	0	24	20	0	1	95
random	1	1	22	42115	6	1	1	1	0	867	1	4	0	8	21	0	1	95
random	1	1	23	43563	4	2	2	1	0	990	1	4	0	16	22	0	1	96
random	1	1	24	45089	1	4	4	1	0	941	1	4	0	32	23	0	1	96
random	1	1	25	47071	4	3	3	2	0	2001	2	4	0	24	24	0	1	96
random	1	1	26	49388	2	1	1	1	0	1047	1	4	0	8	25	0	1	96
random	1	1	27	50746	5	2	0	1	2	0	3	4	0	16	25	0	2	93
random	1	1	28	54077	6	4	4	1	0	937	1	4	0	32	26	0	2	93
random	1	1	29	55910	1	3	3	1	0	1291	1	4	0	24	27	0	2	93
random	1	1	30	58027	5	2	2	2	0	1514	2	4	0	16	28	0	2	93
random	1	1	31	60263	2	1	1	1	0	843	1	4	0	8	29	0	2	94
random	1	1	32	61547	3	3	3	1	0	1372	1	4	0	24	30	0	2	94
random	1	1	33	63259	6	4	4	1	0	1299	1	4	0	32	31	0	2	94
random	1	1	34	65037	4	2	2	1	0	1072	1	4	0	16	32	0	2	94
random	1	1	35	66683	3	4	4	1	0	1018	1	4	0	32	33	0	2	94
random	1	1	36	68142	1	1	1	1	0	941	1	4	0	8	34	0	2	94
random	1	1	37	70328	3	4	4	1	0	968	1	4	0	32	35	0	2	95
random	1	1	38	71612	5	3	3	1	0	1874	1	4	0	24	36	0	2	95
random	1	1	39	74511	6	1	1	1	0	1471	1	4	0	8	37	0	2	95
random	1	1	40	76951	1	2	2	1	0	808	1	4	0	16	38	0	2	95
random	1	1	41	78396	2	3	3	1	0	1098	1	4	0	24	39	0	2	95
random	1	1	42	80104	4	4	4	1	0	906	1	4	0	32	40	0	2	95
random	1	1	43	81714	1	2	2	1	0	1374	1	4	0	16	41	0	2	95
random	1	1	44	83614	6	3	3	2	0	1517	2	4	0	24	42	0	2	95
random	1	1	45	85719	3	1	1	1	0	1084	1	4	0	8	43	0	2	96
random	1	1	46	87806	4	4	4	1	0	1012	1	4	0	32	44	0	2	96
random	1	1	47	89811	2	2	2	1	0	1095	1	4	0	16	45	0	2	96
random	1	1	48	91280	5	1	1	1	0	913	1	4	0	8	46	0	2	96
random	1	1	49	92917	2	3	3	1	0	1923	1	4	0	24	47	0	2	96
random	1	1	50	95880	3	1	1	1	0	1206	1	4	0	8	48	0	2	96
random	1	1	51	97973	1	4	4	1	0	1654	1	4	0	32	49	0	2	96
random	1	1	52	100116	5	3	3	1	0	1778	1	4	0	24	50	0	2	96
