BlockNumber	SequenceNumber	EventNumber	Time	isHit	target	pressed	sequence
1	1	1	1682	1	2	2	2
1	1	2	4548	1	1	1	2
1	1	3	5181	1	4	4	2
1	1	4	5814	1	1	1	2
1	1	5	6980	1	3	3	2
1	1	6	7496	1	2	2	2
1	1	7	8030	1	4	4	2
1	1	8	8863	1	3	3	2
1	2	1	1463	1	3	3	1
1	2	2	3980	1	4	4	1
1	2	3	4682	1	2	2	1
1	2	4	5231	1	1	1	1
1	2	5	5881	1	3	3	1
1	2	6	6347	1	2	2	1
1	2	7	6865	1	4	4	1
1	2	8	7347	1	1	1	1
1	3	1	1248	1	2	2	0
1	3	2	3948	1	3	3	0
1	3	3	4430	1	1	1	0
1	3	4	4914	1	4	4	0
1	3	5	5512	1	3	3	0
1	3	6	6112	1	1	1	0
1	3	7	6845	1	2	2	0
1	3	8	7512	1	4	4	0
1	4	1	1134	1	2	2	2
1	4	2	3748	1	1	1	2
1	4	3	4332	1	3	3	2
1	4	4	5016	1	4	4	2
1	4	5	5714	1	2	2	2
1	4	6	6399	1	4	4	2
1	4	7	6948	1	1	1	2
1	4	8	7581	1	2	2	2
1	5	1	1016	1	4	4	2
1	5	2	4199	1	3	3	2
1	5	3	4882	1	1	1	2
1	5	4	5531	1	4	4	2
1	5	5	6165	1	3	3	2
1	5	6	7015	1	1	1	2
1	5	7	7831	1	4	4	2
1	5	8	8313	1	2	2	2
1	6	1	1449	1	3	3	1
1	6	2	3999	1	4	4	1
1	6	3	4700	1	2	2	1
1	6	4	5183	1	1	1	1
1	6	5	5848	1	3	3	1
1	6	6	6599	1	2	2	1
1	6	7	7199	1	4	4	1
1	6	8	7731	1	1	1	1
1	7	1	1498	1	2	2	0
1	7	2	3982	1	3	3	0
1	7	3	4482	1	1	1	0
1	7	4	5114	1	4	4	0
1	7	5	5882	1	3	3	0
1	7	6	6481	1	1	1	0
1	7	7	6949	1	2	2	0
1	7	8	7346	1	4	4	0
1	8	1	932	1	2	2	2
1	8	2	3550	1	1	1	2
1	8	3	4133	1	3	3	2
1	8	4	4567	1	4	4	2
1	8	5	5066	1	2	2	2
1	8	6	5698	1	4	4	2
1	8	7	6216	1	1	1	2
1	8	8	6799	0	2	3	2
1	9	1	1731	1	2	2	0
1	9	2	4348	0	3	4	0
1	9	3	5313	1	1	1	0
1	9	4	5964	1	4	4	0
1	9	5	6562	1	3	3	0
1	9	6	7230	1	1	1	0
1	9	7	8012	1	2	2	0
1	9	8	8530	1	4	4	0
1	10	1	1515	1	2	2	0
1	10	2	4047	1	3	3	0
1	10	3	4597	1	1	1	0
1	10	4	5130	1	4	4	0
1	10	5	5581	1	3	3	0
1	10	6	6030	1	1	1	0
1	10	7	6496	1	2	2	0
1	10	8	6897	1	4	4	0
1	11	1	1431	1	2	2	0
1	11	2	3897	1	3	3	0
1	11	3	4332	1	1	1	0
1	11	4	4798	1	4	4	0
1	11	5	5830	1	3	3	0
1	11	6	6330	1	1	1	0
1	11	7	6796	1	2	2	0
1	11	8	7247	1	4	4	0
1	12	1	1497	1	3	3	1
1	12	2	3998	1	4	4	1
1	12	3	4630	1	2	2	1
1	12	4	5131	1	1	1	1
1	12	5	5648	1	3	3	1
1	12	6	6114	1	2	2	1
1	12	7	6546	1	4	4	1
1	12	8	6979	1	1	1	1
1	13	1	817	1	2	2	0
1	13	2	3583	1	3	3	0
1	13	3	4131	1	1	1	0
1	13	4	4581	1	4	4	0
1	13	5	5165	1	3	3	0
1	13	6	5881	1	1	1	0
1	13	7	6648	1	2	2	0
1	13	8	7082	1	4	4	0
1	14	1	832	1	2	2	0
1	14	2	3580	1	3	3	0
1	14	3	4163	1	1	1	0
1	14	4	4763	1	4	4	0
1	14	5	5264	1	3	3	0
1	14	6	5729	1	1	1	0
1	14	7	6313	1	2	2	0
1	14	8	6731	1	4	4	0
1	15	1	1182	1	2	2	0
1	15	2	3663	1	3	3	0
