BlockNumber	SequenceNumber	EventNumber	Time	isHit	target	pressed	sequence
1	1	1	2079	1	3	3	1
1	1	2	2419	1	4	4	1
1	1	3	515	1	2	2	1
1	1	4	352	1	1	1	1
1	1	5	571	1	3	3	1
1	1	6	564	1	2	2	1
1	1	7	304	1	4	4	1
1	1	8	602	1	1	1	1
1	2	1	984	1	2	2	2
1	2	2	2592	1	1	1	2
1	2	3	757	1	4	4	2
1	2	4	364	1	1	1	2
1	2	5	481	1	3	3	2
1	2	6	267	1	2	2	2
1	2	7	291	1	4	4	2
1	2	8	443	0	3	2	2
1	3	1	1052	1	2	2	0
1	3	2	2352	1	3	3	0
1	3	3	681	1	1	1	0
1	3	4	400	1	4	4	0
1	3	5	434	1	3	3	0
1	3	6	767	1	1	1	0
1	3	7	490	1	2	2	0
1	3	8	311	1	4	4	0
1	4	1	1844	1	2	2	2
1	4	2	2508	1	1	1	2
1	4	3	825	1	4	4	2
1	4	4	444	1	1	1	2
1	4	5	357	1	3	3	2
1	4	6	443	1	2	2	2
1	4	7	600	1	4	4	2
1	4	8	818	1	3	3	2
1	5	1	1025	1	2	2	0
1	5	2	2528	1	3	3	0
1	5	3	398	1	1	1	0
1	5	4	685	1	4	4	0
1	5	5	603	1	3	3	0
1	5	6	516	1	1	1	0
1	5	7	557	0	2	3	0
1	5	8	927	1	4	4	0
1	6	1	1967	1	2	2	0
1	6	2	2958	1	3	3	0
1	6	3	802	1	1	1	0
1	6	4	512	1	4	4	0
1	6	5	972	1	3	3	0
1	6	6	761	1	1	1	0
1	6	7	718	1	2	2	0
1	6	8	349	1	4	4	0
1	7	1	1403	1	2	2	2
1	7	2	2401	1	1	1	2
1	7	3	399	1	3	3	2
1	7	4	400	1	4	4	2
1	7	5	524	1	2	2	2
1	7	6	412	1	4	4	2
1	7	7	516	1	1	1	2
1	7	8	284	0	2	3	2
1	8	1	1074	1	2	2	0
1	8	2	2361	1	3	3	0
1	8	3	450	1	1	1	0
1	8	4	351	1	4	4	0
1	8	5	848	1	3	3	0
1	8	6	568	1	1	1	0
1	8	7	892	1	2	2	0
1	8	8	516	1	4	4	0
1	9	1	2047	1	2	2	0
1	9	2	2366	1	3	3	0
1	9	3	567	0	1	4	0
1	9	4	650	1	4	4	0
1	9	5	600	1	3	3	0
1	9	6	352	1	1	1	0
1	9	7	515	1	2	2	0
1	9	8	233	1	4	4	0
1	10	1	925	1	2	2	2
1	10	2	2428	1	4	4	2
1	10	3	401	1	1	1	2
1	10	4	683	1	3	3	2
1	10	5	590	1	4	4	2
1	10	6	629	1	2	2	2
1	10	7	465	1	3	3	2
1	10	8	440	1	1	1	2
1	11	1	1452	1	3	3	1
1	11	2	2350	1	4	4	1
1	11	3	443	1	2	2	1
1	11	4	352	1	1	1	1
1	11	5	440	1	3	3	1
1	11	6	400	1	2	2	1
1	11	7	360	1	4	4	1
1	11	8	384	1	1	1	1
1	12	1	1153	1	3	3	1
1	12	2	2373	1	4	4	1
1	12	3	443	1	2	2	1
1	12	4	390	1	1	1	1
1	12	5	445	1	3	3	1
1	12	6	405	1	2	2	1
1	12	7	428	1	4	4	1
1	12	8	490	1	1	1	1
1	13	1	936	1	2	2	0
1	13	2	2394	1	3	3	0
1	13	3	421	1	1	1	0
1	13	4	334	1	4	4	0
1	13	5	585	1	3	3	0
1	13	6	561	1	1	1	0
1	13	7	372	1	2	2	0
1	13	8	335	1	4	4	0
1	14	1	1029	1	3	3	1
1	14	2	2363	1	4	4	1
1	14	3	403	1	2	2	1
1	14	4	416	1	1	1	1
1	14	5	452	0	3	4	1
1	14	6	406	0	2	3	1
1	14	7	1428	1	4	4	1
1	14	8	307	1	1	1	1
