	BlockNumber	SequenceNumber	EventNumber	Time	isHit	target	pressed	sequence
0	1	1	1	1193	1	4	4	0
1	1	1	2	1643	1	1	1	0
2	1	1	3	2023	1	3	3	0
3	1	1	4	2659	1	2	2	0
4	1	1	5	3196	1	4	4	0
5	1	2	1	329	1	4	4	0
6	1	2	2	778	1	1	1	0
7	1	2	3	1262	1	3	3	0
8	1	2	4	1748	1	2	2	0
9	1	2	5	2337	1	4	4	0
10	1	3	1	378	1	4	4	0
11	1	3	2	809	1	1	1	0
12	1	3	3	1320	1	3	3	0
13	1	3	4	1876	1	2	2	0
14	1	3	5	2464	1	4	4	0
15	1	4	1	362	1	4	4	0
16	1	4	2	773	1	1	1	0
17	1	4	3	1278	1	3	3	0
18	1	4	4	1737	1	2	2	0
19	1	4	5	2282	1	4	4	0
20	1	5	1	364	1	4	4	0
21	1	5	2	763	1	1	1	0
22	1	5	3	1353	1	3	3	0
23	1	5	4	1861	1	2	2	0
24	1	5	5	2350	1	4	4	0
25	1	6	1	378	1	4	4	0
26	1	6	2	749	1	1	1	0
27	1	6	3	1268	1	3	3	0
28	1	6	4	1794	1	2	2	0
29	1	6	5	2314	1	4	4	0
30	1	7	1	421	1	4	4	0
31	1	7	2	821	1	1	1	0
32	1	7	3	1355	1	3	3	0
33	1	7	4	1907	1	2	2	0
34	1	7	5	2437	1	4	4	0
35	1	8	1	345	1	4	4	0
36	1	8	2	719	1	1	1	0
37	1	8	3	1314	1	3	3	0
38	1	8	4	1833	1	2	2	0
39	1	8	5	2340	1	4	4	0
40	1	9	1	307	1	4	4	0
41	1	9	2	684	1	1	1	0
42	1	9	3	1308	1	3	3	0
43	1	9	4	1770	1	2	2	0
44	1	9	5	2328	1	4	4	0
45	1	10	1	256	1	4	4	0
46	1	10	2	681	1	1	1	0
47	1	10	3	1225	1	3	3	0
48	1	10	4	1643	1	2	2	0
49	1	10	5	2282	1	4	4	0
50	1	11	1	276	1	4	4	0
51	1	11	2	689	1	1	1	0
52	1	11	3	1149	1	3	3	0
53	1	11	4	1634	1	2	2	0
54	1	11	5	2096	1	4	4	0
55	1	12	1	372	1	4	4	0
56	1	12	2	754	1	1	1	0
57	1	12	3	1299	1	3	3	0
58	1	12	4	1737	1	2	2	0
59	1	12	5	2172	1	4	4	0
60	1	13	1	366	1	4	4	0
61	1	13	2	733	1	1	1	0
62	2	14	1	1169	1	4	4	0
63	2	14	2	1738	1	1	1	0
64	2	14	3	2271	1	3	3	0
65	2	14	4	2629	1	2	2	0
66	2	14	5	3061	1	4	4	0
67	2	15	1	369	1	4	4	0
68	2	15	2	689	1	1	1	0
69	2	15	3	1099	1	3	3	0
70	2	15	4	1443	1	2	2	0
71	2	15	5	1847	1	4	4	0
72	2	16	1	319	1	4	4	0
73	2	16	2	650	1	1	1	0
74	2	16	3	1018	1	3	3	0
75	2	16	4	1382	1	2	2	0
76	2	16	5	1731	1	4	4	0
77	2	17	1	365	1	4	4	0
78	2	17	2	656	1	1	1	0
79	2	17	3	1115	1	3	3	0
80	2	17	4	1466	1	2	2	0
81	2	17	5	1867	1	4	4	0
82	2	18	1	293	1	4	4	0
83	2	18	2	616	1	1	1	0
84	2	18	3	1071	1	3	3	0
85	2	18	4	1404	1	2	2	0
86	2	18	5	1812	1	4	4	0
87	2	19	1	311	1	4	4	0
88	2	19	2	594	1	1	1	0
89	2	19	3	1039	1	3	3	0
90	2	19	4	1416	1	2	2	0
91	2	19	5	1804	1	4	4	0
92	2	20	1	350	1	4	4	0
93	2	20	2	679	1	1	1	0
94	2	20	3	1070	1	3	3	0
95	2	20	4	1483	1	2	2	0
96	2	20	5	1805	1	4	4	0
97	2	21	1	433	1	4	4	0
98	2	21	2	467	1	1	1	0
99	2	21	3	1813	1	3	3	0
100	2	21	4	2447	1	2	2	0
101	2	21	5	3059	1	4	4	0
102	2	22	1	298	1	4	4	0
103	2	22	2	647	1	1	1	0
104	2	22	3	1078	1	3	3	0
105	2	22	4	1591	1	2	2	0
106	2	22	5	2199	1	4	4	0
107	2	23	1	275	1	4	4	0
108	2	23	2	595	1	1	1	0
109	2	23	3	1020	1	3	3	0
110	2	23	4	1313	1	2	2	0
111	2	23	5	1712	1	4	4	0
112	2	24	1	445	1	4	4	0
113	2	24	2	903	1	1	1	0
114	2	24	3	1373	1	3	3	0
115	2	24	4	1737	1	2	2	0
116	2	24	5	2094	1	4	4	0
117	2	25	1	287	1	4	4	0
118	2	25	2	605	1	1	1	0
119	2	25	3	1112	1	3	3	0
120	2	25	4	1470	1	2	2	0
121	2	25	5	1874	1	4	4	0
122	2	26	1	271	1	4	4	0
123	2	26	2	582	1	1	1	0
124	2	26	3	987	1	3	3	0
125	2	26	4	1338	1	2	2	0
126	2	26	5	1788	1	4	4	0
127	2	27	1	256	1	4	4	0
128	2	27	2	599	1	1	1	0
129	2	27	3	1017	1	3	3	0
130	2	27	4	1401	1	2	2	0
131	2	27	5	1776	1	4	4	0
132	2	28	1	282	1	4	4	0
133	2	28	2	624	1	1	1	0
134	2	28	3	1065	1	3	3	0
135	2	28	4	1405	1	2	2	0
136	3	29	1	1029	1	4	4	0
137	3	29	2	1361	0	1	4	0
138	3	29	3	2732	1	3	3	0
139	3	29	4	3079	1	2	2	0
140	3	29	5	3860	1	4	4	0
141	3	30	1	361	1	4	4	0
142	3	30	2	910	1	1	1	0
143	3	30	3	1363	1	3	3	0
144	3	30	4	1757	1	2	2	0
145	3	30	5	2291	1	4	4	0
146	3	31	1	272	1	4	4	0
147	3	31	2	612	1	1	1	0
148	3	31	3	1000	1	3	3	0
149	3	31	4	1407	1	2	2	0
150	3	31	5	1747	1	4	4	0
151	3	32	1	378	1	4	4	0
152	3	32	2	603	1	1	1	0
153	3	32	3	1054	1	3	3	0
154	3	32	4	1353	1	2	2	0
155	3	32	5	1775	1	4	4	0
156	3	33	1	308	1	4	4	0
157	3	33	2	586	1	1	1	0
158	3	33	3	961	1	3	3	0
159	3	33	4	1317	1	2	2	0
160	3	33	5	1742	1	4	4	0
161	3	34	1	368	1	4	4	0
162	3	34	2	700	1	1	1	0
163	3	34	3	1051	1	3	3	0
164	3	34	4	1433	1	2	2	0
165	3	34	5	1763	1	4	4	0
166	3	35	1	272	1	4	4	0
167	3	35	2	504	1	1	1	0
168	3	35	3	1354	1	3	3	0
169	3	35	4	1724	1	2	2	0
170	3	35	5	2191	1	4	4	0
171	3	36	1	237	1	4	4	0
172	3	36	2	607	1	1	1	0
173	3	36	3	1064	1	3	3	0
174	3	36	4	1445	1	2	2	0
175	3	36	5	1778	1	4	4	0
176	3	37	1	265	1	4	4	0
177	3	37	2	530	1	1	1	0
178	3	37	3	973	1	3	3	0
179	3	37	4	1288	1	2	2	0
180	3	37	5	1724	1	4	4	0
181	3	38	1	257	1	4	4	0
182	3	38	2	540	1	1	1	0
183	3	38	3	911	1	3	3	0
184	3	38	4	1363	1	2	2	0
185	3	38	5	1783	1	4	4	0
186	3	39	1	248	1	4	4	0
187	3	39	2	547	1	1	1	0
188	3	39	3	938	1	3	3	0
189	3	39	4	1277	1	2	2	0
190	3	39	5	1668	1	4	4	0
191	3	40	1	262	1	4	4	0
192	3	40	2	519	1	1	1	0
193	3	40	3	864	1	3	3	0
194	3	40	4	1219	1	2	2	0
195	3	40	5	1565	1	4	4	0
196	3	41	1	328	1	4	4	0
197	3	41	2	626	1	1	1	0
198	3	41	3	973	1	3	3	0
199	3	41	4	1367	1	2	2	0
200	3	41	5	1737	1	4	4	0
201	3	42	1	328	1	4	4	0
202	3	42	2	653	1	1	1	0
203	3	42	3	1476	1	3	3	0
204	3	42	4	1818	1	2	2	0
205	3	42	5	2201	1	4	4	0
206	3	43	1	295	1	4	4	0
207	3	43	2	543	1	1	1	0
208	3	43	3	1002	1	3	3	0
209	3	43	4	1318	1	2	2	0
210	3	43	5	1783	1	4	4	0
211	3	44	1	217	1	4	4	0
212	3	44	2	468	1	1	1	0
213	4	45	1	1148	1	4	4	0
214	4	45	2	1520	1	1	1	0
215	4	45	3	1829	1	3	3	0
216	4	45	4	2214	1	2	2	0
217	4	45	5	2551	1	4	4	0
218	4	46	1	302	1	4	4	0
219	4	46	2	618	1	1	1	0
220	4	46	3	1031	1	3	3	0
221	4	46	4	1327	1	2	2	0
222	4	46	5	1667	1	4	4	0
223	4	47	1	351	1	4	4	0
224	4	47	2	566	1	1	1	0
225	4	47	3	951	1	3	3	0
226	4	47	4	1264	1	2	2	0
227	4	47	5	1620	1	4	4	0
228	4	48	1	241	1	4	4	0
229	4	48	2	535	1	1	1	0
230	4	48	3	1004	1	3	3	0
231	4	48	4	1315	1	2	2	0
232	4	48	5	1703	1	4	4	0
233	4	49	1	300	1	4	4	0
234	4	49	2	545	1	1	1	0
235	4	49	3	1099	1	3	3	0
236	4	49	4	1463	1	2	2	0
237	4	49	5	1886	1	4	4	0
238	4	50	1	281	1	4	4	0
239	4	50	2	613	1	1	1	0
240	4	50	3	1162	1	3	3	0
241	4	50	4	1529	1	2	2	0
242	4	50	5	1909	1	4	4	0
243	4	51	1	257	1	4	4	0
244	4	51	2	499	1	1	1	0
245	4	51	3	1068	1	3	3	0
246	4	51	4	1421	1	2	2	0
247	4	51	5	1855	1	4	4	0
248	4	52	1	250	1	4	4	0
249	4	52	2	540	1	1	1	0
250	4	52	3	1042	1	3	3	0
251	4	52	4	1329	1	2	2	0
252	4	52	5	1716	1	4	4	0
253	4	53	1	248	1	4	4	0
254	4	53	2	562	1	1	1	0
255	4	53	3	1173	1	3	3	0
256	4	53	4	1547	1	2	2	0
257	4	53	5	1925	1	4	4	0
258	4	54	1	271	1	4	4	0
259	4	54	2	587	1	1	1	0
260	4	54	3	1078	1	3	3	0
261	4	54	4	1439	1	2	2	0
262	4	54	5	1770	1	4	4	0
263	4	55	1	274	1	4	4	0
